"date","Albania","Austria","Belgium","Bulgaria","Croatia","Cyprus","Czechia","Denmark","Estonia","Euro area","European Union (current composition)","Finland","France","Germany","Greece","Hungary","Ireland","Italy","Latvia","Lithuania","Luxembourg","Malta","Montenegro","Netherlands","North Macedonia","Poland","Portugal","Romania","Serbia","Slovak Republic","Slovenia","Spain","Sweden","Turkey","United Kingdom"
1987-01-01,NA,NA,33.6,NA,NA,NA,NA,18.1,NA,25.3,25.1,NA,36.4,14.3,31.1,NA,41.8,31.8,NA,NA,NA,NA,NA,-4.4,NA,NA,16.7,NA,NA,NA,NA,35.1,NA,NA,18
1987-02-01,NA,NA,34.3,NA,NA,NA,NA,14,NA,30.2,29.8,NA,42.7,20.8,32.5,NA,30.8,37.6,NA,NA,NA,NA,NA,-0.3,NA,NA,19.5,NA,NA,NA,NA,34.5,NA,NA,15.5
1987-03-01,NA,NA,38.2,NA,NA,NA,NA,22.6,NA,29.3,29.2,NA,45.4,19.9,30.6,NA,29.7,34,NA,NA,NA,NA,NA,-1,NA,NA,13.3,NA,NA,NA,NA,31.7,NA,NA,13.5
1987-04-01,NA,NA,35.4,NA,NA,NA,NA,24.2,NA,30.2,30.1,NA,45.6,18.8,29.6,NA,32.4,37.6,NA,NA,NA,NA,NA,2.8,NA,NA,13.9,NA,NA,NA,NA,34.7,NA,NA,7.5
1987-05-01,NA,NA,32.8,NA,NA,NA,NA,16.6,NA,30.7,30.4,NA,48.2,20.4,32.6,NA,45.1,36.2,NA,NA,NA,NA,NA,4.5,NA,NA,16.1,NA,NA,NA,NA,30.4,NA,NA,6
1987-06-01,NA,NA,30.4,NA,NA,NA,NA,34.3,NA,28.2,28.4,NA,40.7,20.7,29.4,NA,47.3,38.5,NA,NA,NA,NA,NA,0.4,NA,NA,12.9,NA,NA,NA,NA,19.7,NA,NA,2.5
1987-07-01,NA,NA,33.5,NA,NA,NA,NA,34.3,NA,30.6,30.7,NA,41.3,26.2,31.2,NA,47.9,37.3,NA,NA,NA,NA,NA,11.2,NA,NA,4.4,NA,NA,NA,NA,21.1,NA,NA,1.5
1987-08-01,NA,NA,34.3,NA,NA,NA,NA,32.5,NA,32.3,32.3,NA,41.3,30.5,28.7,NA,47.5,37.3,NA,NA,NA,NA,NA,11.7,NA,NA,6.7,NA,NA,NA,NA,23.4,NA,NA,2.5
1987-09-01,NA,NA,34.2,NA,NA,NA,NA,18.8,NA,28.6,28.4,NA,27.7,29.1,31.5,NA,54.7,40.2,NA,NA,NA,NA,NA,6.3,NA,NA,7.5,NA,NA,NA,NA,15.5,NA,NA,7.5
1987-10-01,NA,NA,33,NA,NA,NA,NA,31.6,NA,31.2,31.2,NA,38.3,30.2,31.3,NA,48.3,38,NA,NA,NA,NA,NA,6.8,NA,NA,5.2,NA,NA,NA,NA,21.7,NA,NA,-0.5
