Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q2 2018,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,12-Jan-2017,12-Apr-2017,14-Jul-2017,19-Oct-2017,19-Jan-2018,16-Apr-2018,,,,,,
Median,1.5,1.7,1.6,1.7,1.8,1.7,,,,,,
Mean,1.5,1.7,1.5,1.6,1.8,1.7,,,,,,
Mode,1.5,1.6,1.3,1.5,1.7,1.8,,,,,,
Min,0.7,1.2,1.2,1.3,1.3,1.4,,,,,,
Max,1.8,1.9,1.9,2.1,2.2,1.9,,,,,,
Standard Deviation,--,--,--,--,--,0.2,,,,,,
# Forecasts,--,--,--,--,--,15 ,,,,,,
Contributor,12-Jan-2017,12-Apr-2017,14-Jul-2017,19-Oct-2017,19-Jan-2018,16-Apr-2018,,,,,,
BMO,0.7,--,1.2,1.9,--,1.4,,,,,,
BNP Paribas,--,--,--,1.5,--,--,,,,,,
Barclays,--,--,1.9,1.6,2.2,1.8,,,,,,
Berenberg,--,--,1.4,1.5,1.7,1.6,,,,,,
Berliner Spark,--,1.8,1.9,1.7,--,1.5,,,,,,
BofAML,1.5,--,--,--,--,--,,,,,,
CA CIB,--,1.5,1.3,1.3,1.7,--,,,,,,
CaixaBank,--,--,--,1.8,1.5,1.4,,,,,,
Citigroup,--,1.8,1.7,--,--,--,,,,,,
Commerzbank UK,--,--,--,1.5,--,--,,,,,,
DZ Bank,--,--,--,1.7,--,1.9,,,,,,
DekaBank,1.6,1.6,1.6,1.7,1.8,--,,,,,,
Eurozone Advisor,1.5,1.9,--,--,--,--,,,,,,
HSBC Hldg,--,1.9,--,1.7,1.8,1.8,,,,,,
Helaba,1.6,1.6,--,1.8,1.9,1.8,,,,,,
IHS Global Insight,1.8,1.8,--,2.1,2.1,--,,,,,,
IHS Markit,--,--,--,--,--,1.8,,,,,,
Intesa Sanpaolo,1.2,1.2,--,1.9,--,--,,,,,,
JP Morgan,--,--,--,--,1.6,--,,,,,,
Julius Baer,1.6,--,1.3,--,2.0,1.7,,,,,,
NORD/LB,--,1.6,1.4,1.5,--,1.5,,,,,,
Oppenheim,1.5,1.6,--,1.7,--,--,,,,,,
RGE,--,--,1.7,--,--,--,,,,,,
Rheinisch Westfa,1.6,1.6,1.6,1.5,2.0,1.8,,,,,,
Societe Generale,--,--,--,1.3,1.3,1.7,,,,,,
Uni Credit,--,1.8,1.5,1.4,1.7,1.8,,,,,,
WH,1.5,1.7,--,1.8,1.8,1.5,,,,,,
,,,,,,,,,,,,
