Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q1 2015,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,01-Jan-2014,09-Apr-2014,16-Jul-2014,16-Oct-2014,15-Jan-2015,,,,,,,
Median,1.8,1.9,1.6,1.3,0.2,,,,,,,
Mean,1.8,1.9,1.6,1.3,0.3,,,,,,,
Mode,1.8,1.9,1.6,1.5,0.0,,,,,,,
Min,1.6,1.5,1.2,0.9,-0.1,,,,,,,
Max,2.2,2.3,1.9,1.7,1.2,,,,,,,
Standard Deviation,--,--,--,--,0.4,,,,,,,
# Forecasts,--,--,--,--,12 ,,,,,,,
Contributor,01-Jan-2014,09-Apr-2014,16-Jul-2014,16-Oct-2014,15-Jan-2015,,,,,,,
BMO,--,--,--,1.2,--,,,,,,,
Banco Santander,1.8,2.0,1.4,--,--,,,,,,,
Barclays,--,--,--,--,0.5,,,,,,,
BayernLB,1.8,1.9,1.7,1.5,--,,,,,,,
Berenberg,1.8,--,1.3,1.1,-0.1,,,,,,,
Berliner Spark,1.7,1.6,1.5,1.3,0.0,,,,,,,
Citigroup,1.6,--,--,--,--,,,,,,,
Commerzbank UK,--,--,--,1.7,--,,,,,,,
DIW Berlin,1.8,1.9,1.4,--,0.3,,,,,,,
DZ Bank,--,--,1.6,1.5,--,,,,,,,
DekaBank,--,2.0,1.6,--,0.2,,,,,,,
Eurozone Advisor,2.0,1.5,1.6,1.2,0.0,,,,,,,
HSBC Hldg,--,--,1.2,1.2,--,,,,,,,
HWWI,--,--,--,--,1.2,,,,,,,
Helaba,2.2,--,--,--,--,,,,,,,
IHS Global Insight,--,1.8,1.6,1.3,0.2,,,,,,,
IfW,--,2.3,1.9,1.5,--,,,,,,,
Mizuho Secs,--,--,--,0.9,--,,,,,,,
NORD/LB,1.8,--,--,--,0.0,,,,,,,
RBC,--,--,--,0.9,--,,,,,,,
Rheinisch Westfa,--,1.8,1.6,1.4,0.8,,,,,,,
Sal Oppenheim,--,--,1.6,1.5,--,,,,,,,
Societe Generale,--,--,--,1.2,--,,,,,,,
Union Investment,1.7,--,--,--,0.0,,,,,,,
WH,1.7,1.7,1.7,--,0.8,,,,,,,
ZBW,2.1,2.2,1.9,1.7,--,,,,,,,
,,,,,,,,,,,,
