Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q2 2006,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,05-Jan-2005,06-Apr-2005,06-Jul-2005,05-Oct-2005,04-Jan-2006,05-Apr-2006,,,,,,
Median,1.1,1.2,1.4,2.0,1.8,1.8,,,,,,
Mean,1.2,1.2,1.5,2.0,1.8,1.8,,,,,,
Mode,1.0,1.4,1.4,2.1,1.8,1.8,,,,,,
Min,0.7,0.7,0.8,1.4,0.9,1.6,,,,,,
Max,1.8,1.7,2.8,2.8,2.3,2.1,,,,,,
Standard Deviation,--,--,--,--,--,0.1,,,,,,
# Forecasts,--,--,--,--,--,20 ,,,,,,
Contributor,05-Jan-2005,06-Apr-2005,06-Jul-2005,05-Oct-2005,04-Jan-2006,05-Apr-2006,,,,,,
BNP Paribas,--,1.4,--,--,--,--,,,,,,
BayernLB,0.9,--,1.9,1.9,2.0,1.9,,,,,,
Bnk Amer London,--,1.4,1.4,1.9,1.6,1.6,,,,,,
Citigroup,1.0,1.0,--,2.8,2.0,1.9,,,,,,
Commerzbank UK,1.1,0.8,0.8,1.4,1.7,2.1,,,,,,
Credit Suisse,--,--,--,2.0,--,--,,,,,,
DekaBank,1.2,--,1.6,--,2.0,1.7,,,,,,
Deutsche Bank,1.2,1.2,1.4,2.1,1.8,1.9,,,,,,
Dresdner Bk,1.0,0.9,1.1,1.6,1.8,1.8,,,,,,
EssenHyp,--,--,1.8,--,--,--,,,,,,
Generali Investments,--,--,--,2.3,--,--,,,,,,
Goldman Sachs,--,--,--,--,--,1.8,,,,,,
HSBC Hldg,1.0,0.7,1.0,2.0,1.8,1.8,,,,,,
Helaba,1.7,1.4,2.7,1.7,1.7,1.7,,,,,,
IHS Global Insight,--,--,1.2,2.7,1.8,--,,,,,,
IfW,1.1,--,1.4,--,1.8,--,,,,,,
JP Morgan,1.1,--,--,--,--,--,,,,,,
LBBW,1.3,1.1,2.8,2.0,1.8,1.9,,,,,,
Landesbank Hldg,0.7,1.0,1.3,--,1.8,1.7,,,,,,
NORD/LB,1.8,--,--,2.1,2.1,1.7,,,,,,
Nomura,0.8,1.1,1.0,1.6,0.9,1.9,,,,,,
ODDO BHF,--,1.7,1.9,2.1,--,1.8,,,,,,
Oppenheim,--,1.3,--,--,--,--,,,,,,
Portigon,--,1.1,1.4,1.9,1.8,1.8,,,,,,
Postbank,--,1.5,1.4,--,1.7,--,,,,,,
Rheinisch Westfa,--,--,1.4,--,2.1,--,,,,,,
Sal Oppenheim,1.4,--,1.5,2.0,2.2,1.8,,,,,,
Skand Ensk Bank,--,1.6,1.5,2.1,1.9,1.8,,,,,,
UFJ Holdings,--,--,--,--,2.2,--,,,,,,
UniCredt Bnk,1.8,--,1.5,--,2.2,1.7,,,,,,
WH,1.2,--,--,--,2.3,--,,,,,,
,,,,,,,,,,,,
