Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q3 2013,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,04-Jan-2012,04-Apr-2012,04-Jul-2012,03-Oct-2012,02-Jan-2013,03-Apr-2013,03-Jul-2013,02-Oct-2013,,,,
Median,1.9,1.9,1.8,2.0,2.0,1.6,1.6,1.6,,,,
Mean,1.8,1.9,1.8,1.9,2.0,1.7,1.6,1.6,,,,
Mode,2.0,2.0,1.7,2.0,1.9,1.6,1.5,1.6,,,,
Min,1.4,1.6,1.6,1.5,1.7,1.3,1.3,1.5,,,,
Max,2.2,2.5,2.2,2.3,2.8,2.6,1.7,1.8,,,,
Standard Deviation,--,--,--,--,--,--,--,0.1,,,,
# Forecasts,--,--,--,--,--,--,--,9 ,,,,
Contributor,04-Jan-2012,04-Apr-2012,04-Jul-2012,03-Oct-2012,02-Jan-2013,03-Apr-2013,03-Jul-2013,02-Oct-2013,,,,
Banco Santander,1.6,1.6,1.8,2.0,--,1.7,1.5,--,,,,
BayernLB,1.9,--,--,1.7,--,1.7,1.7,1.6,,,,
Berenberg,1.9,2.0,1.8,--,--,1.4,1.7,1.8,,,,
Bkhaus Lampe,--,--,--,1.9,2.1,--,1.5,--,,,,
Citigroup,--,--,--,--,--,1.8,--,--,,,,
Commerzbank UK,1.5,2.1,1.9,1.8,--,1.6,1.5,--,,,,
DIW Berlin,2.0,1.9,1.7,--,--,1.6,1.6,--,,,,
DZ Bank,--,--,--,--,2.2,--,1.7,1.7,,,,
DekaBank,1.8,2.0,1.9,1.6,1.9,1.5,1.7,--,,,,
Eurozone Advisor,1.6,1.6,1.7,1.6,1.9,1.3,1.5,1.5,,,,
HSBC Hldg,2.1,1.9,--,2.0,--,2.0,1.6,--,,,,
Helaba,2.0,--,--,2.2,2.1,--,--,--,,,,
IHS Global Insight,1.5,1.6,--,1.7,1.9,--,1.6,1.6,,,,
IfW,--,2.3,--,--,2.2,--,--,--,,,,
NORD/LB,2.0,2.1,--,--,--,--,--,--,,,,
ODDO BHF,1.8,1.8,--,2.0,--,1.6,--,--,,,,
Portigon,2.0,--,--,--,--,--,--,--,,,,
Postbank,--,--,2.2,--,--,--,--,--,,,,
Rheinisch Westfa,--,1.8,1.7,2.0,1.7,1.5,1.4,1.6,,,,
Sal Oppenheim,2.0,2.0,--,2.3,2.8,2.6,1.6,--,,,,
Union Investment,2.2,2.2,--,2.0,--,1.9,1.5,1.6,,,,
WH,1.4,2.5,--,--,1.9,1.6,--,1.6,,,,
ZBW,--,1.7,2.1,2.0,2.1,1.5,1.3,1.6,,,,
,,,,,,,,,,,,
