Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q1 2006,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,05-Jan-2005,06-Apr-2005,06-Jul-2005,05-Oct-2005,04-Jan-2006,,,,,,,
Median,1.1,1.5,1.8,2.4,2.2,,,,,,,
Mean,1.1,1.4,1.9,2.4,2.2,,,,,,,
Mode,1.1,1.5,1.5,2.5,2.3,,,,,,,
Min,0.6,0.9,1.3,1.9,1.2,,,,,,,
Max,1.8,1.9,3.1,2.9,2.5,,,,,,,
Standard Deviation,--,--,--,--,0.3,,,,,,,
# Forecasts,--,--,--,--,24 ,,,,,,,
Contributor,05-Jan-2005,06-Apr-2005,06-Jul-2005,05-Oct-2005,04-Jan-2006,,,,,,,
BNP Paribas,--,1.5,--,--,--,,,,,,,
BayernLB,0.6,--,2.1,2.3,2.1,,,,,,,
Bnk Amer London,--,1.6,1.5,2.2,2.0,,,,,,,
Citigroup,1.0,1.3,--,2.9,2.2,,,,,,,
Commerzbank UK,1.1,1.0,1.3,2.1,2.0,,,,,,,
Credit Suisse,--,--,--,2.4,--,,,,,,,
DekaBank,1.1,--,2.0,--,2.4,,,,,,,
Deutsche Bank,1.1,1.4,1.7,2.5,2.1,,,,,,,
Dresdner Bk,1.2,1.3,1.5,1.9,2.1,,,,,,,
EssenHyp,--,--,2.2,--,--,,,,,,,
Generali Investments,--,--,--,2.5,--,,,,,,,
HSBC Hldg,0.7,0.9,1.5,2.5,2.2,,,,,,,
Helaba,1.6,1.5,2.7,2.1,2.2,,,,,,,
IHS Global Insight,--,--,1.4,2.8,2.0,,,,,,,
IfW,1.1,--,1.8,--,2.3,,,,,,,
JP Morgan,0.9,--,--,--,--,,,,,,,
LBBW,1.4,1.5,3.1,2.2,1.8,,,,,,,
Landesbank Hldg,0.9,1.1,1.7,--,2.3,,,,,,,
NORD/LB,1.7,--,--,2.4,2.5,,,,,,,
Nomura,0.8,1.0,1.5,2.1,1.2,,,,,,,
ODDO BHF,--,1.9,2.2,2.5,--,,,,,,,
Oppenheim,--,1.5,--,--,--,,,,,,,
Portigon,--,1.4,1.9,2.5,2.2,,,,,,,
Postbank,--,1.7,1.8,--,1.9,,,,,,,
Rheinisch Westfa,--,--,1.8,--,2.3,,,,,,,
Sal Oppenheim,1.0,--,1.6,2.4,2.5,,,,,,,
Skand Ensk Bank,--,1.6,1.8,2.5,2.3,,,,,,,
UFJ Holdings,--,--,--,--,2.3,,,,,,,
UniCredt Bnk,1.8,--,1.9,--,2.5,,,,,,,
WH,1.3,--,--,--,2.3,,,,,,,
,,,,,,,,,,,,
