Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q2 2010,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,07-Jan-2009,01-Apr-2009,01-Jul-2009,07-Oct-2009,06-Jan-2010,07-Apr-2010,07-Jul-2010,,,,,
Median,1.2,1.1,1.2,0.8,1.0,1.1,1.1,,,,,
Mean,1.5,1.1,1.2,0.9,1.0,1.0,1.1,,,,,
Mode,1.2,1.0,1.4,0.8,0.9,1.1,1.1,,,,,
Min,1.0,0.5,0.7,0.3,0.4,0.5,0.9,,,,,
Max,2.6,1.8,2.1,1.6,1.5,1.3,1.1,,,,,
Standard Deviation,--,--,--,--,--,--,0.1,,,,,
# Forecasts,--,--,--,--,--,--,16 ,,,,,
Contributor,07-Jan-2009,01-Apr-2009,01-Jul-2009,07-Oct-2009,06-Jan-2010,07-Apr-2010,07-Jul-2010,,,,,
BayernLB,1.9,1.6,--,--,0.9,1.1,1.1,,,,,
Berliner Spark,--,--,1.5,0.8,--,--,--,,,,,
Citigroup,--,0.5,--,--,--,--,1.1,,,,,
Commerzbank UK,1.9,--,1.3,0.8,0.7,0.7,1.0,,,,,
DIW Berlin,1.2,1.0,--,--,--,--,1.1,,,,,
DZ Bank,--,--,--,--,--,1.3,--,,,,,
DekaBank,--,1.3,1.4,1.1,1.2,1.2,1.0,,,,,
Deutsche Bank,--,--,--,--,1.1,--,--,,,,,
Eurozone Advisor,1.2,1.1,1.1,0.8,1.1,0.8,1.1,,,,,
HSBC Hldg,1.8,1.1,1.0,0.6,--,1.1,--,,,,,
Helaba,--,1.7,2.1,1.6,--,--,0.9,,,,,
IHS Global Insight,1.0,1.0,1.3,1.2,1.3,1.2,1.1,,,,,
Julius Baer,2.6,1.3,--,--,--,--,--,,,,,
Kiel Economics,--,--,--,--,0.7,--,--,,,,,
LBBW,--,--,1.0,1.0,--,--,--,,,,,
NORD/LB,1.6,1.2,1.4,--,--,0.9,1.1,,,,,
ODDO BHF,1.2,0.6,--,0.3,1.3,1.2,1.1,,,,,
Portigon,--,1.0,1.1,0.8,--,0.9,1.1,,,,,
Postbank,--,--,1.4,1.2,1.5,--,--,,,,,
Rheinisch Westfa,--,--,1.0,--,0.9,0.9,1.1,,,,,
Sal Oppenheim,1.2,0.7,--,0.6,0.9,1.2,1.1,,,,,
Skand Ensk Bank,1.2,0.8,1.2,1.1,--,--,1.1,,,,,
Uni Credit,1.7,1.8,--,--,0.9,1.1,1.1,,,,,
UniCredt Bnk,--,--,--,0.7,--,--,--,,,,,
Union Investment,1.2,1.1,1.1,1.1,1.2,--,0.9,,,,,
WH,1.0,0.5,--,0.4,0.4,0.5,--,,,,,
ZBW,--,0.9,0.7,0.5,1.0,1.1,--,,,,,
,,,,,,,,,,,,
