Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q2 2009,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,02-Jan-2008,02-Apr-2008,02-Jul-2008,01-Oct-2008,07-Jan-2009,01-Apr-2009,,,,,,
Median,1.7,1.8,2.3,2.0,0.6,0.3,,,,,,
Mean,1.7,1.7,2.2,2.0,0.7,0.3,,,,,,
Mode,1.7,1.8,2.0,2.0,0.6,0.1,,,,,,
Min,1.3,1.3,1.5,1.6,0.2,-0.1,,,,,,
Max,2.2,2.3,2.8,2.4,1.2,0.6,,,,,,
Standard Deviation,--,--,--,--,--,0.2,,,,,,
# Forecasts,--,--,--,--,--,19 ,,,,,,
Contributor,02-Jan-2008,02-Apr-2008,02-Jul-2008,01-Oct-2008,07-Jan-2009,01-Apr-2009,,,,,,
BayernLB,1.7,--,--,--,--,--,,,,,,
CA CIB,1.7,--,--,--,--,--,,,,,,
Citigroup,--,1.8,--,--,--,0.1,,,,,,
Commerzbank UK,1.5,1.9,2.8,--,0.2,--,,,,,,
DIW Berlin,--,1.8,2.3,2.3,1.2,0.4,,,,,,
DZ Bank,2.2,--,--,--,--,--,,,,,,
DekaBank,1.5,1.5,2.5,2.3,--,0.5,,,,,,
Deutsche Bank,1.9,--,--,--,0.9,--,,,,,,
Eurozone Advisor,1.8,--,2.4,2.0,0.5,0.1,,,,,,
HSBC Hldg,1.3,1.5,2.4,2.1,0.4,0.3,,,,,,
Helaba,--,1.3,2.4,2.4,--,0.6,,,,,,
IHS Global Insight,1.5,1.5,2.3,2.0,0.6,0.3,,,,,,
Julius Baer,--,--,--,--,0.9,0.1,,,,,,
MM Warburg,--,--,2.0,1.7,--,--,,,,,,
NORD/LB,--,--,2.0,2.1,0.6,0.3,,,,,,
ODDO BHF,1.6,1.7,2.2,--,0.6,0.2,,,,,,
Portigon,1.9,2.3,2.4,1.6,--,0.3,,,,,,
Postbank,1.9,--,--,--,0.7,0.5,,,,,,
Rheinisch Westfa,--,--,--,--,1.2,--,,,,,,
Sal Oppenheim,1.6,1.8,2.0,1.8,0.5,0.2,,,,,,
Skand Ensk Bank,1.8,2.0,2.2,2.1,0.6,0.4,,,,,,
Uni Credit,1.6,1.7,2.0,1.8,1.0,0.5,,,,,,
Union Investment,2.1,--,2.0,2.0,0.4,-0.1,,,,,,
WH,1.8,1.8,2.5,--,0.7,0.4,,,,,,
ZBW,--,--,2.5,--,--,0.1,,,,,,
,,,,,,,,,,,,
