Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q1 2012,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,07-Jul-2010,06-Oct-2010,05-Jan-2011,06-Apr-2011,06-Jul-2011,05-Oct-2011,04-Jan-2012,04-Apr-2012,,,,
Median,1.5,1.5,1.7,2.1,2.0,2.0,2.0,2.2,,,,
Mean,1.5,1.5,1.6,2.0,2.1,2.0,1.9,2.2,,,,
Mode,1.5,1.5,1.7,2.1,1.9,2.1,2.0,2.2,,,,
Min,1.4,1.3,0.7,1.1,1.7,1.7,1.6,1.9,,,,
Max,1.5,1.8,2.0,2.7,2.6,2.6,2.2,2.4,,,,
Standard Deviation,--,--,--,--,--,--,--,0.1,,,,
# Forecasts,--,--,--,--,--,--,--,19 ,,,,
Contributor,07-Jul-2010,06-Oct-2010,05-Jan-2011,06-Apr-2011,06-Jul-2011,05-Oct-2011,04-Jan-2012,04-Apr-2012,,,,
Banco Santander,--,--,--,--,2.2,--,2.0,2.2,,,,
BayernLB,--,1.8,1.7,1.7,1.7,--,1.8,--,,,,
Berenberg,--,--,--,--,--,2.3,1.8,2.2,,,,
Bkhaus Lampe,--,--,--,--,--,2.2,2.0,2.2,,,,
Commerzbank UK,1.5,--,1.7,1.9,2.1,2.1,1.7,2.1,,,,
DIW Berlin,--,--,1.7,2.1,2.3,2.1,1.9,2.2,,,,
DekaBank,--,--,2.0,2.6,2.5,--,2.0,2.2,,,,
Eurozone Advisor,1.5,1.3,1.6,2.1,1.9,1.9,2.2,2.2,,,,
HSBC Hldg,--,--,1.2,1.5,1.9,2.0,2.0,2.4,,,,
Helaba,--,--,1.6,1.6,1.9,1.8,1.8,--,,,,
IHS Global Insight,1.5,1.5,1.6,2.1,1.8,1.8,2.0,2.2,,,,
IfW,--,--,1.9,2.0,2.0,--,--,2.2,,,,
LBBW,--,--,--,1.5,--,--,--,--,,,,
NORD/LB,--,1.3,1.7,--,2.1,2.0,2.0,2.4,,,,
ODDO BHF,1.5,1.5,1.7,2.1,1.9,1.8,1.9,2.2,,,,
Portigon,--,--,--,2.2,1.8,1.7,1.7,--,,,,
Postbank,--,--,--,--,2.6,2.6,2.2,--,,,,
Rheinisch Westfa,--,--,--,2.7,2.4,2.0,2.1,2.1,,,,
Sal Oppenheim,--,--,1.7,2.2,2.1,2.1,2.1,2.2,,,,
Skand Ensk Bank,1.4,1.3,1.3,--,--,--,--,--,,,,
Uni Credit,1.4,--,1.9,--,--,--,--,--,,,,
Union Investment,--,--,1.8,1.8,1.8,2.1,1.6,1.9,,,,
VP Bank,--,--,--,--,--,1.8,2.0,2.1,,,,
WH,--,--,1.5,1.8,--,2.0,2.0,2.2,,,,
ZBW,--,--,--,2.1,2.3,2.1,2.0,2.2,,,,
,,,,,,,,,,,,
