Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q2 2007,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,05-Oct-2005,04-Jan-2006,05-Apr-2006,05-Jul-2006,04-Oct-2006,03-Jan-2007,04-Apr-2007,,,,,
Median,1.6,2.5,2.5,2.5,2.2,2.0,1.6,,,,,
Mean,1.5,2.4,2.4,2.4,2.2,2.0,1.7,,,,,
Mode,1.6,2.3,2.5,2.5,2.4,2.0,1.5,,,,,
Min,1.1,1.4,1.6,1.9,1.6,1.6,1.4,,,,,
Max,1.7,3.0,3.0,3.2,2.6,2.5,2.0,,,,,
Standard Deviation,--,--,--,--,--,--,0.2,,,,,
# Forecasts,--,--,--,--,--,--,21 ,,,,,
Contributor,05-Oct-2005,04-Jan-2006,05-Apr-2006,05-Jul-2006,04-Oct-2006,03-Jan-2007,04-Apr-2007,,,,,
BayernLB,--,2.5,2.4,--,2.4,2.5,1.9,,,,,
Berliner Spark,--,--,--,--,--,--,1.5,,,,,
Bnk Amer London,1.4,2.4,2.5,2.4,2.0,2.0,1.5,,,,,
Citigroup,--,2.9,3.0,3.2,2.6,2.1,1.6,,,,,
Commerzbank UK,--,1.4,2.7,2.9,2.2,1.6,1.5,,,,,
Credit Suisse,--,--,--,2.2,--,--,1.8,,,,,
DIW Berlin,--,--,--,2.5,--,2.3,--,,,,,
DekaBank,--,2.3,2.3,2.1,2.6,--,1.9,,,,,
Deutsche Bank,--,2.3,2.4,2.3,--,1.9,1.5,,,,,
Dresdner Bk,--,2.6,2.6,2.6,2.2,--,--,,,,,
EssenHyp,--,--,--,2.0,--,--,--,,,,,
Eurozone Advisor,--,--,--,--,--,1.8,1.9,,,,,
Generali Investments,1.7,--,--,--,--,--,--,,,,,
Goldman Sachs,--,--,2.1,--,--,--,--,,,,,
HSBC Hldg,1.1,2.2,2.2,2.2,2.2,1.8,1.6,,,,,
Helaba,--,2.6,2.6,2.5,2.5,2.5,--,,,,,
IHS Global Insight,1.7,2.7,--,2.5,2.3,2.2,--,,,,,
IfW,--,2.2,--,2.1,--,2.1,--,,,,,
Julius Baer,--,--,--,--,2.2,1.8,1.8,,,,,
LBBW,1.6,2.7,2.5,2.5,2.3,2.3,1.5,,,,,
Landesbank Hldg,--,2.3,2.3,1.9,--,--,--,,,,,
NORD/LB,--,2.2,2.7,--,1.9,--,2.0,,,,,
Nomura,--,1.8,2.3,--,--,--,--,,,,,
ODDO BHF,1.6,--,2.1,2.3,1.8,1.7,1.6,,,,,
Oppenheim,--,--,--,--,--,--,1.8,,,,,
Portigon,--,2.7,2.7,2.6,2.4,2.0,1.6,,,,,
Postbank,--,3.0,--,2.9,--,2.0,1.8,,,,,
Rheinisch Westfa,--,--,--,2.5,2.1,--,--,,,,,
Sal Oppenheim,--,2.5,2.5,2.7,2.4,2.5,--,,,,,
Skand Ensk Bank,1.6,2.9,2.6,2.6,2.2,--,1.7,,,,,
UFJ Holdings,--,1.6,--,--,--,--,--,,,,,
Uni Credit,--,--,--,--,--,1.9,1.4,,,,,
UniCredt Bnk,--,2.6,2.5,2.5,2.4,--,--,,,,,
Union Investment,--,--,--,--,2.4,1.7,1.7,,,,,
WH,--,2.3,--,--,--,2.2,--,,,,,
,,,,,,,,,,,,
