Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q4 2013,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,04-Apr-2012,04-Jul-2012,03-Oct-2012,02-Jan-2013,03-Apr-2013,03-Jul-2013,02-Oct-2013,01-Jan-2014,,,,
Median,1.8,1.8,1.9,2.0,1.5,1.5,1.6,1.3,,,,
Mean,1.9,1.8,1.9,2.0,1.6,1.5,1.5,1.3,,,,
Mode,1.8,1.7,1.9,1.8,1.4,1.6,1.6,1.3,,,,
Min,1.5,1.6,1.5,1.5,1.3,1.1,1.2,1.3,,,,
Max,2.4,2.3,2.4,2.7,2.5,2.0,1.8,1.6,,,,
Standard Deviation,--,--,--,--,--,--,--,0.1,,,,
# Forecasts,--,--,--,--,--,--,--,13 ,,,,
Contributor,04-Apr-2012,04-Jul-2012,03-Oct-2012,02-Jan-2013,03-Apr-2013,03-Jul-2013,02-Oct-2013,01-Jan-2014,,,,
Banco Santander,1.5,1.6,1.6,--,1.5,1.3,--,1.3,,,,
BayernLB,--,--,1.9,--,1.8,2.0,1.8,1.4,,,,
Berenberg,2.1,1.8,--,--,1.4,1.6,1.6,1.3,,,,
Berliner Spark,--,--,--,--,--,--,--,1.3,,,,
Bkhaus Lampe,--,--,1.9,2.0,--,1.4,--,--,,,,
Citigroup,--,--,--,--,1.4,--,--,1.3,,,,
Commerzbank UK,2.0,1.9,2.0,--,1.8,1.7,--,--,,,,
DIW Berlin,1.7,1.6,--,--,1.7,1.7,--,1.3,,,,
DZ Bank,--,--,--,2.3,--,1.7,1.7,--,,,,
DekaBank,1.6,1.7,1.6,1.8,1.4,1.6,--,--,,,,
Eurozone Advisor,1.7,1.9,1.7,1.8,1.3,1.6,1.6,1.6,,,,
HSBC Hldg,1.9,--,1.8,--,2.0,1.5,--,--,,,,
Helaba,--,--,2.1,2.1,--,--,--,1.3,,,,
IHS Global Insight,1.6,--,1.5,1.5,--,1.4,1.5,--,,,,
IfW,2.4,--,--,2.2,--,--,--,--,,,,
NORD/LB,1.8,--,--,--,--,--,--,1.3,,,,
ODDO BHF,1.8,--,1.9,--,1.5,--,--,--,,,,
Postbank,--,2.3,--,--,--,--,--,--,,,,
Rheinisch Westfa,1.8,1.7,2.0,1.5,1.6,1.5,1.6,1.3,,,,
Sal Oppenheim,2.1,--,2.3,2.7,2.5,1.5,--,--,,,,
Union Investment,2.4,--,2.4,--,1.4,1.1,1.2,1.3,,,,
WH,2.4,--,--,1.9,1.6,--,1.5,1.4,,,,
ZBW,1.8,2.2,2.0,2.1,1.5,1.3,1.3,1.3,,,,
,,,,,,,,,,,,
