Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q1 2010,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,01-Oct-2008,07-Jan-2009,01-Apr-2009,01-Jul-2009,07-Oct-2009,06-Jan-2010,07-Apr-2010,,,,,
Median,1.7,1.4,0.8,1.0,0.7,0.9,0.8,,,,,
Mean,1.8,1.5,0.9,1.0,0.7,0.9,0.8,,,,,
Mode,1.7,1.1,0.8,1.0,0.7,0.8,0.8,,,,,
Min,1.5,1.0,0.3,0.4,0.3,0.5,0.6,,,,,
Max,2.0,3.0,1.8,1.7,1.2,1.2,0.8,,,,,
Standard Deviation,--,--,--,--,--,--,0.1,,,,,
# Forecasts,--,--,--,--,--,--,15 ,,,,,
Contributor,01-Oct-2008,07-Jan-2009,01-Apr-2009,01-Jul-2009,07-Oct-2009,06-Jan-2010,07-Apr-2010,,,,,
BayernLB,1.6,2.0,1.3,--,--,0.8,0.8,,,,,
Berliner Spark,--,--,--,1.4,0.8,--,--,,,,,
Citigroup,--,--,0.4,--,--,--,--,,,,,
Commerzbank UK,--,1.4,--,1.0,0.7,0.8,0.6,,,,,
DIW Berlin,2.0,1.1,0.8,--,--,--,--,,,,,
DZ Bank,--,--,--,--,--,--,0.8,,,,,
DekaBank,--,--,1.1,1.2,0.7,0.8,0.8,,,,,
Deutsche Bank,--,--,--,--,--,1.2,--,,,,,
Eurozone Advisor,1.7,1.0,0.8,0.8,0.7,1.1,0.8,,,,,
HSBC Hldg,1.7,1.8,1.3,1.2,0.8,--,0.8,,,,,
Helaba,--,--,1.7,1.7,1.2,--,--,,,,,
IHS Global Insight,1.8,1.1,0.9,1.1,1.0,1.1,0.7,,,,,
Julius Baer,--,3.0,0.5,--,--,--,--,,,,,
Kiel Economics,--,--,--,--,--,0.5,--,,,,,
LBBW,--,--,--,0.7,0.7,--,--,,,,,
NORD/LB,1.5,1.6,1.0,1.1,--,--,0.8,,,,,
ODDO BHF,--,1.1,0.4,--,0.4,1.2,0.8,,,,,
Portigon,--,--,0.8,1.0,0.7,--,0.8,,,,,
Postbank,--,--,1.4,1.2,1.0,1.1,--,,,,,
Rheinisch Westfa,--,--,--,0.8,--,0.8,0.8,,,,,
Sal Oppenheim,--,1.1,0.3,--,0.3,0.8,0.8,,,,,
Skand Ensk Bank,1.7,1.4,0.7,1.0,1.0,--,--,,,,,
Uni Credit,2.0,1.8,1.8,--,--,1.1,0.8,,,,,
UniCredt Bnk,--,--,--,--,0.8,--,--,,,,,
Union Investment,--,1.3,0.9,0.9,1.1,1.1,--,,,,,
WH,--,1.1,0.6,--,0.5,0.5,0.6,,,,,
ZBW,--,--,0.6,0.4,0.3,0.9,0.8,,,,,
,,,,,,,,,,,,
