Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q1 2020,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,15-Oct-2018,17-Jan-2019,04-Apr-2019,17-Jul-2019,17-Oct-2019,16-Jan-2020,,,,,,
Median,1.8,1.7,1.8,1.8,1.6,1.7,,,,,,
Mean,1.7,1.8,1.8,1.8,1.6,1.6,,,,,,
Mode,1.9,1.6,1.5,1.7,1.3,1.7,,,,,,
Min,1.3,1.2,1.4,1.4,1.1,1.4,,,,,,
Max,1.9,2.5,2.8,2.2,2.0,1.9,,,,,,
Standard Deviation,--,--,--,--,--,0.1,,,,,,
# Forecasts,--,--,--,--,--,15,,,,,,
Contributor,15-Oct-2018,17-Jan-2019,04-Apr-2019,17-Jul-2019,17-Oct-2019,16-Jan-2020,,,,,,
BMO,--,2.0,2.8,--,1.7,1.7,,,,,,
Barclays,--,1.6,1.9,1.7,1.6,1.6,,,,,,
Berenberg,1.9,1.6,1.6,--,1.1,1.5,,,,,,
Berliner Spark,1.4,1.6,1.4,--,1.9,1.9,,,,,,
CA CIB,--,1.7,--,--,--,--,,,,,,
Capital Econ,--,--,--,--,1.5,--,,,,,,
Citigroup,1.3,1.2,1.5,1.5,1.9,1.8,,,,,,
Commerzbank UK,--,--,--,1.9,--,--,,,,,,
DZ Bank,--,1.9,--,2.2,--,--,,,,,,
Eurozone Advisor,1.8,--,1.5,1.4,1.3,--,,,,,,
Goldman Sachs,--,--,--,--,--,1.4,,,,,,
HSBC Hldg,--,--,1.8,2.0,2.0,1.8,,,,,,
Helaba,--,2.0,--,1.8,1.3,1.6,,,,,,
IHS Markit,1.9,1.8,1.7,1.7,1.6,1.7,,,,,,
ING Fin Mkts,--,1.5,--,2.2,1.6,1.7,,,,,,
Julius Baer,--,--,2.0,--,1.8,--,,,,,,
LBBW,--,--,--,--,--,1.4,,,,,,
NORD/LB,--,2.2,--,2.1,--,1.7,,,,,,
Nomura,--,2.5,--,--,--,--,,,,,,
Rheinisch Westfa,1.7,--,--,--,--,--,,,,,,
Societe Generale,--,--,--,1.6,1.3,1.5,,,,,,
Uni Credit,--,--,1.9,1.8,1.5,1.7,,,,,,
WH,1.9,1.6,2.0,1.9,1.8,1.6,,,,,,
,,,,,,,,,,,,
