Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q3 2015,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,09-Apr-2014,16-Jul-2014,16-Oct-2014,15-Jan-2015,22-Apr-2015,23-Jul-2015,,,,,,
Median,1.8,1.8,1.7,0.7,0.2,0.4,,,,,,
Mean,1.9,1.8,1.7,0.7,0.3,0.4,,,,,,
Mode,1.9,1.8,1.4,0.2,0.2,0.4,,,,,,
Min,1.5,1.3,1.3,-0.1,-0.2,-0.2,,,,,,
Max,2.6,2.4,2.3,1.5,0.7,0.7,,,,,,
Standard Deviation,--,--,--,--,--,0.2,,,,,,
# Forecasts,--,--,--,--,--,15 ,,,,,,
Contributor,09-Apr-2014,16-Jul-2014,16-Oct-2014,15-Jan-2015,22-Apr-2015,23-Jul-2015,,,,,,
BMO,--,--,1.8,--,0.4,--,,,,,,
BNP Paribas,--,--,--,--,0.0,--,,,,,,
Banco Santander,2.0,1.8,--,--,--,--,,,,,,
Barclays,--,--,--,--,0.2,0.2,,,,,,
BayernLB,1.9,1.8,1.9,--,--,--,,,,,,
Berenberg,--,1.5,1.4,0.2,--,--,,,,,,
Berliner Spark,1.8,1.8,1.6,-0.1,0.0,0.1,,,,,,
BofAML,--,--,--,--,--,0.3,,,,,,
CA CIB,--,--,--,--,0.4,--,,,,,,
Commerzbank UK,--,--,2.3,--,0.6,--,,,,,,
DIW Berlin,1.7,1.6,--,0.6,--,--,,,,,,
DZ Bank,--,2.3,2.0,--,--,0.6,,,,,,
DekaBank,1.9,1.8,--,0.7,0.7,0.7,,,,,,
Eurozone Advisor,1.5,1.9,1.4,1.0,0.7,0.5,,,,,,
HSBC Hldg,--,--,1.3,--,0.3,0.5,,,,,,
HWWI,--,--,--,1.5,--,0.3,,,,,,
Helaba,--,--,--,--,0.5,0.4,,,,,,
IHS Global Insight,1.8,1.8,1.8,0.9,0.6,0.6,,,,,,
ING Fin Mkts,--,--,--,--,--,0.4,,,,,,
IfW,2.6,2.4,2.1,--,--,--,,,,,,
Mizuho Secs,--,--,1.3,--,--,--,,,,,,
NORD/LB,--,--,--,0.2,-0.1,--,,,,,,
ODDO BHF,--,--,--,--,0.2,--,,,,,,
Rheinisch Westfa,1.8,1.6,1.7,0.9,0.2,0.4,,,,,,
Sal Oppenheim,--,1.7,1.7,--,--,--,,,,,,
Societe Generale,--,--,1.4,--,0.2,0.3,,,,,,
Uni Credit,--,--,--,--,-0.2,-0.2,,,,,,
Union Investment,--,--,--,0.3,--,--,,,,,,
WH,1.7,1.3,--,1.2,0.1,0.4,,,,,,
ZBW,1.9,1.9,2.0,--,--,--,,,,,,
,,,,,,,,,,,,
