Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q2 2008,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,03-Jan-2007,04-Apr-2007,04-Jul-2007,03-Oct-2007,02-Jan-2008,02-Apr-2008,,,,,,
Median,1.5,1.4,1.5,1.8,2.2,2.8,,,,,,
Mean,1.4,1.4,1.6,1.8,2.2,2.8,,,,,,
Mode,1.5,1.4,1.5,2.1,2.2,2.9,,,,,,
Min,0.6,0.7,1.1,1.3,1.8,2.6,,,,,,
Max,1.8,2.0,2.4,2.2,2.6,3.3,,,,,,
Standard Deviation,--,--,--,--,--,0.2,,,,,,
# Forecasts,--,--,--,--,--,15 ,,,,,,
Contributor,03-Jan-2007,04-Apr-2007,04-Jul-2007,03-Oct-2007,02-Jan-2008,02-Apr-2008,,,,,,
BayernLB,1.5,2.0,--,--,2.5,--,,,,,,
Berliner Spark,--,1.4,1.5,--,--,--,,,,,,
Bnk Amer London,1.3,1.3,1.3,--,--,--,,,,,,
CA CIB,--,--,--,--,2.1,--,,,,,,
Citigroup,--,1.0,1.1,1.9,--,2.7,,,,,,
Commerzbank UK,0.6,1.2,1.1,1.5,2.0,2.8,,,,,,
Credit Suisse,--,1.6,--,--,--,--,,,,,,
DIW Berlin,1.5,--,--,--,--,3.3,,,,,,
DZ Bank,--,--,--,--,2.3,--,,,,,,
DekaBank,--,1.4,1.5,1.6,2.2,2.8,,,,,,
Deutsche Bank,1.2,1.3,1.4,2.1,2.2,2.9,,,,,,
Dresdner Bk,--,--,1.7,1.7,--,--,,,,,,
Eurozone Advisor,1.5,1.7,1.7,--,2.0,--,,,,,,
HSBC Hldg,1.0,1.4,1.3,--,1.9,2.9,,,,,,
Helaba,1.4,--,--,1.8,--,2.8,,,,,,
IHS Global Insight,1.2,--,1.4,1.6,2.1,2.7,,,,,,
IfW,1.7,--,1.7,--,--,--,,,,,,
Julius Baer,1.8,2.0,--,--,--,--,,,,,,
LBBW,1.5,1.5,1.8,2.1,--,--,,,,,,
NORD/LB,--,1.3,2.4,1.7,--,--,,,,,,
ODDO BHF,1.6,1.6,1.6,2.2,2.2,2.9,,,,,,
Oppenheim,--,1.5,--,--,--,--,,,,,,
Portigon,1.2,1.4,1.8,2.1,2.2,2.8,,,,,,
Postbank,--,1.2,--,1.3,2.1,--,,,,,,
Sal Oppenheim,1.5,--,1.5,1.8,2.4,3.0,,,,,,
Skand Ensk Bank,--,--,1.6,1.9,2.3,2.9,,,,,,
Uni Credit,1.7,1.6,1.7,2.1,2.3,2.6,,,,,,
Union Investment,1.2,1.2,--,2.0,2.6,--,,,,,,
WH,--,--,1.5,1.9,2.5,2.6,,,,,,
ZBW,--,--,--,1.8,--,--,,,,,,
,,,,,,,,,,,,
