Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q2 2017,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,14-Jan-2016,14-Apr-2016,20-Jul-2016,13-Oct-2016,12-Jan-2017,12-Apr-2017,,,,,,
Median,1.6,1.5,1.4,1.3,1.6,1.8,,,,,,
Mean,1.6,1.5,1.4,1.3,1.7,1.8,,,,,,
Mode,1.8,1.4,1.7,1.3,1.5,1.8,,,,,,
Min,1.3,1.2,0.3,0.6,1.2,1.3,,,,,,
Max,1.8,1.9,1.9,1.8,2.3,2.3,,,,,,
Standard Deviation,--,--,--,--,--,0.2,,,,,,
# Forecasts,--,--,--,--,--,16 ,,,,,,
Contributor,14-Jan-2016,14-Apr-2016,20-Jul-2016,13-Oct-2016,12-Jan-2017,12-Apr-2017,,,,,,
BMO,--,1.3,0.3,0.6,1.5,--,,,,,,
Barclays,--,--,--,1.1,--,1.8,,,,,,
Berliner Spark,1.8,1.6,1.5,--,--,1.8,,,,,,
BofAML,--,--,--,--,1.9,--,,,,,,
CA CIB,--,1.5,--,1.4,--,1.7,,,,,,
Citigroup,--,--,--,--,--,1.9,,,,,,
DekaBank,1.8,1.7,1.4,1.2,2.0,2.1,,,,,,
Deutsche Bank,--,--,--,--,1.4,--,,,,,,
Eurozone Advisor,1.4,1.4,1.0,1.1,1.6,1.5,,,,,,
HSBC Hldg,--,1.2,1.2,--,1.9,2.0,,,,,,
Helaba,1.5,--,1.7,1.7,1.5,1.8,,,,,,
IHS Global Insight,1.8,1.7,1.7,1.6,2.1,2.0,,,,,,
ING Fin Mkts,--,--,--,--,--,1.7,,,,,,
Intesa Sanpaolo,--,--,--,1.3,1.3,1.3,,,,,,
JP Morgan,--,--,1.7,1.4,2.3,--,,,,,,
Julius Baer,--,--,--,--,1.5,--,,,,,,
NORD/LB,1.7,1.8,1.2,1.0,1.6,1.7,,,,,,
ODDO BHF,1.5,--,--,--,--,--,,,,,,
Oppenheim,--,1.2,1.4,1.3,1.9,1.8,,,,,,
RGE,1.4,--,1.1,--,--,--,,,,,,
Rheinisch Westfa,1.6,1.4,1.4,1.5,1.6,1.9,,,,,,
Societe Generale,--,--,1.5,--,1.5,--,,,,,,
Uni Credit,1.6,1.6,1.7,1.8,--,2.3,,,,,,
Union Investment,--,1.9,1.9,1.3,--,--,,,,,,
WH,1.3,1.4,1.1,1.2,1.2,1.8,,,,,,
,,,,,,,,,,,,
