Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q1 2009,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,03-Oct-2007,02-Jan-2008,02-Apr-2008,02-Jul-2008,01-Oct-2008,07-Jan-2009,,,,,,
Median,1.6,1.7,1.9,2.5,2.3,0.9,,,,,,
Mean,1.6,1.6,1.8,2.6,2.3,1.0,,,,,,
Mode,1.4,1.7,1.9,2.5,2.3,0.9,,,,,,
Min,1.3,1.1,1.3,2.1,2.0,0.3,,,,,,
Max,1.9,2.1,2.3,3.1,2.5,1.6,,,,,,
Standard Deviation,--,--,--,--,--,0.3,,,,,,
# Forecasts,--,--,--,--,--,17 ,,,,,,
Contributor,03-Oct-2007,02-Jan-2008,02-Apr-2008,02-Jul-2008,01-Oct-2008,07-Jan-2009,,,,,,
BayernLB,--,1.7,--,--,--,--,,,,,,
CA CIB,--,1.5,--,--,--,--,,,,,,
Citigroup,--,--,1.9,--,--,--,,,,,,
Commerzbank UK,--,1.5,2.3,3.1,--,0.9,,,,,,
DIW Berlin,--,--,2.0,2.5,2.4,1.3,,,,,,
DZ Bank,--,2.1,--,--,--,--,,,,,,
DekaBank,1.4,1.1,1.4,2.5,2.4,--,,,,,,
Deutsche Bank,--,1.8,--,--,--,1.3,,,,,,
Eurozone Advisor,--,1.7,--,2.7,2.3,0.9,,,,,,
HSBC Hldg,--,1.2,1.8,2.8,2.3,0.9,,,,,,
Helaba,--,--,1.3,2.5,2.5,--,,,,,,
IHS Global Insight,1.4,1.4,1.5,2.5,2.2,0.8,,,,,,
Julius Baer,--,--,--,--,--,0.3,,,,,,
MM Warburg,--,--,--,2.3,2.0,--,,,,,,
NORD/LB,--,--,--,2.4,2.5,1.0,,,,,,
ODDO BHF,1.6,1.6,1.7,2.6,--,1.0,,,,,,
Portigon,--,1.7,2.3,2.7,2.0,--,,,,,,
Postbank,--,1.8,--,--,--,0.9,,,,,,
Rheinisch Westfa,--,--,--,--,--,1.6,,,,,,
Sal Oppenheim,--,1.6,2.0,2.2,2.1,0.8,,,,,,
Skand Ensk Bank,1.9,1.7,1.9,2.5,2.3,1.0,,,,,,
Uni Credit,1.7,1.6,1.7,2.4,2.2,1.2,,,,,,
Union Investment,--,2.1,--,2.5,2.3,0.9,,,,,,
WH,1.7,1.9,1.9,2.9,--,1.2,,,,,,
ZBW,--,--,--,2.7,--,--,,,,,,
,,,,,,,,,,,,
