Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q4 2014,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,03-Apr-2013,03-Jul-2013,02-Oct-2013,01-Jan-2014,09-Apr-2014,16-Jul-2014,16-Oct-2014,15-Jan-2015,,,,
Median,1.9,1.8,1.8,1.7,1.6,1.3,1.1,0.5,,,,
Mean,1.9,1.9,1.8,1.7,1.6,1.3,1.1,0.5,,,,
Mode,2.0,1.8,1.6,1.7,1.5,1.1,1.1,0.5,,,,
Min,1.6,1.6,1.6,1.4,1.3,0.8,0.8,0.4,,,,
Max,2.4,2.2,2.2,2.2,2.1,1.8,1.5,0.8,,,,
Standard Deviation,--,--,--,--,--,--,--,0.1,,,,
# Forecasts,--,--,--,--,--,--,--,12 ,,,,
Contributor,03-Apr-2013,03-Jul-2013,02-Oct-2013,01-Jan-2014,09-Apr-2014,16-Jul-2014,16-Oct-2014,15-Jan-2015,,,,
BMO,--,--,--,--,--,--,0.9,--,,,,
Banco Santander,1.8,1.7,--,1.6,1.5,0.9,--,--,,,,
Barclays,--,--,--,--,--,1.1,--,0.5,,,,
BayernLB,1.8,1.8,1.8,1.8,1.8,1.5,1.1,--,,,,
Berenberg,1.6,1.6,1.6,1.7,--,1.1,0.9,0.4,,,,
Berliner Spark,--,--,--,1.4,1.4,1.3,1.1,0.5,,,,
Bkhaus Lampe,--,2.1,--,--,--,--,--,--,,,,
Citigroup,2.4,--,--,1.6,--,--,--,--,,,,
Commerzbank UK,2.0,2.2,--,--,--,--,1.2,--,,,,
DIW Berlin,1.8,1.8,--,1.7,1.7,1.2,--,0.5,,,,
DZ Bank,--,2.2,2.2,--,--,1.1,1.1,--,,,,
DekaBank,2.0,2.0,--,--,1.9,1.4,--,0.5,,,,
Eurozone Advisor,1.7,1.9,1.9,1.9,1.5,1.3,1.1,0.5,,,,
HSBC Hldg,1.7,1.8,--,--,--,0.8,0.9,--,,,,
HWWI,--,--,--,--,--,--,--,0.5,,,,
Helaba,--,--,--,2.1,--,--,--,--,,,,
IHS Global Insight,--,1.6,1.6,--,1.6,1.4,1.1,0.5,,,,
IfW,--,--,--,--,2.0,1.6,1.3,--,,,,
JP Morgan,--,--,--,--,--,--,1.2,--,,,,
LBBW,--,--,--,1.7,--,--,--,--,,,,
Mizuho Secs,--,--,--,--,--,--,0.8,--,,,,
NORD/LB,--,--,--,1.5,--,--,--,0.4,,,,
ODDO BHF,1.7,--,--,--,--,--,--,--,,,,
RBC,--,--,--,--,--,--,0.8,--,,,,
Rheinisch Westfa,2.0,1.8,1.9,1.8,1.3,1.4,1.1,0.6,,,,
Sal Oppenheim,1.9,1.9,--,--,--,1.1,1.0,--,,,,
Societe Generale,--,--,--,--,--,--,1.1,--,,,,
Union Investment,2.0,1.7,1.7,1.7,--,--,--,0.4,,,,
WH,2.0,--,1.8,1.5,1.3,1.4,--,0.8,,,,
ZBW,2.3,2.0,2.0,2.2,2.1,1.8,1.5,--,,,,
,,,,,,,,,,,,
