Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q1 2017,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,14-Jan-2016,14-Apr-2016,20-Jul-2016,13-Oct-2016,12-Jan-2017,12-Apr-2017,,,,,,
Median,1.6,1.6,1.5,1.3,1.8,1.9,,,,,,
Mean,1.6,1.5,1.3,1.3,1.8,1.9,,,,,,
Mode,1.7,1.8,1.5,1.3,2.0,1.9,,,,,,
Min,1.3,0.8,0.2,0.5,1.4,1.5,,,,,,
Max,1.8,1.8,1.8,1.7,2.5,2.0,,,,,,
Standard Deviation,--,--,--,--,--,0.1,,,,,,
# Forecasts,--,--,--,--,--,14 ,,,,,,
Contributor,14-Jan-2016,14-Apr-2016,20-Jul-2016,13-Oct-2016,12-Jan-2017,12-Apr-2017,,,,,,
BMO,--,1.5,0.2,0.5,1.4,--,,,,,,
Barclays,--,--,--,1.1,--,1.9,,,,,,
Berliner Spark,1.7,1.5,1.6,--,--,--,,,,,,
BofAML,--,--,--,--,1.9,--,,,,,,
CA CIB,--,1.6,--,1.5,--,2.0,,,,,,
Citigroup,--,--,--,--,--,2.0,,,,,,
DekaBank,--,1.8,1.4,0.7,2.0,1.9,,,,,,
Deutsche Bank,--,--,--,--,2.5,--,,,,,,
Eurozone Advisor,1.4,1.2,0.8,1.2,2.3,1.8,,,,,,
HSBC Hldg,--,1.2,1.1,--,1.8,2.0,,,,,,
Helaba,1.7,--,1.6,1.5,1.7,1.9,,,,,,
IHS Global Insight,1.8,1.8,1.8,1.7,2.2,2.0,,,,,,
ING Fin Mkts,--,--,1.5,--,--,1.9,,,,,,
Intesa Sanpaolo,--,--,--,1.3,1.5,1.5,,,,,,
Julius Baer,--,--,--,--,1.6,--,,,,,,
NORD/LB,1.7,1.7,1.5,1.4,2.0,1.9,,,,,,
ODDO BHF,1.3,--,--,--,--,--,,,,,,
Oppenheim,--,1.3,1.5,1.3,2.0,1.9,,,,,,
RGE,1.5,--,1.0,--,--,--,,,,,,
Rheinisch Westfa,1.5,1.7,1.5,1.6,1.7,2.0,,,,,,
Societe Generale,--,1.8,1.7,--,1.5,--,,,,,,
Uni Credit,1.6,1.6,1.2,1.3,--,1.9,,,,,,
Union Investment,--,1.8,1.4,1.0,--,--,,,,,,
WH,1.3,0.8,1.1,1.5,1.4,--,,,,,,
,,,,,,,,,,,,
