Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q4 2006,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,06-Apr-2005,06-Jul-2005,05-Oct-2005,04-Jan-2006,05-Apr-2006,05-Jul-2006,04-Oct-2006,,,,,
Median,1.2,1.3,1.1,1.3,1.4,1.6,1.3,,,,,
Mean,1.2,1.4,1.2,1.3,1.3,1.6,1.3,,,,,
Mode,1.0,1.4,1.1,1.2,1.4,1.5,1.3,,,,,
Min,0.6,0.7,0.2,0.1,0.6,1.0,1.1,,,,,
Max,1.8,2.6,2.4,1.8,1.9,2.1,1.5,,,,,
Standard Deviation,--,--,--,--,--,--,0.1,,,,,
# Forecasts,--,--,--,--,--,--,21 ,,,,,
Contributor,06-Apr-2005,06-Jul-2005,05-Oct-2005,04-Jan-2006,05-Apr-2006,05-Jul-2006,04-Oct-2006,,,,,
BNP Paribas,1.2,--,--,--,--,--,--,,,,,
BayernLB,--,1.9,0.8,1.6,1.4,--,1.1,,,,,
Bnk Amer London,1.4,1.3,1.1,1.2,1.4,1.7,1.3,,,,,
Citigroup,1.0,--,2.1,1.6,1.4,1.9,1.3,,,,,
Commerzbank UK,0.8,0.9,0.2,1.4,1.9,2.0,1.3,,,,,
Credit Suisse,--,--,1.1,--,--,1.4,--,,,,,
DIW Berlin,--,--,--,--,--,1.6,--,,,,,
DekaBank,--,1.1,--,1.1,1.0,1.1,1.3,,,,,
Deutsche Bank,1.1,1.1,1.6,1.2,1.5,1.6,--,,,,,
Dresdner Bk,0.9,0.9,1.2,1.6,1.6,1.8,1.4,,,,,
EssenHyp,--,1.1,--,--,--,1.4,--,,,,,
Generali Investments,--,--,1.5,--,--,--,--,,,,,
Goldman Sachs,--,--,--,--,1.2,--,--,,,,,
HSBC Hldg,0.6,1.0,0.9,1.1,1.2,1.5,1.5,,,,,
Helaba,1.3,2.4,1.1,1.1,1.1,1.5,1.5,,,,,
IHS Global Insight,--,1.5,2.4,1.5,--,1.5,1.1,,,,,
IfW,--,1.2,--,1.2,--,1.4,--,,,,,
Julius Baer,--,--,--,--,--,--,1.5,,,,,
LBBW,1.1,2.6,1.6,1.7,1.7,2.0,1.3,,,,,
Landesbank Hldg,1.0,1.4,--,1.1,0.7,1.0,--,,,,,
NORD/LB,--,--,1.1,1.2,1.6,--,1.2,,,,,
Nomura,0.9,0.7,0.7,1.2,1.3,--,--,,,,,
ODDO BHF,1.6,1.6,1.6,--,1.6,2.0,1.3,,,,,
Oppenheim,1.8,--,--,--,--,--,--,,,,,
Portigon,1.2,1.2,1.1,1.3,1.4,1.9,1.2,,,,,
Postbank,1.8,1.8,--,1.8,--,1.7,--,,,,,
Rheinisch Westfa,--,1.4,--,1.3,--,2.1,1.4,,,,,
Sal Oppenheim,--,1.8,1.0,1.5,1.2,1.5,1.3,,,,,
Skand Ensk Bank,1.6,1.4,1.2,1.2,1.3,1.6,1.3,,,,,
UFJ Holdings,--,--,--,1.4,--,--,--,,,,,
UniCredt Bnk,--,1.3,--,1.6,1.4,1.5,1.4,,,,,
Union Investment,--,--,--,--,--,--,1.2,,,,,
WH,--,--,--,1.6,--,--,--,,,,,
,,,,,,,,,,,,
