Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q2 2020,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,17-Jan-2019,04-Apr-2019,17-Jul-2019,17-Oct-2019,16-Jan-2020,22-Apr-2020,,,,,,
Median,1.7,1.5,1.4,1.3,1.2,0.3,,,,,,
Mean,1.6,1.6,1.3,1.2,1.2,0.3,,,,,,
Mode,1.5,1.5,1.4,1.4,1.2,0.8,,,,,,
Min,0.6,1.2,0.9,0.5,0.7,-0.6,,,,,,
Max,2.1,1.9,1.5,1.7,1.5,0.8,,,,,,
Standard Deviation,--,--,--,--,--,0.5,,,,,,
# Forecasts,--,--,--,--,--,14,,,,,,
Contributor,17-Jan-2019,04-Apr-2019,17-Jul-2019,17-Oct-2019,16-Jan-2020,22-Apr-2020,,,,,,
BMO,2.0,1.9,--,0.5,0.9,0.8,,,,,,
Barclays,0.6,1.7,1.4,1.2,1.2,-0.6,,,,,,
Berenberg,1.8,1.6,--,1.0,1.3,0.6,,,,,,
Berliner Spark,1.5,1.3,--,1.3,1.2,-0.3,,,,,,
CA CIB,1.7,--,--,--,--,--,,,,,,
Capital Econ,--,--,--,1.1,--,--,,,,,,
Citigroup,1.2,1.2,0.9,1.2,1.0,--,,,,,,
Commerzbank UK,--,--,1.4,--,--,--,,,,,,
DZ Bank,1.8,--,1.4,--,--,-0.4,,,,,,
Eurozone Advisor,--,1.5,1.4,1.4,--,--,,,,,,
Goldman Sachs,--,--,--,--,0.7,0.8,,,,,,
HSBC Hldg,--,1.5,1.5,1.4,1.2,0.2,,,,,,
Helaba,2.0,--,1.2,1.7,1.5,0.8,,,,,,
IHS Markit,1.7,1.5,1.4,1.3,1.4,0.7,,,,,,
ING Fin Mkts,1.5,--,--,1.4,1.1,0.8,,,,,,
Julius Baer,--,1.8,--,1.5,--,--,,,,,,
LBBW,--,--,--,--,1.5,--,,,,,,
NORD/LB,2.1,--,1.2,--,0.9,0.3,,,,,,
Nomura,2.0,--,--,--,--,--,,,,,,
Societe Generale,--,--,1.2,0.8,1.0,-0.1,,,,,,
Uni Credit,--,1.4,1.4,1.5,1.5,-0.1,,,,,,
WH,1.5,1.9,1.4,1.4,1.2,0.2,,,,,,
,,,,,,,,,,,,
