Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q2 2014,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,03-Oct-2012,02-Jan-2013,03-Apr-2013,03-Jul-2013,02-Oct-2013,01-Jan-2014,09-Apr-2014,16-Jul-2014,,,,
Median,1.9,2.1,1.9,1.9,1.7,1.6,1.4,1.1,,,,
Mean,1.9,2.1,1.8,1.9,1.8,1.6,1.4,1.0,,,,
Mode,--,2.3,1.9,2.1,1.7,1.6,1.4,1.1,,,,
Min,1.6,1.5,1.4,1.4,1.6,1.2,1.2,0.8,,,,
Max,2.2,2.6,2.2,2.2,2.1,2.0,1.9,1.1,,,,
Standard Deviation,--,--,--,--,--,--,--,0.1,,,,
# Forecasts,--,--,--,--,--,--,--,16 ,,,,
Contributor,03-Oct-2012,02-Jan-2013,03-Apr-2013,03-Jul-2013,02-Oct-2013,01-Jan-2014,09-Apr-2014,16-Jul-2014,,,,
Banco Santander,--,--,1.7,1.8,--,1.7,1.5,1.1,,,,
Barclays,--,--,--,--,--,--,--,0.9,,,,
BayernLB,--,--,1.8,2.1,1.9,1.4,1.4,1.1,,,,
Berenberg,--,--,1.6,1.6,1.6,1.6,--,0.9,,,,
Berliner Spark,--,--,--,--,--,1.2,1.2,1.1,,,,
Bkhaus Lampe,--,2.1,--,2.1,--,--,--,--,,,,
Citigroup,--,--,2.1,--,--,1.5,--,--,,,,
Commerzbank UK,--,--,2.2,2.0,--,--,--,--,,,,
DIW Berlin,--,--,1.9,1.9,--,1.6,1.5,1.0,,,,
DZ Bank,--,2.5,--,2.1,2.1,--,--,1.1,,,,
DekaBank,--,1.9,1.7,2.2,--,--,1.9,1.1,,,,
Eurozone Advisor,2.0,2.0,1.5,1.7,1.7,1.7,1.2,0.9,,,,
HSBC Hldg,--,--,1.9,2.1,--,--,--,0.8,,,,
Helaba,--,2.3,--,--,--,2.0,--,--,,,,
IHS Global Insight,1.6,1.5,--,1.4,1.6,--,1.2,1.0,,,,
IfW,--,2.6,--,--,--,--,1.4,1.1,,,,
LBBW,--,--,--,--,--,1.7,--,--,,,,
NORD/LB,--,--,--,--,--,1.4,--,--,,,,
ODDO BHF,1.9,--,1.8,--,--,--,--,--,,,,
Rheinisch Westfa,--,--,1.9,1.7,1.7,1.6,1.4,1.1,,,,
Sal Oppenheim,--,2.3,2.2,2.0,--,--,--,1.1,,,,
Union Investment,--,--,1.7,1.6,1.6,1.8,--,--,,,,
WH,--,1.8,1.9,--,1.8,1.5,1.4,1.1,,,,
ZBW,2.2,2.2,2.2,1.9,2.0,1.8,1.2,1.1,,,,
,,,,,,,,,,,,
