Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q3 2009,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,02-Apr-2008,02-Jul-2008,01-Oct-2008,07-Jan-2009,01-Apr-2009,01-Jul-2009,07-Oct-2009,,,,,
Median,1.7,2.0,1.7,0.3,-0.2,-0.2,-0.2,,,,,
Mean,1.7,1.9,1.7,0.3,-0.2,-0.2,-0.2,,,,,
Mode,1.7,2.0,1.8,0.2,-0.3,-0.2,-0.2,,,,,
Min,1.5,1.0,1.3,-0.2,-0.7,-0.6,-0.4,,,,,
Max,2.2,2.4,2.3,1.3,0.3,0.1,-0.2,,,,,
Standard Deviation,--,--,--,--,--,--,0.1,,,,,
# Forecasts,--,--,--,--,--,--,16 ,,,,,
Contributor,02-Apr-2008,02-Jul-2008,01-Oct-2008,07-Jan-2009,01-Apr-2009,01-Jul-2009,07-Oct-2009,,,,,
BayernLB,1.6,1.0,1.3,0.2,-0.3,--,--,,,,,
Berliner Spark,--,--,--,--,--,-0.2,-0.2,,,,,
Citigroup,1.9,--,--,--,-0.3,--,--,,,,,
Commerzbank UK,1.9,2.3,--,-0.2,--,-0.3,-0.2,,,,,
DIW Berlin,1.7,2.2,2.2,1.1,0.3,--,--,,,,,
DekaBank,1.9,2.0,2.0,--,0.0,0.1,-0.2,,,,,
Deutsche Bank,--,--,--,0.3,--,--,--,,,,,
Eurozone Advisor,--,2.2,1.8,0.1,-0.5,-0.2,-0.2,,,,,
HSBC Hldg,1.5,2.0,1.7,0.0,-0.1,0.1,-0.3,,,,,
Helaba,1.5,2.4,2.3,--,0.3,-0.2,-0.2,,,,,
IHS Global Insight,1.6,1.9,1.6,0.2,-0.2,0.0,-0.2,,,,,
Julius Baer,--,--,--,1.3,-0.2,--,--,,,,,
LBBW,--,--,--,--,--,-0.3,--,,,,,
MM Warburg,--,1.8,1.4,--,--,--,--,,,,,
NORD/LB,--,1.8,1.8,0.4,-0.3,-0.2,--,,,,,
ODDO BHF,1.7,1.9,--,0.2,-0.3,--,-0.2,,,,,
Portigon,2.2,2.0,1.4,--,-0.1,0.0,-0.2,,,,,
Postbank,--,--,--,0.3,0.1,0.0,-0.3,,,,,
Rheinisch Westfa,--,--,--,0.5,--,-0.3,--,,,,,
Sal Oppenheim,1.7,1.7,1.4,0.2,-0.4,--,-0.2,,,,,
Skand Ensk Bank,1.7,1.8,1.8,0.3,0.0,0.0,-0.3,,,,,
Uni Credit,1.6,1.5,1.6,0.5,0.2,--,--,,,,,
UniCredt Bnk,--,--,--,--,--,--,-0.3,,,,,
Union Investment,--,1.6,1.6,-0.1,-0.7,-0.6,-0.4,,,,,
WH,1.8,2.4,--,0.4,0.0,--,-0.2,,,,,
ZBW,--,2.1,--,--,-0.4,-0.3,-0.3,,,,,
,,,,,,,,,,,,
