Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q3 2011,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,06-Jan-2010,07-Apr-2010,07-Jul-2010,06-Oct-2010,05-Jan-2011,06-Apr-2011,06-Jul-2011,05-Oct-2011,,,,
Median,1.4,1.4,1.4,1.5,1.7,2.4,2.5,2.5,,,,
Mean,1.3,1.4,1.4,1.5,1.8,2.4,2.5,2.5,,,,
Mode,1.5,1.4,1.5,1.4,1.6,2.4,2.5,2.5,,,,
Min,0.6,1.1,1.0,1.2,1.4,2.0,2.1,2.4,,,,
Max,1.7,1.6,1.7,1.8,2.4,2.9,2.6,2.6,,,,
Standard Deviation,--,--,--,--,--,--,--,0.1,,,,
# Forecasts,--,--,--,--,--,--,--,19 ,,,,
Contributor,06-Jan-2010,07-Apr-2010,07-Jul-2010,06-Oct-2010,05-Jan-2011,06-Apr-2011,06-Jul-2011,05-Oct-2011,,,,
Banco Santander,--,--,--,--,--,--,2.5,--,,,,
BayernLB,--,--,--,1.6,1.6,2.4,2.5,--,,,,
Berenberg,--,--,--,--,--,--,--,2.5,,,,
Bkhaus Lampe,--,--,--,--,--,--,--,2.5,,,,
Citigroup,--,--,1.6,1.8,--,--,--,--,,,,
Commerzbank UK,1.3,1.5,1.5,--,1.8,2.1,2.5,2.4,,,,
DIW Berlin,--,--,1.4,1.5,1.6,2.3,2.6,2.4,,,,
DZ Bank,--,1.5,--,--,--,--,--,--,,,,
DekaBank,1.4,1.4,1.5,1.8,2.4,2.4,2.5,--,,,,
Deutsche Bank,1.0,--,--,--,--,--,--,--,,,,
Eurozone Advisor,1.5,1.4,1.3,1.4,1.7,2.2,2.1,2.4,,,,
HSBC Hldg,--,1.3,--,--,1.4,2.3,2.6,2.6,,,,
Helaba,--,--,1.5,1.7,1.7,2.1,2.5,2.5,,,,
IHS Global Insight,1.4,1.4,1.4,1.4,2.1,2.6,2.3,2.5,,,,
IfW,--,--,--,--,2.3,2.5,2.6,--,,,,
Kiel Economics,1.1,--,--,--,--,--,--,--,,,,
LBBW,--,--,--,--,--,2.2,--,--,,,,
NORD/LB,--,1.4,1.4,1.3,1.7,--,2.5,2.5,,,,
ODDO BHF,1.2,1.2,1.2,1.2,2.1,2.5,2.3,2.5,,,,
Portigon,--,1.3,1.3,1.4,--,2.6,2.3,2.4,,,,
Postbank,--,--,--,--,--,2.6,2.6,2.5,,,,
Rheinisch Westfa,--,1.1,1.2,1.5,1.6,2.9,2.6,2.4,,,,
Sal Oppenheim,1.5,1.5,1.5,1.5,1.6,2.7,2.4,2.4,,,,
Skand Ensk Bank,--,--,1.0,1.2,1.8,--,--,--,,,,
Uni Credit,1.4,1.4,1.7,--,2.0,--,--,--,,,,
Union Investment,1.7,--,1.7,1.7,1.8,2.3,2.3,2.6,,,,
VP Bank,--,--,--,--,--,--,--,2.6,,,,
WH,0.6,1.1,--,1.4,1.6,2.4,--,2.4,,,,
ZBW,1.6,1.6,--,1.7,1.9,2.5,2.6,2.4,,,,
,,,,,,,,,,,,
