Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q3 2008,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,04-Apr-2007,04-Jul-2007,03-Oct-2007,02-Jan-2008,02-Apr-2008,02-Jul-2008,,,,,,
Median,1.5,1.5,1.6,2.1,2.5,3.2,,,,,,
Mean,1.5,1.5,1.7,2.0,2.6,3.2,,,,,,
Mode,1.6,1.4,2.0,1.8,2.3,3.2,,,,,,
Min,1.0,1.0,1.2,1.5,2.3,2.7,,,,,,
Max,1.9,1.9,2.3,2.5,2.9,3.4,,,,,,
Standard Deviation,--,--,--,--,--,0.2,,,,,,
# Forecasts,--,--,--,--,--,18 ,,,,,,
Contributor,04-Apr-2007,04-Jul-2007,03-Oct-2007,02-Jan-2008,02-Apr-2008,02-Jul-2008,,,,,,
BayernLB,1.9,--,--,2.0,--,--,,,,,,
Berliner Spark,1.6,1.4,--,--,--,--,,,,,,
Bnk Amer London,1.4,1.2,--,--,--,--,,,,,,
CA CIB,--,--,--,1.8,--,--,,,,,,
Citigroup,1.1,1.0,1.4,--,2.4,--,,,,,,
Commerzbank UK,1.3,1.2,1.2,1.9,2.8,3.3,,,,,,
Credit Suisse,1.6,--,--,--,--,--,,,,,,
DIW Berlin,--,--,--,--,2.3,2.7,,,,,,
DZ Bank,--,--,--,2.1,--,--,,,,,,
DekaBank,1.2,1.4,1.4,2.1,2.5,3.3,,,,,,
Deutsche Bank,1.3,1.4,2.0,2.0,2.8,--,,,,,,
Dresdner Bk,--,1.7,1.5,--,--,--,,,,,,
Eurozone Advisor,1.7,1.8,--,1.8,--,3.1,,,,,,
HSBC Hldg,1.1,1.3,--,1.5,2.7,3.3,,,,,,
Helaba,--,--,1.5,--,2.5,3.0,,,,,,
IHS Global Insight,--,1.2,1.3,1.8,2.5,3.3,,,,,,
IfW,--,1.9,--,--,--,--,,,,,,
Julius Baer,1.8,--,--,--,--,--,,,,,,
LBBW,1.5,1.7,2.3,--,--,--,,,,,,
MM Warburg,--,--,--,--,--,3.3,,,,,,
NORD/LB,1.2,1.8,1.6,--,--,2.8,,,,,,
ODDO BHF,1.6,1.5,1.7,2.1,2.7,3.2,,,,,,
Oppenheim,1.7,--,--,--,--,--,,,,,,
Portigon,1.5,1.4,2.0,2.1,2.9,3.2,,,,,,
Postbank,1.4,--,1.3,1.9,--,--,,,,,,
Sal Oppenheim,--,1.6,1.7,2.3,2.6,3.0,,,,,,
Skand Ensk Bank,1.7,1.7,1.9,2.2,2.9,3.2,,,,,,
Uni Credit,1.6,1.6,1.9,2.2,2.4,3.0,,,,,,
Union Investment,1.5,--,2.0,2.5,--,3.4,,,,,,
WH,--,1.6,1.9,2.3,2.3,3.2,,,,,,
ZBW,--,--,1.6,--,--,3.2,,,,,,
,,,,,,,,,,,,
