Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q4 2007,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,05-Apr-2006,05-Jul-2006,04-Oct-2006,03-Jan-2007,04-Apr-2007,04-Jul-2007,03-Oct-2007,,,,,
Median,2.3,2.2,2.3,2.1,1.8,2.0,2.3,,,,,
Mean,2.2,2.1,2.2,2.0,1.8,2.0,2.3,,,,,
Mode,2.3,2.2,2.4,2.3,1.4,2.0,2.1,,,,,
Min,1.5,1.2,1.0,1.2,1.1,1.6,2.1,,,,,
Max,2.8,2.6,2.7,2.6,2.6,2.4,2.6,,,,,
Standard Deviation,--,--,--,--,--,--,0.2,,,,,
# Forecasts,--,--,--,--,--,--,19 ,,,,,
Contributor,05-Apr-2006,05-Jul-2006,04-Oct-2006,03-Jan-2007,04-Apr-2007,04-Jul-2007,03-Oct-2007,,,,,
BayernLB,2.6,--,2.5,2.5,2.3,--,--,,,,,
Berliner Spark,--,--,--,--,1.4,2.2,--,,,,,
Bnk Amer London,2.3,2.3,2.2,2.3,1.7,2.2,--,,,,,
Citigroup,2.4,2.4,2.4,2.0,1.4,1.6,2.1,,,,,
Commerzbank UK,2.0,2.2,2.2,1.2,1.4,1.8,2.2,,,,,
Credit Suisse,--,2.1,--,--,2.0,--,--,,,,,
DIW Berlin,--,2.1,--,2.0,--,--,--,,,,,
DekaBank,2.0,2.2,2.7,--,2.1,1.9,2.1,,,,,
Deutsche Bank,2.2,2.0,--,1.9,1.4,1.9,2.5,,,,,
Dresdner Bk,2.3,2.3,2.2,--,--,2.2,2.4,,,,,
EssenHyp,--,1.2,--,--,--,--,--,,,,,
Eurozone Advisor,--,--,--,1.6,2.3,2.3,--,,,,,
Goldman Sachs,2.1,--,--,--,--,--,--,,,,,
HSBC Hldg,1.7,1.7,1.7,1.5,1.8,2.0,--,,,,,
Helaba,2.8,2.4,2.4,2.4,--,--,2.4,,,,,
IHS Global Insight,--,2.4,2.3,2.3,--,1.9,2.3,,,,,
IfW,--,2.0,--,2.2,--,2.2,--,,,,,
Julius Baer,--,--,2.4,2.6,2.6,--,--,,,,,
LBBW,2.5,2.5,2.4,2.3,2.0,2.0,2.4,,,,,
Landesbank Hldg,2.4,2.2,--,--,--,--,--,,,,,
NORD/LB,1.7,--,1.8,--,2.1,2.0,2.2,,,,,
Nomura,2.3,--,--,--,--,--,--,,,,,
ODDO BHF,1.8,1.8,2.0,1.9,1.9,2.2,2.1,,,,,
Oppenheim,--,--,--,--,1.8,--,--,,,,,
Portigon,2.4,2.2,2.4,2.0,1.9,1.6,2.4,,,,,
Postbank,--,2.6,--,2.1,1.9,--,2.1,,,,,
Rheinisch Westfa,--,1.8,1.5,--,--,--,--,,,,,
Sal Oppenheim,2.2,2.0,2.4,2.3,--,2.0,2.5,,,,,
Skand Ensk Bank,2.3,2.4,2.3,--,1.8,2.0,2.1,,,,,
Uni Credit,--,--,--,2.2,1.8,2.4,2.4,,,,,
UniCredt Bnk,2.2,2.2,2.4,--,--,--,--,,,,,
Union Investment,--,--,2.1,1.7,1.7,--,2.6,,,,,
WH,--,--,--,2.3,--,1.9,2.2,,,,,
ZBW,--,--,--,--,--,--,2.3,,,,,
,,,,,,,,,,,,
