Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q2 2019,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,19-Oct-2017,19-Jan-2018,16-Apr-2018,18-Jul-2018,15-Oct-2018,17-Jan-2019,04-Apr-2019,,,,,
Median,1.8,1.9,1.7,1.7,1.9,1.7,1.4,,,,,
Mean,1.7,1.8,1.8,1.8,1.9,1.7,1.4,,,,,
Mode,1.8,1.7,1.7,1.7,2.0,1.5,1.4,,,,,
Min,1.6,1.3,1.4,1.6,1.4,1.4,1.2,,,,,
Max,1.8,2.1,2.2,2.1,2.3,2.1,1.8,,,,,
Standard Deviation,--,--,--,--,--,--,0.2,,,,,
# Forecasts,--,--,--,--,--,--,14,,,,,
Contributor,19-Oct-2017,19-Jan-2018,16-Apr-2018,18-Jul-2018,15-Oct-2018,17-Jan-2019,04-Apr-2019,,,,,
BMO,1.7,--,1.7,1.7,2.0,2.1,1.4,,,,,
Barclays,--,2.1,1.4,1.7,1.5,1.8,1.4,,,,,
Berenberg,1.6,1.8,1.8,1.6,1.5,1.5,1.4,,,,,
Berliner Spark,1.8,--,1.5,1.7,2.2,1.5,1.3,,,,,
BofAML,--,--,--,--,--,--,1.4,,,,,
CA CIB,--,1.3,--,1.6,1.9,1.7,--,,,,,
Citigroup,--,--,--,1.7,1.8,1.5,1.2,,,,,
Commerzbank UK,--,--,--,1.6,--,--,--,,,,,
DZ Bank,--,--,1.6,1.8,1.9,1.9,1.5,,,,,
DekaBank,--,2.1,--,1.8,2.0,--,--,,,,,
Eurozone Advisor,--,--,--,--,2.0,--,1.4,,,,,
HSBC Hldg,--,--,1.7,--,--,1.6,1.5,,,,,
Helaba,--,2.0,2.2,2.0,2.0,2.1,--,,,,,
IHS Global,1.8,2.0,--,--,--,--,--,,,,,
IHS Markit,--,--,2.1,2.1,2.2,1.8,1.5,,,,,
ING Fin Mkts,--,--,--,--,1.4,1.4,--,,,,,
Julius Baer,--,1.7,1.6,1.9,2.3,--,1.6,,,,,
NORD/LB,--,--,1.9,1.7,1.9,1.5,1.2,,,,,
Nomura,--,--,--,--,--,1.5,--,,,,,
Rheinisch Westfa,1.7,1.9,1.9,1.9,2.0,--,--,,,,,
Societe Generale,--,--,--,1.6,1.5,--,--,,,,,
Uni Credit,--,1.5,1.8,--,1.7,--,1.8,,,,,
WH,1.8,1.7,1.7,1.9,1.9,1.8,1.4,,,,,
,,,,,,,,,,,,
