Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q4 2011,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,07-Apr-2010,07-Jul-2010,06-Oct-2010,05-Jan-2011,06-Apr-2011,06-Jul-2011,05-Oct-2011,04-Jan-2012,,,,
Median,1.4,1.4,1.5,1.7,2.3,2.3,2.4,2.3,,,,
Mean,1.4,1.4,1.5,1.7,2.3,2.3,2.4,2.4,,,,
Mode,1.2,1.5,1.5,1.9,2.4,2.2,2.4,2.3,,,,
Min,1.2,1.2,1.2,1.1,1.6,2.0,2.1,2.3,,,,
Max,1.8,1.9,1.8,2.2,2.8,2.8,2.7,2.7,,,,
Standard Deviation,--,--,--,--,--,--,--,0.1,,,,
# Forecasts,--,--,--,--,--,--,--,19 ,,,,
Contributor,07-Apr-2010,07-Jul-2010,06-Oct-2010,05-Jan-2011,06-Apr-2011,06-Jul-2011,05-Oct-2011,04-Jan-2012,,,,
Banco Santander,--,--,--,--,--,2.4,--,2.3,,,,
BayernLB,--,--,1.7,1.6,2.2,2.2,--,2.3,,,,
Berenberg,--,--,--,--,--,--,2.4,2.3,,,,
Bkhaus Lampe,--,--,--,--,--,--,2.5,2.3,,,,
Citigroup,--,1.2,1.3,--,--,--,--,--,,,,
Commerzbank UK,1.5,1.5,--,1.9,2.3,2.6,2.7,2.4,,,,
DIW Berlin,--,1.3,1.6,1.7,2.5,2.7,2.6,2.3,,,,
DZ Bank,1.6,--,--,--,--,--,--,--,,,,
DekaBank,1.6,1.9,1.8,2.2,2.5,2.4,--,2.3,,,,
Eurozone Advisor,1.4,1.4,1.3,1.7,2.2,2.1,2.4,2.4,,,,
HSBC Hldg,1.4,--,--,1.3,1.9,2.2,2.2,2.3,,,,
Helaba,--,1.6,1.6,1.6,1.9,2.2,2.3,2.3,,,,
IHS Global Insight,1.4,1.4,1.4,1.8,2.4,2.1,2.1,2.3,,,,
IfW,--,--,--,1.9,2.3,2.4,--,--,,,,
LBBW,--,--,--,--,1.7,--,--,--,,,,
NORD/LB,1.3,1.3,1.2,1.5,--,2.3,2.4,2.6,,,,
ODDO BHF,1.5,1.5,1.5,1.9,2.4,2.1,2.2,2.3,,,,
Portigon,1.2,1.3,1.3,--,2.4,2.0,2.3,2.3,,,,
Postbank,--,--,--,--,2.7,2.8,2.7,--,,,,
Rheinisch Westfa,1.2,1.2,1.4,1.6,2.8,2.5,2.2,2.4,,,,
Sal Oppenheim,1.5,1.5,1.5,1.3,2.5,2.3,2.1,--,,,,
Skand Ensk Bank,--,1.2,1.2,1.5,--,--,--,--,,,,
Uni Credit,1.2,1.3,--,1.9,--,--,--,--,,,,
Union Investment,--,1.8,1.8,1.8,2.3,2.3,2.6,--,,,,
VP Bank,--,--,--,--,--,--,2.2,2.7,,,,
WH,1.2,--,1.5,1.7,2.3,--,2.3,2.4,,,,
ZBW,1.8,--,1.8,1.8,2.4,2.6,2.4,2.3,,,,
,,,,,,,,,,,,
