Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q4 2015,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,16-Jul-2014,16-Oct-2014,15-Jan-2015,22-Apr-2015,23-Jul-2015,15-Oct-2015,14-Jan-2016,,,,,
Median,1.8,1.8,1.2,0.9,1.0,0.5,0.3,,,,,
Mean,1.8,1.8,1.1,0.9,0.9,0.5,0.3,,,,,
Mode,1.7,1.9,0.6,0.8,1.0,0.4,0.3,,,,,
Min,1.4,1.4,0.6,0.3,0.3,0.0,0.1,,,,,
Max,2.5,2.5,2.0,1.4,1.3,0.8,0.6,,,,,
Standard Deviation,--,--,--,--,--,--,0.1,,,,,
# Forecasts,--,--,--,--,--,--,15 ,,,,,
Contributor,16-Jul-2014,16-Oct-2014,15-Jan-2015,22-Apr-2015,23-Jul-2015,15-Oct-2015,14-Jan-2016,,,,,
BMO,--,1.9,--,1.0,--,0.4,0.4,,,,,
BNP Paribas,--,--,--,0.8,--,--,--,,,,,
Banco Santander,1.9,--,--,--,--,--,--,,,,,
Barclays,--,--,--,0.9,0.8,0.5,--,,,,,
BayernLB,1.9,2.0,--,--,--,--,--,,,,,
Berenberg,1.7,1.5,0.6,--,--,--,--,,,,,
Berliner Spark,1.9,1.8,0.6,0.6,0.6,0.5,--,,,,,
BofAML,--,--,--,--,0.8,--,--,,,,,
CA CIB,--,--,--,1.1,--,0.5,--,,,,,
Commerzbank UK,--,2.5,--,1.4,--,--,--,,,,,
DIW Berlin,1.6,--,1.2,--,--,--,--,,,,,
DZ Bank,2.3,1.9,--,--,1.0,0.3,--,,,,,
DekaBank,1.7,--,1.0,1.1,1.2,0.3,0.3,,,,,
Eurozone Advisor,2.0,1.4,1.2,0.8,0.6,0.0,0.2,,,,,
HSBC Hldg,--,1.5,--,1.0,1.1,0.6,--,,,,,
HWWI,--,--,2.0,--,0.7,0.6,--,,,,,
Helaba,--,--,--,1.1,1.0,0.4,0.3,,,,,
IHS Global Insight,1.8,1.7,1.5,1.3,1.3,0.8,0.3,,,,,
ING Fin Mkts,--,--,--,--,1.0,--,0.1,,,,,
IfW,2.5,2.3,--,--,--,--,--,,,,,
Intesa Sanpaolo,--,--,--,--,--,--,0.5,,,,,
JP Morgan,--,1.7,--,--,--,0.4,--,,,,,
Mizuho Secs,--,1.4,--,--,--,--,--,,,,,
NORD/LB,--,--,0.8,0.6,--,--,0.2,,,,,
ODDO BHF,--,--,--,0.8,--,--,0.3,,,,,
RGE,--,--,--,--,--,--,0.2,,,,,
Rheinisch Westfa,1.7,1.8,1.3,0.9,1.0,0.7,0.4,,,,,
Sal Oppenheim,1.7,1.7,--,--,--,--,--,,,,,
Societe Generale,--,--,--,0.9,1.1,--,0.6,,,,,
TD Economics,--,--,--,--,--,--,0.6,,,,,
Uni Credit,--,--,--,0.3,0.3,0.7,0.3,,,,,
Union Investment,--,--,0.7,--,--,--,--,,,,,
WH,1.4,--,1.4,0.5,0.6,0.4,0.3,,,,,
ZBW,1.7,1.9,--,--,--,--,--,,,,,
,,,,,,,,,,,,
