Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q1 2007,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,05-Oct-2005,04-Jan-2006,05-Apr-2006,05-Jul-2006,04-Oct-2006,03-Jan-2007,,,,,,
Median,1.6,2.4,2.5,2.8,2.5,2.3,,,,,,
Mean,1.5,2.4,2.5,2.8,2.5,2.3,,,,,,
Mode,1.6,2.3,2.5,2.8,2.3,2.3,,,,,,
Min,1.1,1.0,1.8,1.9,2.1,1.9,,,,,,
Max,1.8,3.3,3.4,3.4,2.9,2.6,,,,,,
Standard Deviation,--,--,--,--,--,0.2,,,,,,
# Forecasts,--,--,--,--,--,21 ,,,,,,
Contributor,05-Oct-2005,04-Jan-2006,05-Apr-2006,05-Jul-2006,04-Oct-2006,03-Jan-2007,,,,,,
BayernLB,--,2.6,2.3,--,2.3,2.4,,,,,,
Bnk Amer London,1.2,2.3,2.4,2.8,2.4,2.4,,,,,,
Citigroup,--,2.7,2.8,3.4,2.6,2.2,,,,,,
Commerzbank UK,--,1.2,3.4,3.4,2.7,2.1,,,,,,
Credit Suisse,--,--,--,2.6,--,--,,,,,,
DIW Berlin,--,--,--,1.9,--,2.3,,,,,,
DekaBank,--,2.1,2.3,2.3,2.6,--,,,,,,
Deutsche Bank,--,2.3,2.7,2.9,--,2.3,,,,,,
Dresdner Bk,--,2.6,2.6,2.9,2.5,--,,,,,,
EssenHyp,--,--,--,2.5,--,--,,,,,,
Eurozone Advisor,--,--,--,--,--,2.2,,,,,,
Generali Investments,1.7,--,--,--,--,--,,,,,,
Goldman Sachs,--,--,2.3,--,--,--,,,,,,
HSBC Hldg,1.1,2.3,2.5,2.8,2.8,2.4,,,,,,
Helaba,--,2.3,2.5,2.8,2.8,2.3,,,,,,
IHS Global Insight,1.8,2.6,--,2.7,2.3,2.3,,,,,,
IfW,--,2.1,--,2.3,--,2.4,,,,,,
Julius Baer,--,--,--,--,2.5,1.9,,,,,,
LBBW,1.6,2.7,2.5,2.5,2.3,2.3,,,,,,
Landesbank Hldg,--,2.4,2.4,2.4,--,--,,,,,,
NORD/LB,--,2.3,2.8,--,2.4,--,,,,,,
Nomura,--,1.0,2.5,--,--,--,,,,,,
ODDO BHF,1.6,--,2.2,2.7,2.1,2.0,,,,,,
Portigon,--,2.4,2.7,3.2,2.7,2.3,,,,,,
Postbank,--,3.3,--,3.0,--,2.6,,,,,,
Rheinisch Westfa,--,--,--,3.1,2.8,--,,,,,,
Sal Oppenheim,--,2.4,2.5,3.3,2.8,2.6,,,,,,
Skand Ensk Bank,1.5,2.6,2.6,2.9,2.5,--,,,,,,
UFJ Holdings,--,3.0,--,--,--,--,,,,,,
Uni Credit,--,--,--,--,--,2.0,,,,,,
UniCredt Bnk,--,2.6,2.7,2.8,2.8,--,,,,,,
Union Investment,--,--,--,--,2.9,2.1,,,,,,
WH,--,2.3,--,--,--,2.3,,,,,,
,,,,,,,,,,,,
