Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q4 2017,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,20-Jul-2016,13-Oct-2016,12-Jan-2017,12-Apr-2017,14-Jul-2017,19-Oct-2017,,,,,,
Median,1.3,1.3,1.6,1.6,1.5,1.6,,,,,,
Mean,1.4,1.4,1.5,1.7,1.4,1.6,,,,,,
Mode,1.2,1.3,1.3,1.6,1.5,1.6,,,,,,
Min,0.5,0.5,0.7,1.0,0.9,1.2,,,,,,
Max,2.1,2.0,2.1,2.2,2.1,1.8,,,,,,
Standard Deviation,--,--,--,--,--,0.1,,,,,,
# Forecasts,--,--,--,--,--,20 ,,,,,,
Contributor,20-Jul-2016,13-Oct-2016,12-Jan-2017,12-Apr-2017,14-Jul-2017,19-Oct-2017,,,,,,
BMO,0.5,0.5,0.7,--,0.9,1.5,,,,,,
BNP Paribas,--,--,--,--,--,1.7,,,,,,
Barclays,--,1.0,--,--,1.8,1.6,,,,,,
Berenberg,--,--,--,--,1.2,1.4,,,,,,
Berliner Spark,1.9,--,--,1.8,1.7,1.6,,,,,,
BofAML,--,--,1.9,--,--,--,,,,,,
CA CIB,--,1.3,--,1.6,1.2,1.2,,,,,,
CaixaBank,--,--,--,--,--,1.7,,,,,,
Citigroup,--,--,--,1.7,1.5,--,,,,,,
Commerzbank UK,--,--,--,--,--,1.6,,,,,,
DZ Bank,--,--,--,--,--,1.6,,,,,,
DekaBank,1.4,1.5,1.8,2.0,1.5,1.6,,,,,,
Deutsche Bank,--,--,1.1,--,--,--,,,,,,
Eurozone Advisor,1.1,1.3,1.3,1.6,--,--,,,,,,
HSBC Hldg,1.2,--,1.6,1.9,--,1.7,,,,,,
Helaba,1.2,1.2,1.2,1.6,--,1.5,,,,,,
IHS Global Insight,1.7,1.6,2.1,2.0,--,1.8,,,,,,
ING Fin Mkts,--,--,--,1.0,--,--,,,,,,
Intesa Sanpaolo,--,--,1.3,1.3,--,1.8,,,,,,
JP Morgan,--,--,2.0,--,--,--,,,,,,
Julius Baer,--,--,1.6,--,1.0,--,,,,,,
NORD/LB,1.1,1.3,1.6,1.6,1.5,1.6,,,,,,
Oppenheim,1.3,1.3,1.5,1.4,--,1.4,,,,,,
RGE,--,--,--,--,2.1,--,,,,,,
Rheinisch Westfa,1.5,1.6,1.4,1.6,1.3,1.6,,,,,,
Societe Generale,--,--,1.7,--,--,1.5,,,,,,
Uni Credit,1.9,1.9,--,2.2,1.6,1.6,,,,,,
Union Investment,2.1,2.0,--,--,--,--,,,,,,
WH,1.2,1.4,1.3,1.6,--,1.5,,,,,,
,,,,,,,,,,,,
