Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q2 2015,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,01-Jan-2014,09-Apr-2014,16-Jul-2014,16-Oct-2014,15-Jan-2015,22-Apr-2015,,,,,,
Median,1.8,1.8,1.8,1.6,0.5,0.2,,,,,,
Mean,1.8,1.9,1.8,1.6,0.5,0.2,,,,,,
Mode,1.8,1.9,1.8,1.8,0.5,0.3,,,,,,
Min,1.7,1.5,1.3,1.0,-0.1,-0.1,,,,,,
Max,2.3,2.4,2.2,2.1,1.3,0.5,,,,,,
Standard Deviation,--,--,--,--,--,0.2,,,,,,
# Forecasts,--,--,--,--,--,17 ,,,,,,
Contributor,01-Jan-2014,09-Apr-2014,16-Jul-2014,16-Oct-2014,15-Jan-2015,22-Apr-2015,,,,,,
BMO,--,--,--,1.6,--,0.1,,,,,,
BNP Paribas,--,--,--,--,--,0.0,,,,,,
Banco Santander,1.9,1.9,1.7,--,--,--,,,,,,
Barclays,--,--,--,--,0.5,0.0,,,,,,
BayernLB,1.9,1.9,2.0,1.8,--,--,,,,,,
Berenberg,1.8,--,1.3,1.2,0.0,--,,,,,,
Berliner Spark,1.8,1.6,1.8,1.5,-0.1,0.1,,,,,,
CA CIB,--,--,--,--,--,0.2,,,,,,
Citigroup,1.7,--,--,--,--,--,,,,,,
Commerzbank UK,--,--,--,2.1,--,0.3,,,,,,
DIW Berlin,1.7,1.7,1.6,--,0.5,--,,,,,,
DZ Bank,--,--,2.0,2.0,--,--,,,,,,
DekaBank,--,1.9,1.8,--,0.5,0.5,,,,,,
Eurozone Advisor,2.0,1.5,1.8,1.3,0.2,0.5,,,,,,
HSBC Hldg,--,--,1.6,1.5,--,0.3,,,,,,
HWWI,--,--,--,--,1.3,--,,,,,,
Helaba,2.3,--,--,--,--,0.4,,,,,,
IHS Global Insight,--,1.8,1.8,1.7,0.6,0.5,,,,,,
IfW,--,2.4,2.2,1.8,--,--,,,,,,
Mizuho Secs,--,--,--,1.1,--,--,,,,,,
NORD/LB,1.8,--,--,--,0.1,0.0,,,,,,
ODDO BHF,--,--,--,--,--,0.2,,,,,,
RBC,--,--,--,1.0,--,--,,,,,,
Rheinisch Westfa,--,1.8,1.7,1.6,0.9,0.3,,,,,,
Sal Oppenheim,--,--,1.9,1.8,--,--,,,,,,
Societe Generale,--,--,--,1.3,--,0.3,,,,,,
Uni Credit,--,--,--,--,--,-0.1,,,,,,
Union Investment,1.8,--,--,--,0.3,--,,,,,,
WH,1.7,1.7,1.8,--,0.9,0.2,,,,,,
ZBW,1.7,2.2,1.9,1.9,--,--,,,,,,
,,,,,,,,,,,,
