Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q3 2012,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,06-Apr-2011,06-Jul-2011,05-Oct-2011,04-Jan-2012,04-Apr-2012,04-Jul-2012,03-Oct-2012,,,,,
Median,1.9,2.0,1.8,1.7,2.1,1.7,1.9,,,,,
Mean,1.9,2.0,1.8,1.7,2.0,1.8,1.9,,,,,
Mode,1.8,2.0,1.7,1.5,1.9,1.6,1.9,,,,,
Min,1.2,1.7,1.2,1.4,1.3,1.3,1.9,,,,,
Max,2.5,2.9,2.9,2.9,2.6,2.2,2.0,,,,,
Standard Deviation,--,--,--,--,--,--,0.0,,,,,
# Forecasts,--,--,--,--,--,--,14 ,,,,,
Contributor,06-Apr-2011,06-Jul-2011,05-Oct-2011,04-Jan-2012,04-Apr-2012,04-Jul-2012,03-Oct-2012,,,,,
Banco Santander,--,2.0,--,1.8,2.1,1.7,1.9,,,,,
BayernLB,1.7,1.9,--,1.4,--,--,1.9,,,,,
Berenberg,--,--,1.9,1.5,2.2,1.6,--,,,,,
Bkhaus Lampe,--,--,2.1,2.0,2.1,--,2.0,,,,,
Commerzbank UK,1.8,2.0,1.8,1.4,2.0,2.2,1.9,,,,,
DIW Berlin,2.0,1.7,1.8,1.6,2.0,2.1,--,,,,,
DekaBank,2.5,2.4,--,1.6,1.6,1.9,1.9,,,,,
Eurozone Advisor,2.3,2.0,1.5,1.9,1.9,1.6,1.9,,,,,
HSBC Hldg,1.9,1.8,1.7,1.7,2.3,--,1.9,,,,,
Helaba,1.8,1.7,1.7,1.7,--,--,1.9,,,,,
IHS Global Insight,1.7,1.7,1.7,1.6,1.9,--,1.9,,,,,
IfW,2.0,2.0,--,--,2.6,--,--,,,,,
LBBW,1.5,--,--,--,--,--,--,,,,,
NORD/LB,--,1.8,1.7,1.5,1.9,--,--,,,,,
ODDO BHF,1.9,2.0,1.6,1.8,2.2,--,1.9,,,,,
Portigon,2.1,2.1,--,1.5,--,--,--,,,,,
Postbank,--,2.9,2.9,2.9,--,1.9,--,,,,,
Rheinisch Westfa,2.3,2.3,1.7,1.7,2.2,1.8,1.9,,,,,
Sal Oppenheim,2.1,2.3,2.2,2.0,2.2,--,1.9,,,,,
Union Investment,1.8,1.8,1.8,1.8,2.1,--,--,,,,,
VP Bank,--,--,1.2,1.4,1.3,1.3,--,,,,,
WH,1.8,--,1.7,1.7,2.3,--,--,,,,,
ZBW,2.4,2.4,1.9,1.8,1.8,1.7,1.9,,,,,
,,,,,,,,,,,,
