Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q2 2012,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,06-Oct-2010,05-Jan-2011,06-Apr-2011,06-Jul-2011,05-Oct-2011,04-Jan-2012,04-Apr-2012,04-Jul-2012,,,,
Median,1.5,1.8,1.9,1.8,1.8,1.8,2.1,1.9,,,,
Mean,1.5,1.7,1.9,1.9,1.8,1.8,2.0,1.9,,,,
Mode,1.5,1.8,1.6,1.8,1.6,1.8,1.9,1.9,,,,
Min,1.3,0.7,0.9,1.4,1.2,1.3,1.5,1.8,,,,
Max,1.8,2.1,2.6,2.7,2.6,2.4,2.4,2.1,,,,
Standard Deviation,--,--,--,--,--,--,--,0.1,,,,
# Forecasts,--,--,--,--,--,--,--,10 ,,,,
Contributor,06-Oct-2010,05-Jan-2011,06-Apr-2011,06-Jul-2011,05-Oct-2011,04-Jan-2012,04-Apr-2012,04-Jul-2012,,,,
Banco Santander,--,--,--,2.1,--,1.8,2.1,1.9,,,,
BayernLB,1.8,1.8,1.6,1.7,--,1.4,--,--,,,,
Berenberg,--,--,--,--,2.1,1.6,2.2,1.9,,,,
Bkhaus Lampe,--,--,--,--,2.1,1.9,2.1,--,,,,
Commerzbank UK,--,1.8,1.7,1.8,1.8,1.3,1.9,2.1,,,,
DIW Berlin,--,1.7,2.0,1.8,1.9,1.5,1.9,2.0,,,,
DekaBank,--,2.0,2.6,2.7,--,2.1,1.9,1.9,,,,
Eurozone Advisor,1.4,1.7,1.9,1.9,1.4,2.0,2.0,1.8,,,,
HSBC Hldg,--,1.5,1.6,1.8,1.6,1.9,2.3,--,,,,
Helaba,--,2.1,1.8,1.7,1.6,1.6,--,--,,,,
IHS Global Insight,1.4,1.6,1.6,1.6,1.6,1.8,2.0,--,,,,
IfW,--,1.9,1.9,1.8,--,--,2.4,--,,,,
LBBW,--,--,1.5,--,--,--,--,--,,,,
NORD/LB,1.5,1.9,--,1.7,1.6,1.4,1.9,--,,,,
ODDO BHF,1.5,1.8,1.9,1.8,1.6,1.7,2.1,--,,,,
Portigon,--,--,2.0,1.9,1.5,1.6,--,--,,,,
Postbank,--,--,--,2.6,2.6,2.4,--,--,,,,
Rheinisch Westfa,--,--,2.5,2.4,1.7,1.8,2.2,1.9,,,,
Sal Oppenheim,--,1.7,2.0,2.1,2.1,2.0,2.1,--,,,,
Skand Ensk Bank,1.5,1.6,--,--,--,--,--,--,,,,
Uni Credit,--,1.8,--,--,--,--,--,--,,,,
Union Investment,--,1.8,1.8,1.8,1.8,2.1,2.4,--,,,,
VP Bank,--,--,--,--,1.2,1.5,1.5,1.9,,,,
WH,--,1.5,1.8,--,1.8,1.8,2.2,--,,,,
ZBW,--,--,2.2,2.3,1.9,1.9,1.9,1.9,,,,
,,,,,,,,,,,,
