Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q3 2006,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,05-Jan-2005,06-Apr-2005,06-Jul-2005,05-Oct-2005,04-Jan-2006,05-Apr-2006,05-Jul-2006,,,,,
Median,1.2,1.3,1.4,1.5,1.4,1.4,1.6,,,,,
Mean,1.2,1.2,1.4,1.5,1.4,1.4,1.6,,,,,
Mode,1.0,1.0,1.3,1.6,1.3,1.4,1.5,,,,,
Min,0.6,0.7,0.7,0.6,0.6,1.0,1.2,,,,,
Max,1.8,1.7,2.7,2.6,1.8,1.7,2.0,,,,,
Standard Deviation,--,--,--,--,--,--,0.2,,,,,
# Forecasts,--,--,--,--,--,--,23 ,,,,,
Contributor,05-Jan-2005,06-Apr-2005,06-Jul-2005,05-Oct-2005,04-Jan-2006,05-Apr-2006,05-Jul-2006,,,,,
BNP Paribas,--,1.4,--,--,--,--,--,,,,,
BayernLB,1.2,--,1.9,1.3,1.7,1.5,--,,,,,
Bnk Amer London,--,1.4,1.3,1.5,1.3,1.4,1.9,,,,,
Citigroup,1.0,0.9,--,2.2,1.4,1.4,1.7,,,,,
Commerzbank UK,1.0,0.9,0.7,0.6,1.3,1.7,1.8,,,,,
Credit Suisse,--,--,--,1.3,--,--,1.5,,,,,
DIW Berlin,--,--,--,--,--,--,1.4,,,,,
DekaBank,1.3,--,1.1,--,1.4,1.2,1.5,,,,,
Deutsche Bank,1.3,1.3,1.3,1.7,1.3,1.6,1.7,,,,,
Dresdner Bk,0.9,0.9,0.9,1.2,1.5,1.5,1.7,,,,,
EssenHyp,--,--,1.4,--,--,--,1.7,,,,,
Generali Investments,--,--,--,1.8,--,--,--,,,,,
Goldman Sachs,--,--,--,--,--,1.3,--,,,,,
HSBC Hldg,1.0,0.7,0.9,1.1,1.0,1.0,1.5,,,,,
Helaba,1.6,1.3,2.5,1.1,1.1,1.2,1.6,,,,,
IHS Global Insight,--,--,1.4,2.6,1.7,--,1.6,,,,,
IfW,1.2,--,1.4,--,1.4,--,1.5,,,,,
JP Morgan,1.0,--,--,--,--,--,--,,,,,
LBBW,1.3,1.0,2.7,1.6,1.7,1.7,2.0,,,,,
Landesbank Hldg,0.8,1.0,1.3,--,1.3,1.1,1.5,,,,,
NORD/LB,1.7,--,--,1.6,1.6,1.5,--,,,,,
Nomura,0.6,1.0,0.8,1.1,1.0,1.4,--,,,,,
ODDO BHF,--,1.7,1.7,1.6,--,1.5,1.9,,,,,
Oppenheim,--,1.7,--,--,--,--,--,,,,,
Portigon,--,1.2,1.2,1.4,1.4,1.4,1.2,,,,,
Postbank,--,1.6,1.6,--,1.4,--,1.7,,,,,
Rheinisch Westfa,--,--,1.1,--,1.6,--,1.9,,,,,
Sal Oppenheim,1.8,--,1.7,1.5,1.6,1.2,1.2,,,,,
Skand Ensk Bank,--,1.7,1.5,1.6,1.3,1.4,1.6,,,,,
UFJ Holdings,--,--,--,--,1.7,--,--,,,,,
UniCredt Bnk,1.7,--,1.5,--,1.7,1.4,1.7,,,,,
WH,1.1,--,--,--,1.8,--,--,,,,,
,,,,,,,,,,,,
