Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG - LONG-TERM OUTLOOK,,,,,,,,,,,
Forecast Horizon,Q3 2009,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Thomson Reuters,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,02-Apr-2008,02-Jul-2008,01-Oct-2008,07-Jan-2009,01-Apr-2009,01-Jul-2009,07-Oct-2009,,,,,
Median,0.4,0.5,0.3,0.0,-0.2,0.2,0.7,,,,,
Mean,0.4,0.4,0.3,0.0,-0.1,0.1,0.7,,,,,
Mode,0.4,0.5,0.2,0.1,-0.3,0.3,0.8,,,,,
Min,0.3,0.2,0.0,-0.6,-0.7,-0.6,0.0,,,,,
Max,0.6,0.5,0.5,0.6,0.5,0.5,1.4,,,,,
Standard Deviation,--,--,--,--,--,--,0.3,,,,,
# Forecasts,--,--,--,--,--,--,19 ,,,,,
Contributor,02-Apr-2008,02-Jul-2008,01-Oct-2008,07-Jan-2009,01-Apr-2009,01-Jul-2009,07-Oct-2009,,,,,
BayernLB,0.5,0.4,0.0,-0.6,-0.6,--,--,,,,,
Citigroup,0.4,--,--,--,-0.1,--,--,,,,,
Commerzbank,0.4,0.3,--,0.1,--,0.3,0.8,,,,,
DIW Berlin,0.4,0.4,0.5,0.1,-0.2,-0.2,0.7,,,,,
DZ Bank,0.4,0.5,--,0.3,0.1,0.0,0.4,,,,,
DekaBank,0.4,0.3,0.2,--,0.2,0.3,1.4,,,,,
Deutsche,--,0.2,--,-0.1,--,0.3,--,,,,,
Deutsche Postbank,0.3,0.5,0.5,0.6,0.2,0.2,0.8,,,,,
Eurozone Advisor,--,0.2,0.2,0.0,-0.3,0.4,0.4,,,,,
HSBC Trink,0.3,0.4,0.3,0.2,-0.2,0.2,0.8,,,,,
IHS Markit,0.4,0.5,0.3,-0.1,-0.3,0.3,0.8,,,,,
Julius Baer,--,--,--,0.1,-0.3,--,--,,,,,
LBB,--,--,--,--,--,-0.6,0.1,,,,,
LBBW,--,--,0.3,--,--,-0.1,0.7,,,,,
Lbk Hessen,0.4,0.5,0.4,0.3,0.5,0.4,0.8,,,,,
MM Warburg,--,0.3,0.2,-0.2,--,--,--,,,,,
NORD/LB,--,0.5,0.2,0.1,0.0,0.1,--,,,,,
ODDO BHF,0.5,0.5,--,-0.3,-0.7,--,0.6,,,,,
Portigon,--,0.5,0.0,--,0.2,0.5,0.7,,,,,
Rheinisch Westfa,--,--,--,-0.3,--,0.1,--,,,,,
Sal Oppenheim,0.6,0.5,0.4,-0.1,-0.3,--,0.7,,,,,
Skand Ensk Bank,0.4,0.4,0.3,-0.1,-0.2,0.0,0.7,,,,,
Uni Credit,0.5,0.4,0.2,0.0,0.0,--,--,,,,,
UniCredit Bnk,--,--,--,--,--,--,1.0,,,,,
Union Investment,--,0.5,0.5,0.0,0.0,0.0,0.0,,,,,
WH,0.5,0.5,--,0.0,-0.7,--,0.6,,,,,
ZBW,--,0.5,--,--,0.0,0.3,1.0,,,,,
,,,,,,,,,,,,
