Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG ,,,,,,,,,,,
Forecast Horizon,Q2 2017,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,14-Jan-2016,14-Apr-2016,20-Jul-2016,13-Oct-2016,12-Jan-2017,12-Apr-2017,14-Jul-2017,,,,,
Median,0.4,0.4,0.3,0.4,0.4,0.4,0.6,,,,,
Mean,0.4,0.4,0.3,0.4,0.4,0.4,0.6,,,,,
Mode,0.5,0.4,0.3,0.3,0.4,0.4,0.6,,,,,
Min,0.3,0.1,0.1,0.3,0.1,0.1,0.4,,,,,
Max,0.5,0.5,0.5,0.5,0.6,0.6,0.7,,,,,
Standard Deviation,--,--,--,--,--,--,0.1,,,,,
# Forecasts,--,--,--,--,--,--,19 ,,,,,
Contributor,14-Jan-2016,14-Apr-2016,20-Jul-2016,13-Oct-2016,12-Jan-2017,12-Apr-2017,14-Jul-2017,,,,,
Barclays,--,--,--,0.3,0.2,--,0.6,,,,,
BayernLB,--,--,--,--,0.1,0.2,0.5,,,,,
Berenberg,--,--,--,--,--,--,0.6,,,,,
Berliner Spark,0.3,0.4,0.2,--,--,0.1,0.7,,,,,
BofAML,--,--,--,--,0.4,--,--,,,,,
CA CIB,--,0.3,--,0.4,--,0.5,0.6,,,,,
Citigroup,--,--,--,--,--,0.5,0.7,,,,,
Credit Suisse,--,--,--,0.4,--,--,0.6,,,,,
DIW Berlin,--,--,--,0.3,--,0.4,0.6,,,,,
DZ Bank,0.5,0.5,--,--,0.4,--,0.6,,,,,
DekaBank,0.4,0.2,0.3,0.4,0.5,0.6,0.7,,,,,
Deutsche Bank,--,--,--,--,0.3,0.3,0.4,,,,,
Eurozone Advisor,0.5,0.2,0.3,0.3,0.3,0.3,0.4,,,,,
HSBC Hldg,--,0.4,0.3,--,0.4,0.4,0.5,,,,,
Helaba,0.4,--,0.4,0.5,0.4,0.4,--,,,,,
IHS Global Insight,0.5,0.5,0.4,0.5,0.6,0.4,--,,,,,
Intesa Sanpaolo,--,--,--,0.3,0.4,0.4,--,,,,,
Julius Baer,--,--,--,--,0.4,--,0.4,,,,,
NORD/LB,0.5,0.5,0.4,0.4,0.4,0.4,0.7,,,,,
ODDO BHF,0.5,0.5,--,0.5,--,--,--,,,,,
Oppenheim,0.4,0.4,0.3,0.3,0.3,0.5,--,,,,,
Postbank,--,--,--,--,--,--,0.5,,,,,
RGE,0.3,--,0.3,--,--,--,0.5,,,,,
Rheinisch Westfa,0.5,0.5,0.5,0.5,0.4,0.4,0.5,,,,,
Uni Credit,0.4,0.4,--,0.3,0.3,0.6,0.7,,,,,
Union Investment,--,0.1,0.1,0.3,--,--,--,,,,,
WH,0.4,0.4,0.4,0.4,0.5,0.4,--,,,,,
,,,,,,,,,,,,
