Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG ,,,,,,,,,,,
Forecast Horizon,Q3 2016,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,23-Jul-2015,15-Oct-2015,14-Jan-2016,14-Apr-2016,20-Jul-2016,13-Oct-2016,,,,,,
Median,0.4,0.4,0.5,0.4,0.4,0.3,,,,,,
Mean,0.4,0.4,0.5,0.4,0.4,0.3,,,,,,
Mode,0.4,0.4,0.5,0.4,0.3,0.3,,,,,,
Min,0.2,0.2,0.3,0.3,0.2,0.2,,,,,,
Max,0.5,0.6,0.6,0.6,0.5,0.4,,,,,,
Standard Deviation,--,--,--,--,--,0.1,,,,,,
# Forecasts,--,--,--,--,--,18 ,,,,,,
Contributor,23-Jul-2015,15-Oct-2015,14-Jan-2016,14-Apr-2016,20-Jul-2016,13-Oct-2016,,,,,,
Barclays,--,0.4,--,--,--,0.4,,,,,,
Berliner Spark,0.4,0.3,0.3,0.3,0.4,--,,,,,,
BofAML,0.4,--,--,--,--,--,,,,,,
CA CIB,--,0.4,--,0.4,--,0.4,,,,,,
Credit Suisse,--,--,--,--,--,0.3,,,,,,
DIW Berlin,--,--,--,--,--,0.3,,,,,,
DZ Bank,--,--,0.4,0.4,--,--,,,,,,
DekaBank,0.4,0.6,0.6,0.6,0.4,0.2,,,,,,
Deutsche Bank,--,0.4,--,0.5,--,0.2,,,,,,
Eurozone Advisor,0.4,0.6,0.5,0.4,0.5,0.3,,,,,,
HSBC Hldg,--,--,--,0.4,0.2,0.2,,,,,,
HWWI,0.3,0.3,--,--,--,--,,,,,,
Helaba,0.2,0.2,0.5,--,0.3,0.3,,,,,,
IHS Global Insight,0.5,0.5,0.5,0.5,0.2,0.3,,,,,,
Intesa Sanpaolo,--,0.4,0.5,--,--,0.4,,,,,,
MM Warburg,--,--,--,0.4,--,--,,,,,,
NORD/LB,--,--,0.5,0.3,0.3,0.4,,,,,,
ODDO BHF,0.4,--,0.5,0.5,--,0.4,,,,,,
Oppenheim,--,--,0.5,0.4,0.4,0.4,,,,,,
RGE,--,--,0.4,--,0.3,--,,,,,,
Rheinisch Westfa,0.4,0.4,0.5,0.4,0.5,0.3,,,,,,
Uni Credit,0.4,0.4,0.4,0.4,--,0.4,,,,,,
Union Investment,--,--,--,0.4,0.3,0.3,,,,,,
WH,0.4,0.4,0.5,0.5,0.5,0.3,,,,,,
,,,,,,,,,,,,
