Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG - LONG-TERM OUTLOOK,,,,,,,,,,,
Forecast Horizon,Q2 2012,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Thomson Reuters,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,06-Oct-2010,05-Jan-2011,06-Apr-2011,06-Jul-2011,05-Oct-2011,04-Jan-2012,04-Apr-2012,04-Jul-2012,,,,
Median,0.5,0.5,0.5,0.6,0.4,0.2,0.3,0.2,,,,
Mean,0.4,0.5,0.5,0.6,0.4,0.2,0.3,0.2,,,,
Mode,0.5,0.5,0.5,0.6,0.4,0.2,0.5,0.2,,,,
Min,0.2,0.2,0.2,0.3,-0.1,-0.3,0.0,-0.1,,,,
Max,0.7,0.9,1.0,1.0,0.8,0.7,0.7,0.9,,,,
Standard Deviation,--,--,--,--,--,--,--,0.2,,,,
# Forecasts,--,--,--,--,--,--,--,17 ,,,,
Contributor,06-Oct-2010,05-Jan-2011,06-Apr-2011,06-Jul-2011,05-Oct-2011,04-Jan-2012,04-Apr-2012,04-Jul-2012,,,,
Banco Santander,--,--,--,0.5,--,0.1,0.2,0.2,,,,
BayernLB,0.4,0.5,0.5,0.4,--,0.2,--,0.2,,,,
Berenberg,--,--,--,--,0.8,0.2,0.3,0.2,,,,
Bkhaus Lampe,--,--,--,--,0.4,0.3,0.3,--,,,,
Commerzbank,--,0.7,0.6,0.6,0.2,0.0,0.2,0.2,,,,
DIW Berlin,--,0.4,0.4,0.6,0.4,0.2,0.5,0.2,,,,
DZ Bank,0.5,0.7,0.5,0.6,0.6,0.7,0.7,0.3,,,,
DekaBank,--,0.6,0.6,0.6,--,0.1,0.1,0.2,,,,
Deutsche Postbank,--,--,--,0.5,0.5,0.5,0.5,0.2,,,,
Eurozone Advisor,0.5,0.5,0.5,0.5,0.3,0.1,0.2,0.0,,,,
HSBC Hldg,--,--,--,0.7,--,--,--,-0.1,,,,
HSBC Trink,--,0.5,0.4,--,0.4,-0.1,0.3,--,,,,
IHS Markit,0.5,0.6,0.6,0.6,0.3,-0.1,0.2,--,,,,
IMK,--,--,--,--,-0.1,-0.3,0.1,0.1,,,,
IfW,--,0.4,0.4,0.4,0.4,0.2,0.3,0.1,,,,
LBBW,--,--,0.6,--,--,--,0.4,--,,,,
Lbk Hessen,--,0.5,0.5,0.5,0.7,0.6,--,--,,,,
Mfi Asset Mgnt,--,--,--,--,--,0.5,--,--,,,,
NORD/LB,0.4,0.4,--,0.6,0.5,0.5,0.5,--,,,,
ODDO BHF,0.7,0.7,0.7,0.7,0.4,0.2,0.4,--,,,,
Portigon,--,0.5,0.5,0.6,0.1,0.2,--,--,,,,
Rheinisch Westfa,--,--,0.6,0.4,0.3,0.2,0.5,0.3,,,,
Sal Oppenheim,--,0.6,0.6,0.5,0.4,0.4,0.4,--,,,,
Skand Ensk Bank,0.3,0.4,--,--,--,--,--,--,,,,
Uni Credit,--,0.5,--,--,--,--,--,--,,,,
Union Investment,--,0.9,1.0,1.0,0.1,0.0,0.0,-0.1,,,,
VP Bank,--,--,--,--,0.3,0.6,0.5,0.9,,,,
WH,--,0.5,0.5,--,0.3,0.1,0.5,--,,,,
ZBW,--,--,0.5,0.6,0.4,0.3,0.3,0.3,,,,
,,,,,,,,,,,,
