Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG - LONG-TERM OUTLOOK,,,,,,,,,,,
Forecast Horizon,Q2 2015,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Thomson Reuters,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,01-Jan-2014,09-Apr-2014,16-Jul-2014,16-Oct-2014,15-Jan-2015,22-Apr-2015,23-Jul-2015,,,,,
Median,0.4,0.5,0.5,0.4,0.4,0.5,0.5,,,,,
Mean,0.5,0.5,0.5,0.5,0.4,0.5,0.5,,,,,
Mode,0.4,0.5,0.5,0.4,0.4,0.5,0.5,,,,,
Min,0.3,0.3,0.3,0.3,0.3,0.2,0.2,,,,,
Max,0.6,0.6,0.6,0.7,0.5,0.9,0.8,,,,,
Standard Deviation,--,--,--,--,--,--,0.1,,,,,
# Forecasts,--,--,--,--,--,--,13 ,,,,,
Contributor,01-Jan-2014,09-Apr-2014,16-Jul-2014,16-Oct-2014,15-Jan-2015,22-Apr-2015,23-Jul-2015,,,,,
BNP Paribas Bk,--,--,--,--,--,0.9,--,,,,,
Banco Santander,0.4,0.5,0.5,--,--,--,--,,,,,
Barclays,--,--,--,--,--,0.4,--,,,,,
BayernLB,0.4,0.4,0.5,0.4,0.4,0.5,--,,,,,
Berenberg,0.6,0.6,0.6,0.6,0.4,--,--,,,,,
BoFAML,--,--,--,--,--,--,0.5,,,,,
CA CIB,--,--,--,--,--,0.5,--,,,,,
Citigroup,0.5,--,--,--,--,--,--,,,,,
Commerzbank,--,--,--,0.4,--,0.5,--,,,,,
DIW Berlin,0.4,0.5,0.5,--,0.4,--,--,,,,,
DZ Bank,0.6,0.6,0.4,0.3,0.4,--,0.7,,,,,
DekaBank,--,0.5,0.5,--,0.4,0.4,0.5,,,,,
Deutsche,--,--,--,0.4,--,--,--,,,,,
Eurozone Advisor,0.4,0.4,0.4,0.3,0.5,0.3,0.7,,,,,
HSBC Hldg,--,--,0.4,0.4,--,0.5,0.5,,,,,
HWWI,--,--,--,--,0.3,--,0.5,,,,,
IHS Markit,--,0.5,0.5,0.6,0.5,0.7,0.6,,,,,
IMK,--,0.6,0.6,--,--,--,--,,,,,
IfW,0.6,0.6,0.6,0.6,--,--,--,,,,,
LBB,0.4,0.3,0.3,0.4,0.4,0.2,0.8,,,,,
LBBW,--,--,--,--,--,0.4,--,,,,,
Lbk Hessen,0.3,--,--,--,--,0.5,0.5,,,,,
Mizuho Security,--,--,--,0.7,--,--,--,,,,,
NORD/LB,0.6,--,--,--,0.4,0.3,--,,,,,
ODDO BHF,--,--,--,--,--,0.5,0.2,,,,,
Rheinisch Westfa,--,0.5,0.5,0.5,0.5,0.6,0.5,,,,,
Sal Oppenheim,--,--,0.5,0.4,--,--,--,,,,,
Uni Credit,--,--,--,--,--,0.5,0.5,,,,,
Union Investment,0.5,0.5,--,--,0.3,--,--,,,,,
WH,0.4,0.4,0.4,--,0.4,0.5,0.5,,,,,
ZBW,0.4,0.5,0.6,0.5,--,--,--,,,,,
,,,,,,,,,,,,
