Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG - LONG-TERM OUTLOOK,,,,,,,,,,,
Forecast Horizon,Q4 2007,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Thomson Reuters,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,05-Apr-2006,05-Jul-2006,04-Oct-2006,03-Jan-2007,04-Apr-2007,04-Jul-2007,03-Oct-2007,02-Jan-2008,,,,
Median,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.4,,,,
Mean,0.4,0.4,0.4,0.5,0.5,0.6,0.5,0.4,,,,
Mode,0.4,0.4,0.4,0.6,0.5,0.6,0.6,0.3,,,,
Min,0.0,-0.2,-0.2,-0.2,-0.1,0.4,0.0,0.2,,,,
Max,0.7,0.6,0.8,0.8,0.9,0.9,0.8,0.7,,,,
Standard Deviation,--,--,--,--,--,--,--,0.1,,,,
# Forecasts,--,--,--,--,--,--,--,19,,,,
Contributor,05-Apr-2006,05-Jul-2006,04-Oct-2006,03-Jan-2007,04-Apr-2007,04-Jul-2007,03-Oct-2007,02-Jan-2008,,,,
BayernLB,0.1,--,0.5,0.6,0.6,--,--,0.7,,,,
Bnk Amer London,0.4,0.4,0.4,0.6,0.6,0.6,--,--,,,,
Citigroup,0.6,0.5,0.8,--,0.9,0.9,0.7,--,,,,
Commerzbank,0.4,0.3,0.4,0.4,0.4,0.5,0.5,0.3,,,,
Commerzbank Fina,0.4,0.4,0.4,--,0.5,--,--,--,,,,
Credit Agri Lon,--,--,--,--,0.6,--,--,0.6,,,,
Credit Suisse,0.7,0.6,0.6,--,0.5,--,--,--,,,,
DIW Berlin,--,0.3,--,0.5,--,--,--,0.6,,,,
DZ Bank,0.4,0.4,--,0.5,0.5,0.5,0.5,0.4,,,,
DekaBank,0.6,0.5,0.5,0.5,0.6,0.6,0.6,0.3,,,,
Deutsche,0.2,0.4,0.4,0.4,0.4,0.6,0.5,0.3,,,,
Deutsche Postbank,--,0.4,0.4,0.5,0.6,--,0.6,0.5,,,,
Dresdner Bk,0.5,0.5,0.6,--,0.5,0.5,0.3,--,,,,
EssenHyp,--,0.2,--,--,--,--,--,--,,,,
Eurozone Advisor,--,--,--,0.5,0.5,0.6,--,0.6,,,,
Goldman Sachs,0.4,--,--,--,--,--,--,--,,,,
HSBC Trink,0.3,0.4,0.3,0.2,0.4,0.7,0.6,0.3,,,,
IHS Markit,--,0.5,0.5,0.4,--,0.6,0.7,0.4,,,,
IfW,--,0.3,--,0.5,--,0.6,--,--,,,,
Julius Baer,--,--,0.1,0.3,0.5,--,--,--,,,,
LBB,--,--,--,--,-0.1,0.6,--,--,,,,
LBBW,0.5,0.3,0.3,0.6,0.5,0.5,0.5,--,,,,
Landesbank Hldg,0.0,-0.2,--,--,--,--,--,--,,,,
Lbk Hessen,0.6,0.5,0.6,0.6,--,--,0.6,--,,,,
NORD/LB,0.4,0.4,0.4,0.4,0.6,0.5,0.6,--,,,,
Nomura Co,0.5,--,--,0.6,0.5,--,--,--,,,,
ODDO BHF,0.5,0.3,0.3,0.3,0.5,0.4,0.0,0.3,,,,
Oppenheim,--,--,--,--,0.5,--,--,--,,,,
Portigon,0.4,0.4,0.4,0.5,0.6,0.7,0.6,0.5,,,,
Rheinisch Westfa,--,0.5,0.6,--,0.5,--,--,--,,,,
Sal Oppenheim,0.4,0.4,0.5,0.6,--,0.6,0.4,0.4,,,,
Skand Ensk Bank,0.4,0.4,0.3,--,0.5,0.4,0.4,0.2,,,,
Uni Credit,--,--,--,0.3,0.4,0.5,0.5,0.5,,,,
UniCredit Bnk,0.2,0.2,0.3,--,--,--,--,--,,,,
Union Investment,--,--,0.8,0.8,0.7,0.7,0.7,0.7,,,,
WH,--,--,--,0.6,--,0.7,0.6,0.4,,,,
ZBW,--,--,--,--,--,--,0.6,--,,,,
,,,,,,,,,,,,
