Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG - LONG-TERM OUTLOOK,,,,,,,,,,,
Forecast Horizon,Q3 2007,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Thomson Reuters,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,04-Jan-2006,05-Apr-2006,05-Jul-2006,04-Oct-2006,03-Jan-2007,04-Apr-2007,04-Jul-2007,03-Oct-2007,,,,
Median,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,,,,
Mean,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.6,,,,
Mode,0.4,0.4,0.3,0.4,0.5,0.5,0.6,0.6,,,,
Min,0.1,0.1,0.1,0.1,0.0,0.0,0.4,0.3,,,,
Max,0.8,0.6,0.6,0.6,0.6,0.9,1.0,0.8,,,,
Standard Deviation,--,--,--,--,--,--,--,0.1,,,,
# Forecasts,--,--,--,--,--,--,--,21 ,,,,
Contributor,04-Jan-2006,05-Apr-2006,05-Jul-2006,04-Oct-2006,03-Jan-2007,04-Apr-2007,04-Jul-2007,03-Oct-2007,,,,
BayernLB,0.2,0.4,--,0.5,0.6,0.4,--,--,,,,
Bnk Amer London,0.4,0.3,0.3,0.4,0.5,0.5,0.6,--,,,,
Citigroup,0.4,0.6,0.4,0.6,--,0.9,0.8,0.7,,,,
Commerzbank,0.4,0.3,0.3,0.4,0.4,0.4,0.7,0.7,,,,
Commerzbank Fina,--,0.3,0.3,0.3,--,0.4,--,--,,,,
Credit Agri Lon,--,--,--,--,--,0.5,--,--,,,,
Credit Suisse,0.5,0.6,0.6,0.6,--,0.6,--,--,,,,
DIW Berlin,0.5,--,0.3,--,0.5,--,--,--,,,,
DZ Bank,0.4,0.4,0.4,--,0.5,0.5,0.5,0.6,,,,
DekaBank,0.4,0.4,0.4,0.4,0.4,0.6,0.6,0.5,,,,
Deutsche,0.3,0.3,0.2,0.3,0.3,0.3,0.5,0.4,,,,
Deutsche Postbank,0.4,--,0.4,0.4,0.4,0.4,--,0.8,,,,
Dresdner Bk,0.4,0.4,0.4,0.5,--,0.4,0.4,0.5,,,,
EssenHyp,--,--,0.1,--,--,--,--,--,,,,
Eurozone Advisor,--,--,--,--,0.5,0.5,0.6,--,,,,
Goldman Sachs,--,0.4,--,--,--,--,--,--,,,,
HSBC Trink,0.2,0.4,0.5,0.2,0.3,0.5,0.6,0.6,,,,
IHS Markit,0.4,--,0.4,0.4,0.4,--,0.6,0.7,,,,
IfW,0.4,--,0.3,--,0.6,--,1.0,--,,,,
Julius Baer,--,--,--,0.4,0.4,0.2,--,--,,,,
LBB,--,--,--,--,--,0.0,0.5,--,,,,
LBBW,0.4,0.5,0.3,0.3,0.6,0.5,0.5,0.6,,,,
Landesbank Hldg,0.1,0.1,0.1,--,--,--,--,--,,,,
Lbk Hessen,0.5,0.5,0.5,0.6,0.5,--,--,0.6,,,,
NORD/LB,0.5,0.5,0.5,0.5,0.2,0.5,0.6,0.6,,,,
Nomura Co,0.4,0.5,--,--,0.4,0.5,--,--,,,,
ODDO BHF,--,0.5,0.5,0.5,0.5,0.5,0.5,0.3,,,,
Oppenheim,--,--,--,--,--,0.5,--,--,,,,
Portigon,0.3,0.3,0.3,0.3,0.4,0.6,0.6,0.7,,,,
Rheinisch Westfa,--,--,0.4,0.6,--,0.5,--,--,,,,
Sal Oppenheim,0.2,0.3,0.3,0.3,0.5,--,0.7,0.7,,,,
Skand Ensk Bank,0.4,0.4,0.4,0.4,--,0.6,0.5,0.5,,,,
UFJ Holdings,0.8,--,--,--,--,--,--,--,,,,
Uni Credit,--,--,--,--,0.2,0.4,0.5,0.6,,,,
UniCredit Bnk,0.2,0.2,0.2,0.2,--,--,--,--,,,,
Union Investment,--,--,--,0.6,0.6,0.6,0.6,0.7,,,,
WH,0.4,--,--,--,0.6,--,0.7,0.6,,,,
ZBW,--,--,--,--,--,--,--,0.5,,,,
,,,,,,,,,,,,
