Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG - LONG-TERM OUTLOOK,,,,,,,,,,,
Forecast Horizon,Q1 2011,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Thomson Reuters,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,07-Oct-2009,06-Jan-2010,07-Apr-2010,07-Jul-2010,06-Oct-2010,05-Jan-2011,06-Apr-2011,,,,,
Median,0.4,0.4,0.4,0.3,0.3,0.4,0.8,,,,,
Mean,0.4,0.4,0.4,0.4,0.3,0.5,0.8,,,,,
Mode,0.4,0.4,0.3,0.3,0.3,0.4,0.8,,,,,
Min,0.2,0.2,0.1,0.2,0.2,0.2,0.5,,,,,
Max,0.5,0.5,0.6,0.5,0.5,1.0,1.0,,,,,
Standard Deviation,--,--,--,--,--,--,0.2,,,,,
# Forecasts,--,--,--,--,--,--,20 ,,,,,
Contributor,07-Oct-2009,06-Jan-2010,07-Apr-2010,07-Jul-2010,06-Oct-2010,05-Jan-2011,06-Apr-2011,,,,,
BayernLB,--,--,--,--,0.3,0.4,0.8,,,,,
Citigroup,--,--,--,0.3,0.5,--,--,,,,,
Commerzbank,--,0.4,0.3,0.2,--,0.6,0.9,,,,,
DIW Berlin,--,--,--,0.4,0.2,0.4,0.9,,,,,
DZ Bank,--,0.5,0.4,--,0.2,0.7,0.6,,,,,
DekaBank,--,0.3,0.1,0.3,0.3,0.3,0.9,,,,,
Deutsche,--,0.3,--,--,--,--,--,,,,,
Deutsche Postbank,--,--,0.2,0.3,--,0.4,0.7,,,,,
Eurozone Advisor,0.4,0.4,0.4,0.3,0.2,0.3,0.8,,,,,
HSBC Trink,--,--,0.3,--,--,0.3,0.8,,,,,
IHS Markit,0.4,0.4,0.4,0.3,0.4,0.7,1.0,,,,,
IfW,--,--,--,--,0.2,0.4,0.7,,,,,
Kiel Economics,--,0.5,--,--,--,--,--,,,,,
LBB,0.3,--,--,--,--,--,--,,,,,
LBBW,--,--,--,--,--,--,1.0,,,,,
Lbk Hessen,--,--,--,0.3,0.3,0.2,0.5,,,,,
NORD/LB,--,--,0.4,0.3,0.2,0.7,--,,,,,
ODDO BHF,0.2,0.2,0.5,0.5,0.5,0.7,0.8,,,,,
Portigon,0.4,0.4,0.4,0.4,0.3,0.6,0.8,,,,,
Rheinisch Westfa,--,--,0.3,0.4,0.3,0.4,0.8,,,,,
Sal Oppenheim,--,0.5,0.6,0.5,0.4,0.4,1.0,,,,,
Skand Ensk Bank,0.4,--,--,0.5,0.2,0.5,--,,,,,
Uni Credit,--,0.3,0.3,0.3,--,0.5,--,,,,,
Union Investment,--,0.3,--,0.4,0.4,0.4,0.5,,,,,
WH,--,0.5,0.5,--,0.3,0.3,0.8,,,,,
ZBW,0.5,0.5,0.5,--,0.5,0.5,0.6,,,,,
,,,,,,,,,,,,
