Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG - LONG-TERM OUTLOOK,,,,,,,,,,,
Forecast Horizon,Q2 2010,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Thomson Reuters,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,07-Jan-2009,01-Apr-2009,01-Jul-2009,07-Oct-2009,06-Jan-2010,07-Apr-2010,07-Jul-2010,,,,,
Median,0.3,0.2,0.2,0.2,0.3,0.7,1.0,,,,,
Mean,0.3,0.2,0.1,0.2,0.3,0.7,1.1,,,,,
Mode,0.3,0.1,0.2,0.2,0.3,0.7,0.9,,,,,
Min,0.0,-0.2,-0.2,-0.2,-0.1,0.3,0.8,,,,,
Max,0.5,0.6,0.4,0.4,0.9,1.3,1.5,,,,,
Standard Deviation,--,--,--,--,--,--,0.2,,,,,
# Forecasts,--,--,--,--,--,--,17,,,,,
Contributor,07-Jan-2009,01-Apr-2009,01-Jul-2009,07-Oct-2009,06-Jan-2010,07-Apr-2010,07-Jul-2010,,,,,
BayernLB,--,--,--,--,0.3,--,--,,,,,
Citigroup,--,0.2,--,--,--,--,1.1,,,,,
Commerzbank,0.3,--,0.2,0.3,0.3,1.3,1.5,,,,,
DIW Berlin,0.3,0.2,0.2,0.2,--,--,0.9,,,,,
DZ Bank,0.4,0.4,0.3,0.2,0.1,0.3,--,,,,,
DekaBank,--,-0.1,-0.1,0.3,0.3,0.7,1.5,,,,,
Deutsche,--,--,0.3,--,0.5,--,--,,,,,
Deutsche Postbank,0.5,0.4,0.4,0.4,0.9,0.9,1.0,,,,,
Eurozone Advisor,0.2,0.2,-0.2,-0.2,-0.1,0.9,1.2,,,,,
HSBC Trink,0.3,0.1,0.2,0.2,--,0.8,--,,,,,
IHS Markit,0.1,0.1,0.2,0.2,0.2,1.0,1.2,,,,,
Julius Baer,0.2,0.6,--,--,--,--,--,,,,,
Kiel Economics,--,--,--,--,0.2,--,--,,,,,
LBB,--,--,0.1,0.2,--,--,--,,,,,
LBBW,--,--,0.1,0.1,0.3,--,--,,,,,
Lbk Hessen,0.4,0.4,0.4,0.3,--,--,0.9,,,,,
NORD/LB,0.1,0.1,0.0,--,--,0.5,1.0,,,,,
ODDO BHF,0.0,-0.2,--,0.1,0.2,0.4,1.1,,,,,
Portigon,--,0.3,0.3,0.1,0.1,0.7,1.0,,,,,
Rheinisch Westfa,--,--,0.1,--,0.1,0.6,0.8,,,,,
Sal Oppenheim,0.4,0.3,--,0.3,0.3,0.7,1.0,,,,,
Skand Ensk Bank,0.3,0.3,-0.2,0.2,--,--,1.1,,,,,
Uni Credit,0.3,0.3,--,--,0.2,0.9,0.9,,,,,
UniCredit Bnk,--,--,--,0.2,--,--,--,,,,,
Union Investment,0.2,0.2,0.2,0.2,0.3,--,0.9,,,,,
WH,0.3,0.1,--,0.2,0.3,0.8,--,,,,,
ZBW,--,0.2,0.0,0.3,0.3,0.7,--,,,,,
,,,,,,,,,,,,
