Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG ,,,,,,,,,,,
Forecast Horizon,Q1 2018,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,13-Oct-2016,12-Jan-2017,12-Apr-2017,14-Jul-2017,19-Oct-2017,19-Jan-2018,16-Apr-2018,,,,,
Median,0.4,0.4,0.4,0.4,0.4,0.6,0.6,,,,,
Mean,0.4,0.4,0.4,0.5,0.5,0.6,0.6,,,,,
Mode,0.4,0.4,0.4,0.4,0.4,0.5,0.6,,,,,
Min,0.3,0.3,0.3,0.4,0.4,0.4,0.4,,,,,
Max,0.5,0.6,0.5,0.6,0.6,0.8,0.8,,,,,
Standard Deviation,--,--,--,--,--,--,0.1,,,,,
# Forecasts,--,--,--,--,--,--,19 ,,,,,
Contributor,13-Oct-2016,12-Jan-2017,12-Apr-2017,14-Jul-2017,19-Oct-2017,19-Jan-2018,16-Apr-2018,,,,,
Banque Pictet,--,--,--,--,0.5,--,--,,,,,
Barclays,--,0.6,--,0.4,0.4,0.6,0.5,,,,,
BayernLB,--,0.4,0.5,0.4,0.4,--,0.6,,,,,
Berenberg,--,--,--,0.4,0.5,0.6,0.5,,,,,
Berliner Spark,--,--,0.3,0.4,0.4,0.7,0.6,,,,,
BofAML,--,0.4,--,--,--,--,--,,,,,
CA CIB,--,--,0.4,0.5,0.5,0.5,--,,,,,
Citigroup,--,--,0.5,0.5,--,--,--,,,,,
Commerzbk,--,--,--,--,0.4,--,--,,,,,
Credit Suisse,--,--,--,0.4,0.4,--,--,,,,,
DIW Berlin,0.4,--,0.4,0.4,0.4,--,0.7,,,,,
DZ Bank,--,0.5,--,0.4,0.4,--,0.5,,,,,
Daiwa Cap Mkts,--,--,--,--,--,0.7,0.5,,,,,
DekaBank,--,0.4,0.4,0.4,0.4,0.7,--,,,,,
Deutsche Bank,--,--,--,--,--,0.5,--,,,,,
Eurozone Advisor,0.3,0.4,0.4,0.5,0.4,--,0.6,,,,,
HSBC Hldg,--,--,0.5,0.5,0.5,0.5,0.6,,,,,
Helaba,0.3,0.3,0.3,--,0.5,0.4,0.4,,,,,
IHS Global Insight,0.4,0.5,0.5,--,0.6,0.8,--,,,,,
IHS Markit,--,--,--,--,--,--,0.8,,,,,
Intesa Sanpaolo,--,0.4,0.4,--,0.5,--,--,,,,,
Julius Baer,--,0.6,--,0.6,--,0.4,0.6,,,,,
LBBW,--,--,--,--,--,--,0.6,,,,,
NORD/LB,0.4,0.4,0.4,0.5,0.5,0.6,0.4,,,,,
ODDO BHF,0.5,--,--,--,--,--,--,,,,,
Oppenheim,--,0.4,0.4,--,0.4,--,--,,,,,
Postbank,--,--,--,0.4,--,--,--,,,,,
RGE,--,--,--,0.5,--,--,--,,,,,
Rabobank,--,--,--,--,--,--,0.7,,,,,
Rheinisch Westfa,0.4,0.4,0.4,0.5,0.5,0.5,0.6,,,,,
Societe Generale,--,--,--,--,--,--,0.7,,,,,
Uni Credit,--,--,0.4,0.4,0.4,0.5,0.5,,,,,
WH,0.4,0.4,0.4,--,0.5,0.6,0.6,,,,,
,,,,,,,,,,,,
