Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG - LONG-TERM OUTLOOK,,,,,,,,,,,
Forecast Horizon,Q4 2013,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Thomson Reuters,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,04-Apr-2012,04-Jul-2012,03-Oct-2012,02-Jan-2013,03-Apr-2013,03-Jul-2013,02-Oct-2013,01-Jan-2014,,,,
Median,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,,,,
Mean,0.5,0.5,0.4,0.4,0.5,0.4,0.4,0.4,,,,
Mode,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.5,,,,
Min,0.2,0.1,0.1,0.3,0.2,0.3,0.2,0.2,,,,
Max,0.7,0.7,0.6,0.6,0.8,0.6,0.6,0.6,,,,
Standard Deviation,--,--,--,--,--,--,--,0.1,,,,
# Forecasts,--,--,--,--,--,--,--,17 ,,,,
Contributor,04-Apr-2012,04-Jul-2012,03-Oct-2012,02-Jan-2013,03-Apr-2013,03-Jul-2013,02-Oct-2013,01-Jan-2014,,,,
Banco Santander,0.5,0.3,0.5,0.5,0.4,0.4,--,0.3,,,,
BayernLB,--,0.6,0.4,--,0.5,0.4,0.4,0.5,,,,
Berenberg,0.6,0.6,--,--,0.6,0.5,0.5,0.5,,,,
Bkhaus Lampe,--,--,0.3,0.4,--,0.3,--,--,,,,
Citigroup,--,--,--,--,0.2,--,--,0.5,,,,
Commerzbank,0.3,0.4,0.4,--,0.6,--,0.3,--,,,,
DIW Berlin,0.6,0.6,--,--,0.5,0.6,--,0.3,,,,
DZ Bank,0.3,0.4,--,0.6,0.6,0.6,0.6,0.6,,,,
DekaBank,0.5,0.5,0.4,0.4,0.4,0.3,--,--,,,,
Deutsche Postbank,--,0.4,0.5,0.4,--,0.5,0.3,--,,,,
Eurozone Advisor,0.4,0.4,0.6,0.5,0.4,0.4,0.4,0.4,,,,
HSBC Hldg,--,0.5,--,--,--,--,--,--,,,,
HSBC Trink,0.4,--,0.5,--,0.5,0.4,--,--,,,,
IHS Markit,0.5,--,0.2,0.4,--,0.5,0.5,--,,,,
IMK,0.2,0.1,0.2,0.4,0.4,--,0.2,0.2,,,,
IfW,0.6,0.6,0.5,0.3,0.3,0.4,0.4,0.4,,,,
LBB,--,--,--,--,--,--,--,0.5,,,,
LBBW,0.6,--,--,--,--,--,--,0.5,,,,
Lbk Hessen,--,--,--,--,--,--,--,0.4,,,,
NORD/LB,0.5,--,--,--,--,--,--,0.4,,,,
ODDO BHF,0.3,--,0.3,0.4,0.3,0.3,--,--,,,,
Rheinisch Westfa,0.6,0.5,0.1,0.4,0.4,0.4,0.4,0.2,,,,
Sal Oppenheim,0.4,--,0.4,0.5,0.4,0.4,--,--,,,,
Union Investment,0.7,0.7,0.6,--,0.5,0.5,0.5,0.5,,,,
WH,0.5,--,--,0.5,0.8,0.5,0.6,0.3,,,,
ZBW,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.6,,,,
,,,,,,,,,,,,
