Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG - LONG-TERM OUTLOOK,,,,,,,,,,,
Forecast Horizon,Q1 2007,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Thomson Reuters,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,04-Jan-2006,05-Apr-2006,05-Jul-2006,04-Oct-2006,03-Jan-2007,04-Apr-2007,,,,,,
Median,-0.1,-0.2,-0.3,-0.3,-0.1,0.2,,,,,,
Mean,-0.1,-0.2,-0.3,-0.3,-0.1,0.1,,,,,,
Mode,0.0,-0.1,-0.2,-0.1,0.0,0.3,,,,,,
Min,-0.9,-0.8,-0.8,-0.8,-0.4,-0.3,,,,,,
Max,0.7,0.4,0.1,0.1,0.3,0.5,,,,,,
Standard Deviation,--,--,--,--,--,0.2,,,,,,
# Forecasts,--,--,--,--,--,26,,,,,,
Contributor,04-Jan-2006,05-Apr-2006,05-Jul-2006,04-Oct-2006,03-Jan-2007,04-Apr-2007,,,,,,
BayernLB,-0.1,-0.3,--,-0.5,0.2,0.0,,,,,,
Bnk Amer London,0.2,0.1,-0.1,-0.1,0.1,0.4,,,,,,
Citigroup,-0.4,-0.7,-0.4,-0.6,--,0.3,,,,,,
Commerzbank,0.1,0.0,0.0,-0.3,-0.3,0.1,,,,,,
Commerzbank Fina,--,-0.1,0.1,-0.2,--,0.3,,,,,,
Credit Agri Lon,--,--,--,--,--,0.0,,,,,,
Credit Suisse,0.2,0.0,0.0,0.0,--,0.3,,,,,,
DIW Berlin,0.0,--,-0.2,--,0.3,--,,,,,,
DZ Bank,0.0,0.0,-0.2,--,-0.1,0.1,,,,,,
DekaBank,-0.5,-0.5,-0.5,-0.4,0.0,0.1,,,,,,
Deutsche,-0.9,-0.8,-0.5,-0.4,-0.4,-0.2,,,,,,
Deutsche Postbank,-0.1,--,-0.4,-0.4,0.3,0.4,,,,,,
Dresdner Bk,-0.4,-0.4,-0.4,-0.5,--,0.4,,,,,,
EssenHyp,--,--,-0.2,--,--,--,,,,,,
Eurozone Advisor,--,--,--,--,-0.3,0.3,,,,,,
Goldman Sachs,--,-0.1,--,--,--,--,,,,,,
HSBC Trink,0.5,-0.5,-0.6,-0.2,0.0,0.1,,,,,,
IHS Markit,-0.4,--,-0.4,-0.2,-0.1,--,,,,,,
IfW,0.5,--,-0.5,--,-0.1,--,,,,,,
Julius Baer,--,--,--,0.1,0.1,0.3,,,,,,
LBB,--,--,--,--,--,0.3,,,,,,
LBBW,-0.2,0.2,-0.3,-0.3,-0.2,-0.2,,,,,,
Landesbank Hldg,0.0,-0.1,0.0,--,--,--,,,,,,
Lbk Hessen,-0.2,-0.2,-0.3,-0.3,0.0,--,,,,,,
NORD/LB,-0.5,-0.7,-0.6,-0.6,-0.2,0.2,,,,,,
Nomura Co,0.1,0.4,--,--,-0.3,-0.3,,,,,,
ODDO BHF,--,0.1,0.0,0.0,0.0,0.0,,,,,,
Oppenheim,--,--,--,--,--,0.2,,,,,,
Portigon,-0.3,-0.3,-0.3,-0.1,0.2,0.2,,,,,,
Rheinisch Westfa,--,--,-0.2,0.1,--,0.5,,,,,,
Sal Oppenheim,-0.1,-0.1,-0.2,-0.1,0.0,--,,,,,,
Skand Ensk Bank,-0.3,-0.2,-0.3,-0.3,--,0.1,,,,,,
UFJ Holdings,0.7,--,--,--,--,--,,,,,,
Uni Credit,--,--,--,--,-0.4,-0.2,,,,,,
UniCredit Bnk,-0.6,-0.6,-0.8,-0.8,--,--,,,,,,
Union Investment,--,--,--,-0.1,-0.1,0.1,,,,,,
WH,0.0,--,--,--,-0.1,--,,,,,,
,,,,,,,,,,,,
