Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG - LONG-TERM OUTLOOK,,,,,,,,,,,
Forecast Horizon,Q2 2008,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Thomson Reuters,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,03-Jan-2007,04-Apr-2007,04-Jul-2007,03-Oct-2007,02-Jan-2008,02-Apr-2008,02-Jul-2008,,,,,
Median,0.5,0.5,0.5,0.5,0.4,0.2,-0.4,,,,,
Mean,0.5,0.5,0.6,0.5,0.3,0.2,-0.4,,,,,
Mode,0.5,0.4,0.5,0.4,0.4,0.2,-0.5,,,,,
Min,0.3,0.3,0.3,0.3,0.0,-0.2,-0.9,,,,,
Max,0.6,0.7,0.8,0.6,0.5,0.5,0.2,,,,,
Standard Deviation,--,--,--,--,--,--,0.2,,,,,
# Forecasts,--,--,--,--,--,--,21,,,,,
Contributor,03-Jan-2007,04-Apr-2007,04-Jul-2007,03-Oct-2007,02-Jan-2008,02-Apr-2008,02-Jul-2008,,,,,
BayernLB,0.5,0.5,--,--,0.3,--,--,,,,,
Bnk Amer London,0.6,0.6,0.7,--,--,--,--,,,,,
Citigroup,--,0.7,0.7,0.6,--,0.0,--,,,,,
Commerzbank,0.4,0.3,0.3,0.3,0.1,0.0,-0.4,,,,,
Commerzbank Fina,--,0.5,--,--,--,--,--,,,,,
Credit Agri Lon,--,0.6,--,--,0.5,--,--,,,,,
DIW Berlin,0.5,--,--,--,0.4,0.4,0.2,,,,,
DZ Bank,0.4,0.4,0.4,0.5,0.5,0.2,-0.9,,,,,
DekaBank,0.4,0.4,0.5,0.4,0.2,-0.1,-0.3,,,,,
Deutsche,0.4,0.4,0.6,0.4,0.4,0.2,-0.1,,,,,
Deutsche Postbank,0.5,0.5,--,0.5,0.5,0.5,-0.5,,,,,
Dresdner Bk,--,0.7,0.8,0.6,--,--,--,,,,,
Eurozone Advisor,0.5,0.5,0.5,--,0.3,--,-0.5,,,,,
HSBC Trink,0.4,0.4,0.4,0.4,0.3,0.3,-0.2,,,,,
IHS Markit,0.5,--,0.8,0.5,0.5,0.1,-0.4,,,,,
IfW,0.4,--,0.5,--,--,--,--,,,,,
Julius Baer,0.5,0.6,--,--,--,--,--,,,,,
LBB,--,0.4,0.7,--,--,--,--,,,,,
LBBW,0.4,0.7,0.7,0.4,--,--,--,,,,,
Lbk Hessen,0.5,--,--,0.4,--,0.3,0.0,,,,,
MM Warburg,--,--,--,--,--,--,-0.7,,,,,
NORD/LB,0.5,0.4,0.4,0.4,--,--,-0.4,,,,,
Nomura Co,0.5,0.6,--,--,--,--,--,,,,,
ODDO BHF,0.5,0.5,0.5,0.5,0.0,-0.2,-0.5,,,,,
Oppenheim,--,0.5,--,--,--,--,--,,,,,
Portigon,0.6,0.5,0.5,0.5,0.4,0.2,-0.3,,,,,
Rheinisch Westfa,--,0.5,--,--,--,--,--,,,,,
Sal Oppenheim,0.5,--,0.6,0.6,0.4,0.2,-0.3,,,,,
Skand Ensk Bank,--,0.4,0.6,0.5,0.5,0.3,-0.4,,,,,
Uni Credit,0.4,0.4,0.5,0.4,0.4,0.2,-0.2,,,,,
Union Investment,0.3,0.4,0.5,0.3,0.2,--,-0.3,,,,,
WH,--,--,0.5,0.4,0.3,0.1,-0.5,,,,,
ZBW,--,--,--,0.5,--,--,-0.4,,,,,
,,,,,,,,,,,,
