Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG - LONG-TERM OUTLOOK,,,,,,,,,,,
Forecast Horizon,Q4 2011,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Thomson Reuters,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,07-Apr-2010,07-Jul-2010,06-Oct-2010,05-Jan-2011,06-Apr-2011,06-Jul-2011,05-Oct-2011,04-Jan-2012,,,,
Median,0.6,0.4,0.4,0.5,0.4,0.4,0.1,-0.2,,,,
Mean,0.5,0.4,0.4,0.5,0.5,0.5,0.1,-0.2,,,,
Mode,0.6,0.5,0.4,0.4,0.4,0.4,0.1,-0.2,,,,
Min,0.3,0.2,0.2,0.2,0.2,0.3,-0.3,-0.7,,,,
Max,0.8,0.6,0.6,0.7,0.8,0.8,0.4,0.1,,,,
Standard Deviation,--,--,--,--,--,--,--,0.2,,,,
# Forecasts,--,--,--,--,--,--,--,26,,,,
Contributor,07-Apr-2010,07-Jul-2010,06-Oct-2010,05-Jan-2011,06-Apr-2011,06-Jul-2011,05-Oct-2011,04-Jan-2012,,,,
Banco Santander,--,--,--,--,--,0.4,--,-0.2,,,,
BayernLB,--,--,0.3,0.4,0.4,0.4,--,-0.2,,,,
Berenberg,--,--,--,--,--,--,-0.3,-0.2,,,,
Bkhaus Lampe,--,--,--,--,--,--,0.1,-0.2,,,,
Citigroup,--,0.4,0.2,--,--,--,--,--,,,,
Commerzbank,0.6,0.6,--,0.7,0.7,0.7,0.0,-0.2,,,,
DIW Berlin,--,0.6,0.6,0.3,0.4,0.4,0.0,-0.2,,,,
DZ Bank,0.8,--,0.4,0.6,0.5,0.5,0.0,-0.2,,,,
DekaBank,0.5,0.3,0.4,0.4,0.5,0.5,--,-0.2,,,,
Deutsche Postbank,0.5,0.5,--,0.3,0.3,0.4,0.2,-0.1,,,,
Eurozone Advisor,0.4,0.4,0.4,0.4,0.4,0.4,0.0,-0.1,,,,
HSBC Hldg,--,--,--,--,--,0.4,--,--,,,,
HSBC Trink,0.3,--,--,0.4,0.4,--,-0.2,-0.4,,,,
IHS Markit,0.6,0.5,0.5,0.5,0.5,0.5,0.1,-0.2,,,,
IMK,--,--,--,--,--,--,0.4,0.1,,,,
IfW,--,--,0.3,0.4,0.5,0.4,-0.2,-0.3,,,,
LBBW,--,--,--,--,0.3,--,--,--,,,,
Lbk Hessen,--,0.5,0.5,0.5,0.5,0.4,0.1,-0.2,,,,
Mfi Asset Mgnt,--,--,--,--,--,--,--,-0.3,,,,
NORD/LB,0.5,0.4,0.4,0.4,--,0.4,0.1,-0.3,,,,
ODDO BHF,0.5,0.5,0.6,0.7,0.8,0.8,0.3,-0.3,,,,
Portigon,0.6,0.2,0.5,0.6,0.4,0.6,0.2,-0.2,,,,
Rheinisch Westfa,0.6,0.5,0.5,0.5,0.7,0.8,0.3,0.0,,,,
Sal Oppenheim,0.6,0.6,0.5,0.5,0.4,0.4,0.2,0.0,,,,
Skand Ensk Bank,--,0.3,0.4,0.5,--,--,--,--,,,,
Uni Credit,0.3,0.3,--,0.3,--,--,--,--,,,,
Union Investment,--,0.3,0.4,0.4,0.3,0.3,0.3,-0.1,,,,
VP Bank,--,--,--,--,--,--,0.4,-0.7,,,,
WH,0.5,--,0.4,0.5,0.5,--,-0.1,0.0,,,,
ZBW,0.6,--,0.6,0.5,0.4,0.6,0.3,0.0,,,,
,,,,,,,,,,,,
