Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG - LONG-TERM OUTLOOK,,,,,,,,,,,
Forecast Horizon,Q1 2009,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Thomson Reuters,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,03-Oct-2007,02-Jan-2008,02-Apr-2008,02-Jul-2008,01-Oct-2008,07-Jan-2009,01-Apr-2009,,,,,
Median,0.5,0.5,0.4,0.3,0.0,-0.9,-2.2,,,,,
Mean,0.5,0.5,0.4,0.3,0.0,-0.7,-2.2,,,,,
Mode,0.4,0.5,0.5,0.3,0.0,-0.9,-2.4,,,,,
Min,0.4,0.4,0.1,0.1,-0.4,-1.3,-4.0,,,,,
Max,0.7,0.6,0.7,0.5,0.4,0.4,-1.4,,,,,
Standard Deviation,--,--,--,--,--,--,0.7,,,,,
# Forecasts,--,--,--,--,--,--,20 ,,,,,
Contributor,03-Oct-2007,02-Jan-2008,02-Apr-2008,02-Jul-2008,01-Oct-2008,07-Jan-2009,01-Apr-2009,,,,,
BayernLB,--,0.5,--,--,--,--,--,,,,,
Citigroup,--,--,0.2,--,--,--,-2.5,,,,,
Commerzbank,--,0.4,0.3,0.3,--,-0.5,--,,,,,
Credit Agri Lon,--,0.5,--,--,--,--,--,,,,,
DIW Berlin,--,0.4,0.4,0.3,0.4,-0.4,-2.2,,,,,
DZ Bank,--,0.4,0.5,0.1,--,-0.6,-1.9,,,,,
DekaBank,--,0.5,0.4,0.4,0.0,--,-2.9,,,,,
Deutsche,--,0.6,--,0.4,--,-1.3,--,,,,,
Deutsche Postbank,--,0.6,0.7,0.5,0.0,-0.9,-1.5,,,,,
Eurozone Advisor,--,0.4,--,0.2,0.0,-1.0,-2.1,,,,,
HSBC Trink,0.5,0.5,0.3,0.4,0.1,-0.9,-2.9,,,,,
IHS Markit,0.5,0.5,0.5,0.4,0.0,-0.5,-2.4,,,,,
Julius Baer,--,--,--,--,--,0.4,-1.4,,,,,
LBBW,--,--,--,--,0.2,--,--,,,,,
Lbk Hessen,--,--,0.6,0.4,0.2,-1.3,-2.1,,,,,
MM Warburg,--,--,--,0.3,-0.4,-1.0,--,,,,,
NORD/LB,--,--,--,0.3,0.2,-0.8,-3.2,,,,,
ODDO BHF,0.4,0.4,0.1,0.1,--,-0.9,-4.0,,,,,
Portigon,--,0.4,--,0.2,-0.1,--,-1.7,,,,,
Rheinisch Westfa,--,--,--,--,--,-0.6,--,,,,,
Sal Oppenheim,--,0.5,0.5,0.5,-0.1,-0.4,-2.0,,,,,
Skand Ensk Bank,0.4,0.4,0.4,0.2,-0.1,-1.0,-1.6,,,,,
Uni Credit,--,0.6,0.5,0.3,0.0,-0.9,-1.5,,,,,
Union Investment,--,0.5,--,0.3,0.3,-0.5,-2.4,,,,,
WH,--,0.5,0.5,0.5,--,-0.5,-2.4,,,,,
ZBW,--,--,--,0.4,--,--,-1.6,,,,,
,,,,,,,,,,,,
