Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG - LONG-TERM OUTLOOK,,,,,,,,,,,
Forecast Horizon,Q4 2009,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Thomson Reuters,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,02-Jul-2008,01-Oct-2008,07-Jan-2009,01-Apr-2009,01-Jul-2009,07-Oct-2009,06-Jan-2010,,,,,
Median,0.5,0.3,0.2,0.2,0.1,0.3,0.3,,,,,
Mean,0.4,0.3,0.2,0.1,0.1,0.3,0.3,,,,,
Mode,0.5,0.3,0.2,0.3,0.3,0.3,0.3,,,,,
Min,0.2,0.1,-0.5,-0.5,-0.3,-0.2,-0.1,,,,,
Max,0.7,0.5,0.7,0.5,0.5,0.8,0.8,,,,,
Standard Deviation,--,--,--,--,--,--,0.2,,,,,
# Forecasts,--,--,--,--,--,--,19 ,,,,,
Contributor,02-Jul-2008,01-Oct-2008,07-Jan-2009,01-Apr-2009,01-Jul-2009,07-Oct-2009,06-Jan-2010,,,,,
BayernLB,--,--,--,--,--,--,0.3,,,,,
Citigroup,--,--,--,0.0,--,--,--,,,,,
Commerzbank,0.3,--,0.1,--,0.3,0.8,0.3,,,,,
DIW Berlin,0.4,0.5,0.1,0.1,0.1,0.2,--,,,,,
DZ Bank,0.5,--,0.5,0.4,0.3,0.3,0.3,,,,,
DekaBank,0.3,0.3,--,-0.1,-0.2,0.2,0.2,,,,,
Deutsche,0.2,--,0.7,--,-0.3,--,0.3,,,,,
Deutsche Postbank,0.5,0.5,0.6,0.3,0.3,0.7,0.3,,,,,
Eurozone Advisor,0.3,0.3,0.2,0.0,-0.3,-0.1,0.3,,,,,
HSBC Trink,0.5,0.4,0.2,0.2,0.3,0.5,--,,,,,
IHS Markit,0.5,0.3,0.0,-0.2,0.0,0.6,0.4,,,,,
Julius Baer,--,--,-0.5,-0.1,--,--,--,,,,,
Kiel Economics,--,--,--,--,--,--,0.0,,,,,
LBB,--,--,--,--,0.0,0.2,--,,,,,
LBBW,--,0.3,--,--,-0.1,0.3,0.0,,,,,
Lbk Hessen,0.5,0.4,0.4,0.5,0.5,0.5,--,,,,,
MM Warburg,0.3,0.2,0.2,--,--,--,--,,,,,
NORD/LB,0.7,0.3,0.2,0.3,0.4,--,--,,,,,
ODDO BHF,0.5,--,-0.3,-0.5,--,-0.1,0.0,,,,,
Portigon,0.5,0.3,--,0.3,0.2,0.5,0.5,,,,,
Rheinisch Westfa,--,--,0.2,--,-0.2,--,0.5,,,,,
Sal Oppenheim,0.6,0.5,0.3,0.4,--,0.3,0.2,,,,,
Skand Ensk Bank,0.4,0.3,0.2,0.2,0.0,0.5,--,,,,,
Uni Credit,0.4,0.3,0.1,0.2,--,--,0.3,,,,,
UniCredit Bnk,--,--,--,--,--,0.7,--,,,,,
Union Investment,0.6,0.5,0.3,0.3,0.3,0.3,0.1,,,,,
WH,0.5,--,0.0,-0.4,--,-0.2,0.8,,,,,
ZBW,0.5,--,--,0.3,-0.1,0.0,0.1,,,,,
,,,,,,,,,,,,
