Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG ,,,,,,,,,,,
Forecast Horizon,Q1 2016,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,15-Jan-2015,22-Apr-2015,23-Jul-2015,15-Oct-2015,14-Jan-2016,14-Apr-2016,,,,,,
Median,0.4,0.4,0.4,0.4,0.4,0.5,,,,,,
Mean,0.5,0.4,0.4,0.4,0.4,0.5,,,,,,
Mode,0.4,0.4,0.4,0.4,0.4,0.4,,,,,,
Min,0.3,0.4,0.3,0.2,0.3,0.3,,,,,,
Max,0.6,0.6,0.6,0.6,0.6,0.6,,,,,,
Standard Deviation,--,--,--,--,--,0.1,,,,,,
# Forecasts,--,--,--,--,--,16,,,,,,
Contributor,15-Jan-2015,22-Apr-2015,23-Jul-2015,15-Oct-2015,14-Jan-2016,14-Apr-2016,,,,,,
Barclays,--,0.4,--,0.5,--,--,,,,,,
BayernLB,0.4,0.4,--,--,--,--,,,,,,
Berenberg,0.6,--,--,--,--,--,,,,,,
Berliner Spark,0.4,0.4,0.4,0.5,0.5,0.5,,,,,,
BofAML,--,--,0.5,--,--,--,,,,,,
CA CIB,--,0.4,--,0.4,--,0.4,,,,,,
Commerzbk,--,0.4,--,--,--,--,,,,,,
DIW Berlin,0.4,--,--,--,--,--,,,,,,
DZ Bank,0.3,--,--,--,0.4,0.5,,,,,,
DekaBank,0.5,0.4,0.4,0.2,0.3,0.5,,,,,,
Deutsche Bank,--,--,--,0.3,--,0.4,,,,,,
Eurozone Advisor,0.5,0.4,0.4,0.5,0.4,0.4,,,,,,
HSBC Hldg,--,0.4,0.3,--,0.3,0.4,,,,,,
HWWI,--,--,0.4,0.4,--,--,,,,,,
Helaba,--,0.4,0.4,0.4,0.4,--,,,,,,
IHS Global Insight,0.5,0.6,0.6,0.6,0.5,0.6,,,,,,
Intesa Sanpaolo,--,--,--,0.5,0.5,--,,,,,,
LBBW,--,0.5,--,--,--,--,,,,,,
MM Warburg,--,--,--,--,--,0.3,,,,,,
NORD/LB,0.5,0.5,--,--,0.5,0.6,,,,,,
ODDO BHF,--,0.5,0.3,--,0.4,0.5,,,,,,
Oppenheim,--,--,--,--,0.4,0.3,,,,,,
RGE,--,--,--,--,0.4,--,,,,,,
Rheinisch Westfa,--,0.5,0.4,0.4,0.5,0.4,,,,,,
Uni Credit,--,0.5,0.5,0.5,0.6,0.6,,,,,,
Union Investment,0.4,--,--,--,--,0.4,,,,,,
WH,0.4,0.4,0.4,0.4,0.4,0.5,,,,,,
,,,,,,,,,,,,
