Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG ,,,,,,,,,,,
Forecast Horizon,Q2 2018,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,12-Jan-2017,12-Apr-2017,14-Jul-2017,19-Oct-2017,19-Jan-2018,16-Apr-2018,18-Jul-2018,,,,,
Median,0.4,0.4,0.5,0.4,0.6,0.6,0.4,,,,,
Mean,0.4,0.4,0.5,0.4,0.6,0.6,0.4,,,,,
Mode,0.4,0.4,0.4,0.4,0.5,0.5,0.3,,,,,
Min,0.3,0.3,0.4,0.3,0.4,0.4,0.3,,,,,
Max,0.5,0.5,0.6,0.5,0.7,0.8,0.7,,,,,
Standard Deviation,--,--,--,--,--,--,0.1,,,,,
# Forecasts,--,--,--,--,--,--,17 ,,,,,
Contributor,12-Jan-2017,12-Apr-2017,14-Jul-2017,19-Oct-2017,19-Jan-2018,16-Apr-2018,18-Jul-2018,,,,,
Banque Pictet,--,--,--,0.5,--,--,--,,,,,
Barclays,0.5,--,0.5,0.5,0.6,0.6,0.3,,,,,
BayernLB,0.4,0.3,0.5,0.4,--,0.5,0.4,,,,,
Berenberg,--,--,0.4,0.4,0.6,0.7,0.5,,,,,
Berliner Spark,--,0.4,0.5,0.5,0.7,0.6,0.3,,,,,
BofAML,0.3,--,--,--,--,--,--,,,,,
CA CIB,--,0.4,0.5,0.5,0.5,--,0.4,,,,,
Citigroup,--,0.5,0.6,--,--,--,--,,,,,
Commerzbk,--,--,--,0.4,--,--,0.4,,,,,
Credit Suisse,--,--,0.4,0.4,--,--,--,,,,,
DIW Berlin,--,0.4,0.4,0.3,--,0.6,0.4,,,,,
DZ Bank,0.5,--,0.5,0.4,--,0.5,0.3,,,,,
Daiwa Cap Mkts,--,--,--,--,0.6,0.6,0.5,,,,,
DekaBank,0.4,0.4,0.4,0.4,0.6,--,0.4,,,,,
Deutsche Bank,--,--,--,--,0.6,--,--,,,,,
Eurozone Advisor,0.4,0.4,0.4,0.4,--,0.5,--,,,,,
HSBC Hldg,--,0.4,0.5,0.5,0.5,0.5,--,,,,,
Helaba,0.4,0.4,--,0.4,0.4,0.4,0.5,,,,,
IHS Global Insight,0.4,0.4,--,0.5,0.7,--,--,,,,,
IHS Markit,--,--,--,--,--,0.7,0.7,,,,,
Intesa Sanpaolo,0.4,0.4,--,0.4,--,--,--,,,,,
Julius Baer,0.4,--,0.4,--,0.5,0.5,--,,,,,
LBBW,--,--,--,--,--,0.5,0.3,,,,,
NORD/LB,0.5,0.5,0.5,0.4,--,0.8,0.5,,,,,
Oppenheim,0.4,0.4,--,0.4,--,--,--,,,,,
Postbank,--,--,0.4,--,--,--,--,,,,,
RGE,--,--,0.4,--,--,--,--,,,,,
Rabobank,--,--,--,--,--,0.7,0.4,,,,,
Rheinisch Westfa,0.4,0.4,0.5,0.5,0.5,0.6,0.3,,,,,
Societe Generale,--,--,--,--,--,0.6,--,,,,,
Uni Credit,--,0.4,0.4,0.4,0.5,0.5,--,,,,,
WH,0.4,0.4,--,0.5,0.5,0.4,0.3,,,,,
,,,,,,,,,,,,
