Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG - LONG-TERM OUTLOOK,,,,,,,,,,,
Forecast Horizon,Q4 2012,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Thomson Reuters,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,06-Apr-2011,06-Jul-2011,05-Oct-2011,04-Jan-2012,04-Apr-2012,04-Jul-2012,03-Oct-2012,02-Jan-2013,,,,
Median,0.5,0.5,0.5,0.4,0.4,0.3,0.0,-0.5,,,,
Mean,0.5,0.5,0.5,0.4,0.5,0.3,0.0,-0.4,,,,
Mode,0.4,0.6,0.5,0.3,0.4,0.3,0.1,-0.5,,,,
Min,0.3,0.3,-0.1,-1.0,0.2,0.1,-0.2,-0.6,,,,
Max,1.1,1.1,1.2,1.2,1.2,0.6,0.3,-0.1,,,,
Standard Deviation,--,--,--,--,--,--,--,0.1,,,,
# Forecasts,--,--,--,--,--,--,--,15,,,,
Contributor,06-Apr-2011,06-Jul-2011,05-Oct-2011,04-Jan-2012,04-Apr-2012,04-Jul-2012,03-Oct-2012,02-Jan-2013,,,,
Banco Santander,--,0.5,--,0.3,0.3,0.2,0.0,-0.4,,,,
BayernLB,0.5,0.6,--,0.4,--,0.3,0.2,--,,,,
Berenberg,--,--,0.6,0.6,0.6,0.5,--,--,,,,
Bkhaus Lampe,--,--,0.4,0.3,0.3,--,0.1,-0.5,,,,
Commerzbank,0.5,0.5,0.4,0.4,0.4,0.2,-0.2,--,,,,
DIW Berlin,0.5,0.6,0.6,0.7,0.7,0.4,--,--,,,,
DZ Bank,0.7,0.6,0.6,0.7,0.6,0.5,--,-0.6,,,,
DekaBank,0.4,0.4,--,0.3,0.3,0.2,0.2,-0.5,,,,
Deutsche Postbank,--,0.4,0.4,0.5,0.5,0.3,0.1,-0.5,,,,
Eurozone Advisor,0.4,0.4,0.5,0.4,0.4,0.3,-0.2,-0.5,,,,
HSBC Hldg,--,0.6,--,--,--,0.3,--,--,,,,
HSBC Trink,0.5,--,0.6,0.3,0.4,--,-0.1,--,,,,
IHS Markit,0.4,0.4,0.4,0.3,0.4,--,0.1,-0.4,,,,
IMK,--,--,-0.1,-1.0,0.2,0.1,-0.2,-0.4,,,,
IfW,0.4,0.4,0.5,0.4,0.5,0.5,0.1,-0.5,,,,
LBBW,0.7,--,--,--,0.4,--,--,--,,,,
Lbk Hessen,0.3,0.3,0.4,0.4,--,--,--,--,,,,
Mfi Asset Mgnt,--,--,--,0.5,--,--,--,--,,,,
NORD/LB,--,0.5,0.5,0.5,0.4,--,--,--,,,,
ODDO BHF,0.6,0.6,0.6,0.3,0.3,--,0.3,-0.5,,,,
Portigon,0.4,0.5,0.3,0.4,--,--,--,--,,,,
Rheinisch Westfa,0.6,0.3,0.5,0.3,0.5,0.6,0.2,-0.3,,,,
Sal Oppenheim,0.4,0.5,0.5,0.4,0.6,--,0.0,-0.5,,,,
Union Investment,1.1,1.1,0.2,0.2,0.2,0.1,0.0,--,,,,
VP Bank,--,--,1.2,1.2,1.2,0.3,--,--,,,,
WH,0.5,--,0.7,0.5,0.8,--,--,-0.2,,,,
ZBW,0.6,0.6,0.5,0.4,0.4,0.4,-0.1,-0.5,,,,
,,,,,,,,,,,,
