Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG - LONG-TERM OUTLOOK,,,,,,,,,,,
Forecast Horizon,Q3 2010,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Thomson Reuters,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,07-Jan-2009,01-Apr-2009,01-Jul-2009,07-Oct-2009,06-Jan-2010,07-Apr-2010,07-Jul-2010,06-Oct-2010,,,,
Median,0.4,0.3,0.2,0.3,0.3,0.4,0.5,0.6,,,,
Mean,0.3,0.3,0.2,0.3,0.3,0.4,0.5,0.6,,,,
Mode,0.5,0.3,0.2,0.2,0.3,0.3,0.5,0.7,,,,
Min,-0.2,-0.1,0.1,0.0,0.2,0.2,0.3,0.1,,,,
Max,0.5,0.6,0.4,0.4,0.8,0.5,1.0,1.1,,,,
Standard Deviation,--,--,--,--,--,--,--,0.2,,,,
# Forecasts,--,--,--,--,--,--,--,19,,,,
Contributor,07-Jan-2009,01-Apr-2009,01-Jul-2009,07-Oct-2009,06-Jan-2010,07-Apr-2010,07-Jul-2010,06-Oct-2010,,,,
BayernLB,--,--,--,--,0.3,--,--,0.3,,,,
Citigroup,--,0.3,--,--,--,--,0.6,0.9,,,,
Commerzbank,0.4,--,0.2,0.3,0.3,0.3,0.6,--,,,,
DIW Berlin,--,0.3,0.3,0.3,--,--,0.4,0.7,,,,
DZ Bank,0.5,0.4,0.4,0.3,0.2,0.3,--,0.3,,,,
DekaBank,--,0.3,0.3,0.2,0.3,0.4,0.4,0.6,,,,
Deutsche,--,--,0.1,--,0.4,--,--,--,,,,
Deutsche Postbank,0.5,0.4,0.4,0.4,0.2,0.5,0.4,--,,,,
Eurozone Advisor,0.2,0.2,0.2,0.2,0.2,0.5,0.5,0.6,,,,
HSBC Trink,0.3,0.1,0.2,0.2,--,0.5,--,--,,,,
IHS Markit,0.3,0.2,0.3,0.3,0.3,0.3,0.5,0.7,,,,
IfW,--,--,--,--,--,--,--,0.7,,,,
Julius Baer,0.4,0.6,--,--,--,--,--,--,,,,
Kiel Economics,--,--,--,--,0.4,--,--,--,,,,
LBB,--,--,0.2,0.2,--,--,--,--,,,,
LBBW,--,--,0.1,0.1,0.3,--,--,--,,,,
Lbk Hessen,0.4,0.4,0.4,0.4,--,--,0.5,0.3,,,,
NORD/LB,0.2,0.2,0.2,--,--,0.5,0.4,0.8,,,,
ODDO BHF,-0.2,-0.1,--,0.0,0.2,0.4,0.3,0.7,,,,
Portigon,--,0.3,0.2,0.2,0.2,0.3,0.5,0.6,,,,
Rheinisch Westfa,--,--,0.2,--,0.3,0.3,0.3,0.6,,,,
Sal Oppenheim,0.5,0.5,--,0.4,0.4,0.3,0.5,0.7,,,,
Skand Ensk Bank,--,0.2,0.1,0.4,--,--,0.9,0.6,,,,
Uni Credit,--,0.4,--,--,0.3,0.5,0.5,--,,,,
UniCredit Bnk,--,--,--,0.3,--,--,--,--,,,,
Union Investment,0.2,0.2,0.2,0.2,0.8,--,1.0,0.1,,,,
WH,0.5,0.3,--,0.3,0.4,0.5,--,0.8,,,,
ZBW,--,0.3,0.3,0.4,0.4,0.4,--,0.5,,,,
,,,,,,,,,,,,
