Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG - LONG-TERM OUTLOOK,,,,,,,,,,,
Forecast Horizon,Q2 2013,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Thomson Reuters,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,05-Oct-2011,04-Jan-2012,04-Apr-2012,04-Jul-2012,03-Oct-2012,02-Jan-2013,03-Apr-2013,03-Jul-2013,,,,
Median,0.4,0.4,0.4,0.5,0.4,0.3,0.4,0.6,,,,
Mean,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.6,,,,
Mode,0.3,0.4,0.4,0.5,0.4,0.3,0.4,0.6,,,,
Min,0.3,0.2,0.2,0.1,0.1,0.2,0.2,0.3,,,,
Max,0.7,0.7,0.7,0.7,0.5,0.5,0.8,0.9,,,,
Standard Deviation,--,--,--,--,--,--,--,0.2,,,,
# Forecasts,--,--,--,--,--,--,--,18,,,,
Contributor,05-Oct-2011,04-Jan-2012,04-Apr-2012,04-Jul-2012,03-Oct-2012,02-Jan-2013,03-Apr-2013,03-Jul-2013,,,,
Banco Santander,--,0.3,0.3,0.3,0.5,0.4,0.4,0.4,,,,
BayernLB,--,0.4,--,0.5,0.3,--,0.4,0.6,,,,
Berenberg,--,0.6,0.6,0.6,--,--,0.7,0.8,,,,
Bkhaus Lampe,--,--,0.4,--,0.4,0.3,--,0.5,,,,
Citigroup,--,--,--,--,--,--,0.5,--,,,,
Commerzbank,--,0.3,0.3,0.4,0.2,--,0.8,--,,,,
DIW Berlin,--,0.6,0.6,0.6,--,--,0.3,0.4,,,,
DZ Bank,--,0.2,0.2,0.4,--,0.3,0.3,0.4,,,,
DekaBank,--,0.4,0.4,0.4,0.3,0.4,0.2,0.3,,,,
Deutsche Postbank,--,--,--,0.4,0.4,0.3,--,0.5,,,,
Eurozone Advisor,0.5,0.5,0.5,0.5,0.4,0.3,0.2,0.6,,,,
HSBC Hldg,--,--,--,0.5,--,--,--,--,,,,
HSBC Trink,--,0.2,0.4,--,0.3,--,0.3,0.6,,,,
IHS Markit,0.3,0.3,0.4,--,0.4,0.3,--,0.6,,,,
IMK,--,--,0.3,0.1,0.2,0.5,0.4,--,,,,
IfW,--,0.5,0.5,0.5,0.4,0.2,0.3,0.8,,,,
LBBW,--,--,0.6,--,--,--,--,--,,,,
Lbk Hessen,--,0.4,--,--,--,--,--,--,,,,
NORD/LB,--,0.6,0.6,--,--,--,--,--,,,,
ODDO BHF,0.7,0.6,0.5,--,0.5,0.5,0.4,0.4,,,,
Portigon,--,0.4,--,--,--,--,--,--,,,,
Rheinisch Westfa,--,--,0.5,0.5,0.1,0.2,0.6,0.6,,,,
Sal Oppenheim,--,0.4,0.4,--,0.4,0.4,0.4,0.7,,,,
Union Investment,--,0.7,0.7,0.7,0.4,--,0.4,0.7,,,,
WH,--,0.5,0.4,--,--,0.3,0.8,0.9,,,,
ZBW,0.4,--,0.4,0.4,0.3,0.3,0.3,0.7,,,,
,,,,,,,,,,,,
