Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG - LONG-TERM OUTLOOK,,,,,,,,,,,
Forecast Horizon,Q3 2014,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Thomson Reuters,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,03-Apr-2013,03-Jul-2013,02-Oct-2013,01-Jan-2014,09-Apr-2014,16-Jul-2014,16-Oct-2014,,,,,
Median,0.5,0.5,0.5,0.5,0.5,0.5,0.2,,,,,
Mean,0.5,0.4,0.5,0.5,0.5,0.5,0.2,,,,,
Mode,0.4,0.5,0.5,0.5,0.5,0.5,0.2,,,,,
Min,0.3,0.3,0.3,0.3,0.3,0.3,-0.1,,,,,
Max,0.6,0.6,0.6,0.6,0.6,0.7,0.5,,,,,
Standard Deviation,--,--,--,--,--,--,0.2,,,,,
# Forecasts,--,--,--,--,--,--,15 ,,,,,
Contributor,03-Apr-2013,03-Jul-2013,02-Oct-2013,01-Jan-2014,09-Apr-2014,16-Jul-2014,16-Oct-2014,,,,,
Banco Santander,0.5,0.5,--,0.5,0.5,0.5,--,,,,,
BayernLB,0.4,0.4,0.4,0.3,0.3,0.4,0.2,,,,,
Berenberg,0.6,0.6,0.6,0.6,0.6,0.5,0.1,,,,,
Bkhaus Lampe,--,0.4,--,--,--,--,--,,,,,
Citigroup,0.4,--,--,0.5,--,--,--,,,,,
Commerzbank,0.6,--,0.5,--,--,--,0.0,,,,,
DIW Berlin,0.4,0.4,--,0.5,0.5,0.5,--,,,,,
DZ Bank,0.6,0.6,0.5,0.6,0.6,0.6,0.4,,,,,
DekaBank,0.6,0.5,--,--,0.5,0.7,--,,,,,
Deutsche,--,--,--,--,--,--,0.4,,,,,
Deutsche Postbank,--,0.3,0.4,--,--,--,--,,,,,
Eurozone Advisor,0.5,0.5,0.5,0.5,0.5,0.4,-0.1,,,,,
HSBC Hldg,--,--,--,--,--,0.5,0.3,,,,,
HSBC Trink,0.5,0.3,--,--,--,--,--,,,,,
IHS Markit,--,0.4,0.4,--,0.5,0.5,0.2,,,,,
IMK,0.3,--,0.4,0.4,0.3,0.3,--,,,,,
IfW,0.5,0.5,0.5,0.5,0.5,0.5,0.1,,,,,
LBB,--,--,--,0.3,0.5,0.5,0.2,,,,,
LBBW,--,--,--,0.4,--,--,--,,,,,
Lbk Hessen,--,--,--,0.5,--,--,--,,,,,
Mizuho Security,--,--,--,--,--,--,0.2,,,,,
NORD/LB,--,--,--,0.5,--,--,--,,,,,
ODDO BHF,0.5,0.5,--,--,--,--,--,,,,,
RBC,--,--,--,--,--,--,0.3,,,,,
Rheinisch Westfa,0.6,0.5,0.6,0.4,0.4,0.5,0.3,,,,,
Sal Oppenheim,0.3,0.3,--,--,--,0.4,0.1,,,,,
Union Investment,0.4,0.3,0.3,0.3,0.3,--,--,,,,,
WH,0.4,0.5,0.5,0.5,0.5,0.5,--,,,,,
ZBW,0.4,0.4,0.5,0.4,0.5,0.5,0.5,,,,,
,,,,,,,,,,,,
