Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG - LONG-TERM OUTLOOK,,,,,,,,,,,
Forecast Horizon,Q3 2012,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Thomson Reuters,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,06-Apr-2011,06-Jul-2011,05-Oct-2011,04-Jan-2012,04-Apr-2012,04-Jul-2012,03-Oct-2012,,,,,
Median,0.5,0.6,0.5,0.4,0.4,0.2,0.0,,,,,
Mean,0.5,0.5,0.4,0.4,0.4,0.2,0.0,,,,,
Mode,0.5,0.6,0.5,0.4,0.3,0.2,0.0,,,,,
Min,0.3,0.3,0.1,0.1,0.2,-0.1,-0.2,,,,,
Max,0.8,0.7,0.6,0.9,1.0,0.6,0.3,,,,,
Standard Deviation,--,--,--,--,--,--,0.1,,,,,
# Forecasts,--,--,--,--,--,--,17 ,,,,,
Contributor,06-Apr-2011,06-Jul-2011,05-Oct-2011,04-Jan-2012,04-Apr-2012,04-Jul-2012,03-Oct-2012,,,,,
Banco Santander,--,0.3,--,0.2,0.3,0.1,0.2,,,,,
BayernLB,0.6,0.6,--,0.4,--,0.2,0.1,,,,,
Berenberg,--,--,0.6,0.4,0.4,0.2,--,,,,,
Bkhaus Lampe,--,--,0.4,0.3,0.3,--,0.0,,,,,
Commerzbank,0.6,0.6,0.3,0.3,0.3,0.0,0.2,,,,,
DIW Berlin,0.4,0.6,0.6,0.7,0.7,0.3,--,,,,,
DZ Bank,0.7,0.6,0.6,0.9,0.9,0.6,--,,,,,
DekaBank,0.5,0.6,--,0.4,0.4,-0.1,-0.1,,,,,
Deutsche Postbank,--,0.4,0.4,0.5,0.5,0.2,0.1,,,,,
Eurozone Advisor,0.5,0.5,0.5,0.3,0.3,0.0,0.1,,,,,
HSBC Hldg,--,0.4,--,--,--,0.2,--,,,,,
HSBC Trink,0.5,--,0.5,0.3,0.4,--,0.0,,,,,
IHS Markit,0.4,0.4,0.5,0.2,0.3,--,-0.1,,,,,
IMK,--,--,0.1,0.1,0.2,-0.1,-0.1,,,,,
IfW,0.4,0.4,0.5,0.3,0.4,0.2,0.2,,,,,
LBBW,0.8,--,--,--,0.4,--,--,,,,,
Lbk Hessen,0.4,0.4,0.5,0.5,--,--,--,,,,,
Mfi Asset Mgnt,--,--,--,0.4,--,--,--,,,,,
NORD/LB,--,0.6,0.6,0.4,0.3,--,--,,,,,
ODDO BHF,0.7,0.7,0.4,0.2,0.4,--,0.2,,,,,
Portigon,0.7,0.5,0.3,0.4,--,--,--,,,,,
Rheinisch Westfa,0.6,0.6,0.4,0.3,0.5,0.4,0.3,,,,,
Sal Oppenheim,0.5,0.5,0.5,0.4,0.5,--,-0.2,,,,,
Union Investment,0.7,0.7,0.2,0.2,0.2,0.2,0.0,,,,,
VP Bank,--,--,0.6,0.8,0.8,0.0,--,,,,,
WH,0.5,--,0.5,0.4,1.0,--,--,,,,,
ZBW,0.6,0.6,0.4,0.3,0.4,0.4,0.0,,,,,
,,,,,,,,,,,,
