Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG - LONG-TERM OUTLOOK,,,,,,,,,,,
Forecast Horizon,Q2 2014,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Thomson Reuters,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,03-Oct-2012,02-Jan-2013,03-Apr-2013,03-Jul-2013,02-Oct-2013,01-Jan-2014,09-Apr-2014,16-Jul-2014,,,,
Median,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.2,,,,
Mean,0.5,0.4,0.5,0.4,0.4,0.4,0.4,0.2,,,,
Mode,0.5,0.4,0.4,0.4,0.5,0.4,0.4,0.3,,,,
Min,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.0,,,,
Max,0.6,0.6,0.6,0.6,0.6,0.7,0.5,0.4,,,,
Standard Deviation,--,--,--,--,--,--,--,0.1,,,,
# Forecasts,--,--,--,--,--,--,--,16,,,,
Contributor,03-Oct-2012,02-Jan-2013,03-Apr-2013,03-Jul-2013,02-Oct-2013,01-Jan-2014,09-Apr-2014,16-Jul-2014,,,,
Banco Santander,--,0.4,0.4,0.4,--,0.5,0.3,0.2,,,,
BayernLB,--,--,0.4,0.3,0.3,0.3,0.5,0.3,,,,
Berenberg,--,--,0.6,0.6,0.6,0.6,0.4,0.2,,,,
Bkhaus Lampe,--,0.4,--,0.4,--,--,--,--,,,,
Citigroup,--,--,0.3,--,--,0.5,--,--,,,,
Commerzbank,--,--,0.6,--,0.4,--,--,--,,,,
DIW Berlin,--,--,0.4,0.4,--,0.4,0.3,0.0,,,,
DZ Bank,--,0.6,0.6,0.6,0.5,0.6,0.5,0.3,,,,
DekaBank,--,0.6,0.6,0.4,--,--,0.4,0.1,,,,
Deutsche Postbank,--,--,--,0.4,0.5,--,--,--,,,,
Eurozone Advisor,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.0,,,,
HSBC Hldg,--,--,--,--,--,--,--,0.2,,,,
HSBC Trink,--,--,0.4,0.2,--,--,--,--,,,,
IHS Markit,0.6,0.2,--,0.3,0.4,--,0.2,0.3,,,,
IMK,--,--,0.4,--,0.3,0.3,0.3,0.1,,,,
IfW,--,0.4,0.4,0.5,0.5,0.5,0.4,0.3,,,,
LBB,--,--,--,--,--,0.3,0.5,0.2,,,,
LBBW,--,--,--,--,--,0.5,--,--,,,,
Lbk Hessen,--,--,--,--,--,0.7,--,--,,,,
NORD/LB,--,--,--,--,--,0.4,--,--,,,,
ODDO BHF,0.5,0.5,0.5,0.5,--,--,--,--,,,,
Rheinisch Westfa,--,--,0.6,0.5,0.5,0.4,0.3,0.3,,,,
Sal Oppenheim,--,0.4,0.4,0.4,--,--,--,0.3,,,,
Union Investment,--,--,0.4,0.2,0.2,0.2,0.3,--,,,,
WH,--,0.4,0.5,0.5,0.5,0.4,0.4,0.2,,,,
ZBW,0.5,0.5,0.5,0.4,0.4,0.4,0.5,0.4,,,,
,,,,,,,,,,,,
