Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG - LONG-TERM OUTLOOK,,,,,,,,,,,
Forecast Horizon,Q3 2013,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Thomson Reuters,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,04-Jan-2012,04-Apr-2012,04-Jul-2012,03-Oct-2012,02-Jan-2013,03-Apr-2013,03-Jul-2013,02-Oct-2013,,,,
Median,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.4,,,,
Mean,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,,,,
Mode,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,,,,
Min,0.2,0.2,0.2,-0.1,0.3,0.2,0.3,0.2,,,,
Max,0.6,0.6,0.6,0.5,0.6,0.9,0.6,0.7,,,,
Standard Deviation,--,--,--,--,--,--,--,0.1,,,,
# Forecasts,--,--,--,--,--,--,--,14,,,,
Contributor,04-Jan-2012,04-Apr-2012,04-Jul-2012,03-Oct-2012,02-Jan-2013,03-Apr-2013,03-Jul-2013,02-Oct-2013,,,,
Banco Santander,0.3,0.3,0.2,0.5,0.5,0.4,0.3,--,,,,
BayernLB,0.5,--,0.5,0.4,--,0.4,0.5,0.5,,,,
Berenberg,0.6,0.6,0.6,--,--,0.6,0.5,0.7,,,,
Bkhaus Lampe,--,--,--,0.3,0.3,--,0.3,--,,,,
Citigroup,--,--,--,--,--,0.2,--,--,,,,
Commerzbank,0.3,0.3,0.4,0.3,--,0.6,--,0.2,,,,
DIW Berlin,0.4,0.6,0.6,--,--,0.4,0.6,--,,,,
DZ Bank,0.2,0.2,0.3,--,0.5,0.5,0.5,0.4,,,,
DekaBank,0.5,0.5,0.4,0.4,0.4,0.4,0.4,--,,,,
Deutsche Postbank,--,--,0.4,0.4,0.4,--,0.3,0.3,,,,
Eurozone Advisor,0.4,0.4,0.5,0.5,0.5,0.3,0.3,0.3,,,,
HSBC Hldg,--,--,0.5,--,--,--,--,--,,,,
HSBC Trink,0.4,0.4,--,0.5,--,0.5,0.3,--,,,,
IHS Markit,0.4,0.4,--,-0.1,0.4,--,0.4,0.4,,,,
IMK,--,0.2,0.2,0.3,0.6,0.4,--,0.3,,,,
IfW,0.5,0.6,0.6,0.4,0.3,0.3,0.4,0.5,,,,
LBBW,--,0.6,--,--,--,--,--,--,,,,
Lbk Hessen,0.5,--,--,--,--,--,--,--,,,,
NORD/LB,0.6,0.6,--,--,--,--,--,--,,,,
ODDO BHF,0.6,0.5,--,0.5,0.5,0.4,0.4,--,,,,
Portigon,0.3,--,--,--,--,--,--,--,,,,
Rheinisch Westfa,--,0.6,0.5,0.1,0.4,0.4,0.5,0.3,,,,
Sal Oppenheim,0.5,0.4,--,0.4,0.4,0.4,0.4,--,,,,
Union Investment,0.6,0.5,0.5,0.3,--,0.4,0.6,0.3,,,,
WH,0.3,0.5,--,--,0.4,0.9,0.6,0.5,,,,
ZBW,--,0.4,0.4,0.4,0.4,0.4,0.4,0.4,,,,
,,,,,,,,,,,,
