Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG ,,,,,,,,,,,
Forecast Horizon,Q2 2019,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,19-Oct-2017,19-Jan-2018,16-Apr-2018,18-Jul-2018,15-Oct-2018,17-Jan-2019,04-Apr-2019,,,,,
Median,0.4,0.4,0.5,0.4,0.4,0.4,0.3,,,,,
Mean,0.4,0.4,0.4,0.4,0.4,0.4,0.3,,,,,
Mode,0.4,0.4,0.5,0.4,0.5,0.3,0.2,,,,,
Min,0.3,0.1,0.3,0.3,0.3,0.3,0.1,,,,,
Max,0.5,0.5,0.5,0.5,0.5,0.8,0.4,,,,,
Standard Deviation,--,--,--,--,--,--,0.1,,,,,
# Forecasts,--,--,--,--,--,--,13,,,,,
Contributor,19-Oct-2017,19-Jan-2018,16-Apr-2018,18-Jul-2018,15-Oct-2018,17-Jan-2019,04-Apr-2019,,,,,
BMO,--,--,--,--,0.5,--,--,,,,,
Barclays,--,0.3,0.5,0.5,0.4,0.5,0.4,,,,,
BayernLB,--,--,0.5,0.4,--,--,--,,,,,
Berenberg,0.5,0.5,0.5,0.5,0.4,0.4,0.2,,,,,
Berliner Spark,0.4,0.4,0.4,0.4,0.4,0.5,0.4,,,,,
CA CIB,--,0.4,--,0.5,0.4,0.4,--,,,,,
Citigroup,--,--,--,--,0.5,0.3,0.2,,,,,
Commerzbank UK,--,--,--,0.5,--,--,--,,,,,
DIW Berlin,0.3,--,0.5,0.5,0.5,--,--,,,,,
DZ Bank,--,--,0.5,0.3,0.3,0.3,--,,,,,
Daiwa Cap Mkts,--,0.5,0.5,0.5,--,0.3,0.3,,,,,
DekaBank,--,0.4,--,0.4,0.3,--,--,,,,,
Deutsche Bank,--,--,--,--,--,0.3,--,,,,,
Eurozone Advisor,0.4,--,0.4,--,0.4,0.4,0.3,,,,,
HSBC Hldg,--,--,0.4,--,--,0.3,0.1,,,,,
Helaba,--,0.4,0.4,0.4,0.3,0.3,--,,,,,
IHS Global,0.4,0.4,--,--,--,--,--,,,,,
IHS Markit,--,--,0.4,0.4,0.3,0.3,0.3,,,,,
ING Fin Mkts,--,--,--,--,--,0.8,--,,,,,
Julius Baer,--,0.1,0.3,--,0.5,--,0.3,,,,,
LBBW,--,--,--,0.5,0.3,0.4,--,,,,,
NORD/LB,--,--,0.4,0.4,0.5,0.4,0.4,,,,,
Nomura,--,--,--,--,--,0.3,--,,,,,
Postbank,--,--,--,--,0.4,0.4,0.2,,,,,
Rheinisch Westfa,0.5,0.5,0.5,0.4,0.4,--,--,,,,,
Societe Generale,--,--,--,--,0.5,--,--,,,,,
Uni Credit,--,0.5,0.5,--,0.5,--,0.2,,,,,
WH,0.5,0.4,0.4,0.4,0.5,0.5,0.4,,,,,
,,,,,,,,,,,,
